Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,400.02,375.54,310.37,393.74,353.22,263.57,179.21,415.48
Other Operating Income,--,--,--,--,--,--,--,--
Total Income From Operations,400.02,375.54,310.37,393.74,353.22,263.57,179.21,415.48
EXPENDITURE,,,,,,,,
Consumption of Raw Materials,147.64,158.82,143.77,198.73,312.15,25.86,69.19,419.83
Purchase of Traded Goods,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,61.35,41.08,19.86,38.58,-127.29,117.39,32.74,-135.08
Power & Fuel,--,--,--,--,--,--,--,--
Employees Cost,40.32,42.77,36.93,37.22,34.01,28.76,25.0,27.32
Depreciation,7.53,8.03,7.42,7.31,6.95,6.61,6.36,6.55
Excise Duty,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--
Other Expenses,38.81,37.54,34.89,17.95,37.64,39.51,30.2,21.03
"P/L Before Other Inc. , Int., Excpt. Items & Tax",104.37,87.3,67.52,93.95,89.74,45.44,15.71,75.84
Other Income,-2.61,7.79,3.64,2.8,5.1,-1.02,0.97,24.1
"P/L Before Int., Excpt. Items & Tax",101.76,95.09,71.15,96.75,94.85,44.42,16.68,99.94
Interest,4.17,2.31,4.75,10.09,18.85,19.24,17.59,19.39
P/L Before Exceptional Items & Tax,97.59,92.79,66.4,86.66,75.99,25.18,-0.91,80.55
Exceptional Items,--,--,-9.07,--,--,--,--,--
P/L Before Tax,97.59,92.79,57.33,86.66,75.99,25.18,-0.91,80.55
Tax,20.26,23.15,16.15,20.83,19.14,6.27,0.7,13.75
P/L After Tax from Ordinary Activities,77.33,69.64,41.18,65.84,56.86,18.9,-1.6,66.8
Prior Year Adjustments,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,77.33,69.64,41.18,65.84,56.86,18.9,-1.6,66.8
Equity Share Capital,45.49,45.49,45.49,45.49,39.44,39.44,45.49,32.93
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,
Basic EPS,3.4,3.06,1.81,2.94,2.9,0.96,-0.1,4.53
Diluted EPS,3.4,3.06,1.81,2.94,2.9,--,-0.1,4.53
EPS After Extra Ordinary,,,,,,,,
Public Share Holding,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,
a) Pledged/Encumbered,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,
Notes,,,,,,,,
