Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Intangible Assets Under Development,Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools"
2009-11-30,13.68,13.68,257.88,257.88,271.56,0.0,0.0,5.05,43.11,14.79,51.26,109.16,385.76,48.79,0.0,0.36,49.15,2.85,0.0,0.0,51.99,102.38,44.4,175.61,11.38,0.0,333.77,385.76,3.68,38.2,2.56,13.2,4.4,4.15,13.5,0.0,0.0,0.73,5.05,0.0
2010-12-31,13.68,13.68,291.71,291.71,305.38,0.0,0.0,4.1,57.75,40.21,49.9,147.86,457.34,49.71,0.0,0.86,50.57,3.91,0.0,0.0,54.48,128.59,65.28,188.51,20.49,0.0,402.86,457.34,6.42,38.93,3.48,16.03,7.43,4.9,13.5,0.0,0.0,1.61,4.1,0.0
2011-12-31,21.25,21.25,522.89,522.89,544.14,0.0,14.82,14.82,120.9,41.28,76.35,238.52,797.49,79.2,0.46,0.36,80.02,6.2,25.0,0.0,111.22,254.9,132.61,258.95,35.17,4.63,686.26,797.49,18.51,58.73,6.6,27.47,5.88,5.4,13.5,0.0,57.67,1.13,0.0,0.05
2012-12-31,21.25,21.25,625.61,625.61,646.86,0.0,29.43,30.68,101.34,44.12,84.11,229.57,907.11,103.87,4.8,0.51,109.18,0.0,22.88,0.0,132.06,263.63,141.03,324.51,42.79,3.08,775.05,907.11,15.15,116.17,8.21,27.09,12.01,5.91,13.5,0.0,58.67,1.31,1.25,0.21
2014-03-31,21.25,21.25,766.6,766.6,787.85,0.0,57.34,57.34,136.22,53.91,103.87,294.0,1139.19,95.43,2.82,1.27,99.52,1.28,33.47,2.02,136.29,365.51,109.18,462.84,59.08,6.29,1002.9,1139.19,31.35,213.88,11.14,27.09,14.1,9.87,13.5,0.0,150.61,1.34,0.0,0.05
2015-03-31,21.25,21.25,916.28,916.28,937.53,0.0,39.16,39.16,193.56,59.35,144.03,396.94,1373.63,93.06,2.98,3.0,99.95,6.53,38.8,2.24,147.52,384.13,129.15,643.89,52.87,16.07,1226.11,1373.63,27.13,189.24,8.2,36.65,12.23,9.22,13.5,0.91,36.93,0.24,0.0,0.0
2016-03-31,21.25,21.25,1174.35,1174.35,1195.6,0.0,38.64,38.64,230.14,92.22,59.91,382.27,1616.51,105.89,2.56,1.91,111.29,9.39,6.21,38.99,165.88,370.1,145.02,839.42,2.09,93.99,1450.63,1616.51,3.26,0.0,0.0,0.0,0.0,0.0,13.5,0.93,0.0,0.0,0.0,0.0
2017-03-31,21.25,21.25,1365.69,1365.69,1386.94,0.0,47.22,47.22,474.69,86.55,70.39,631.64,2065.8,107.65,1.95,5.14,115.88,12.38,5.56,38.97,172.79,500.63,176.22,1090.92,1.92,123.32,1893.02,2065.8,8.86,0.0,0.0,0.0,0.0,0.0,13.5,1.13,0.0,0.0,0.0,0.0
2018-03-31,21.25,21.25,1671.51,1671.51,1692.76,0.0,55.35,55.35,480.62,109.99,77.47,668.08,2416.19,78.59,2.8,2.17,83.55,14.6,15.03,37.54,150.72,585.33,263.44,1031.35,205.48,179.87,2231.13,2416.19,36.12,0.0,417.39,0.0,0.0,33.86,13.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,21.25,21.25,1987.34,1987.34,2008.59,0.0,75.43,75.43,663.52,98.04,95.33,856.89,2940.91,103.11,1.85,0.73,105.69,13.07,16.11,45.06,179.93,606.79,276.11,1684.28,7.3,186.5,2760.98,2940.91,40.6,481.89,9.95,0.0,18.02,18.88,13.5,0.0,0.0,0.0,0.0,0.0
2020-03-31,21.25,21.25,2410.46,2410.46,2431.71,139.2,84.84,224.04,657.77,125.88,107.45,891.1,3546.85,268.93,0.9,1.64,271.47,14.44,16.78,39.51,342.21,527.17,317.91,2197.37,6.14,156.04,3204.64,3546.85,110.98,519.52,8.6,0.0,11.77,21.43,13.5,0.0,0.0,0.0,0.0,0.0
2021-03-31,21.25,21.25,2580.91,2580.91,2602.16,117.68,89.75,207.43,762.67,152.23,115.96,1030.86,3840.45,249.61,1.17,0.66,251.44,17.81,14.35,38.33,321.93,717.59,250.21,2409.04,4.95,136.73,3518.52,3840.45,123.51,530.55,8.31,0.0,29.53,5.81,13.5,0.0,0.0,0.0,0.0,0.0
2022-03-31,21.25,21.25,2798.54,2798.54,2819.79,108.74,92.4,201.14,889.45,185.88,127.86,1203.19,4224.12,262.37,8.63,0.66,271.66,16.96,0.0,82.46,371.08,687.82,288.16,2749.22,0.0,127.84,3853.04,4224.12,123.78,503.37,8.32,0.0,35.02,6.43,13.5,0.0,0.0,0.0,0.0,0.0
2023-03-31,21.25,21.25,3167.29,3167.29,3188.54,67.49,93.46,160.95,891.99,187.84,126.19,1206.02,4555.51,229.39,7.52,3.66,240.57,16.93,0.0,1272.9,1530.4,648.85,316.95,1937.06,0.0,122.25,3025.11,4555.51,106.06,576.48,5.27,0.0,22.12,8.86,13.5,0.0,0.0,0.0,0.0,0.0
2024-03-31,21.25,21.25,3677.64,3677.64,3698.89,36.76,115.12,151.88,1002.69,203.25,136.78,1342.72,5193.49,218.28,6.66,10.11,235.05,15.85,0.0,1696.75,1947.65,619.58,319.11,2134.49,0.0,172.66,3245.84,5193.49,106.52,464.41,7.79,0.0,27.18,16.33,13.5,0.0,0.0,0.0,0.0,0.0
