Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Short Term Provisions,Intangible Assets Under Development,Non-Current Investments,Long Term Loans And Advances,Inventories,Deferred Tax Assets [Net]
2006-03-31,5.62,5.62,-0.19,-0.19,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,5.48,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.06,3.47,3.53,5.48,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0
2007-03-31,12.71,12.71,146.96,146.96,159.67,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,3.64,163.3,0.0,0.0,0.0,0.0,0.0,0.0,47.61,0.0,0.0,7.16,108.08,0.45,115.69,163.3,71.2,0.0,0.0,0.0,44.4,0.0,0.0,3.12,0.0,47.55,0.0,0.0,0.06
2008-03-31,14.2,14.2,385.72,385.72,399.92,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,22.22,422.14,0.01,0.0,0.0,0.0,0.01,0.0,135.43,0.0,0.0,1.07,284.02,0.0,286.71,422.14,4.7,0.0,0.0,2.07,132.25,0.0,0.0,21.83,0.0,135.4,0.0,1.63,0.02
2009-03-31,14.2,14.2,419.16,419.16,433.36,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.64,38.6,472.06,0.0,0.0,0.0,0.0,0.0,0.08,31.45,0.0,0.0,201.23,206.66,0.0,440.61,472.06,4.7,0.0,0.0,0.74,30.72,0.0,0.1,37.61,0.0,31.35,0.0,32.72,0.02
2010-03-31,14.32,14.32,459.17,459.17,473.49,59.32,1.18,0.0,0.0,60.5,0.0,1.18,1.38,57.11,591.09,15.84,0.0,87.48,0.0,103.31,0.0,161.57,0.0,0.0,25.06,296.69,0.0,429.52,591.09,42.0,0.0,0.0,0.0,58.24,0.0,0.0,54.55,0.0,58.24,0.0,107.76,0.02
2011-03-31,14.44,14.44,498.13,498.13,512.58,0.0,2.3,0.0,0.09,2.39,0.0,0.0,8.44,36.06,551.03,16.81,0.0,120.49,0.0,137.3,0.0,233.24,0.0,0.0,1.61,315.88,0.02,317.79,551.03,47.59,0.0,0.0,0.0,83.26,0.0,0.0,27.62,0.0,83.26,12.68,0.29,0.0
2012-03-31,14.51,14.51,543.93,543.93,558.44,0.0,3.48,0.0,0.17,3.64,0.0,0.0,51.01,65.71,627.8,163.31,0.0,0.0,0.0,163.31,0.0,275.82,0.0,0.0,1.16,345.47,5.35,351.98,627.8,140.62,0.0,0.0,0.0,98.7,0.0,0.0,14.7,0.0,98.7,13.81,0.0,0.0
2013-03-31,14.52,14.52,553.61,553.61,568.13,25.0,3.65,0.0,0.19,28.84,125.3,0.0,5.05,156.08,753.06,152.26,0.0,0.0,0.0,152.26,0.0,274.84,0.0,0.0,11.22,421.59,45.41,478.22,753.06,158.64,0.0,0.0,0.0,104.07,0.0,0.0,25.73,0.0,119.69,2.89,0.0,0.0
2014-03-31,13.82,13.82,510.32,510.32,524.13,18.83,3.33,9.14,0.18,31.47,156.08,0.0,8.71,190.18,745.78,159.98,0.0,0.18,0.0,160.17,0.0,285.44,0.0,0.0,2.1,456.42,1.82,460.34,745.78,66.8,0.0,0.0,13.21,104.8,0.0,0.0,25.39,0.0,122.12,3.16,0.0,0.0
2015-03-31,14.02,14.02,560.76,560.76,574.78,150.0,5.67,5.67,0.31,161.65,293.14,0.0,12.95,329.61,1066.03,152.26,0.0,0.0,0.0,152.26,0.0,519.06,0.0,0.0,6.33,537.9,2.75,546.98,1066.03,56.58,0.0,0.0,293.93,352.03,0.0,0.0,23.52,0.0,357.37,9.43,0.0,0.0
2016-03-31,14.22,14.22,579.26,579.26,593.48,100.0,0.72,7.32,0.28,108.31,248.06,0.0,60.56,319.1,1020.9,144.14,0.03,0.0,0.0,144.17,0.0,638.28,0.0,0.0,112.37,266.66,3.59,382.62,1020.9,95.38,0.0,0.0,359.45,460.33,0.0,0.01,10.48,0.0,489.72,4.39,0.0,0.0
2017-03-31,14.45,14.45,654.73,654.73,669.18,100.0,4.27,9.81,0.24,114.32,257.59,0.0,115.62,375.74,1159.24,137.63,0.02,0.0,0.0,137.65,0.0,732.05,80.0,0.0,6.63,337.99,2.57,427.19,1159.24,206.4,0.0,0.0,0.0,577.07,80.0,0.0,2.53,0.0,578.41,15.99,0.0,0.0
2018-03-31,14.51,14.51,2366.93,2366.93,2381.44,1271.42,109.88,4.38,97.42,1483.1,0.0,976.08,436.18,1412.26,5276.8,192.63,10.85,0.0,77.64,281.12,27.15,308.27,3117.93,747.96,235.45,625.12,242.07,4968.53,5276.8,206.57,7.91,11.68,0.0,0.0,2924.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,14.57,14.57,2578.99,2578.99,2593.56,1419.56,89.86,11.85,73.97,1595.24,0.0,1146.29,371.15,1517.44,5706.24,184.24,14.04,0.0,82.79,282.37,23.53,305.9,3094.95,1184.25,564.51,523.63,33.0,5400.34,5706.24,1158.82,9.61,13.74,0.0,0.0,2909.82,0.0,0.0,1.3,0.0,0.0,0.0,0.0
2020-03-31,14.81,14.81,2749.33,2749.33,2764.14,1066.71,11.61,21.58,79.99,1179.89,363.13,1566.75,291.99,2221.87,6165.9,207.85,21.39,0.0,78.13,307.37,55.87,363.24,3780.19,486.51,1203.08,199.63,133.25,5802.66,6165.9,1332.72,8.86,11.32,0.0,0.0,2425.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,14.66,14.66,3516.73,3516.73,3531.39,1606.17,78.12,29.76,109.14,1823.19,473.37,2797.8,377.39,3648.56,9003.14,224.74,23.57,0.0,77.55,325.86,48.49,374.35,3863.1,613.57,2717.62,772.58,661.92,8628.79,9003.14,1100.49,6.1,10.93,0.0,0.0,3863.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,14.91,14.91,4227.2,4227.2,4242.11,1785.0,88.94,36.71,155.07,2065.72,386.91,3446.41,654.28,4487.6,10795.43,231.43,21.6,0.0,76.99,330.02,47.55,377.57,4346.51,676.81,4169.59,884.62,340.33,10417.86,10795.43,1354.24,9.17,10.7,0.0,0.0,4346.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,14.79,14.79,4438.75,4438.75,4453.54,2742.78,84.83,43.45,133.87,3004.93,993.87,3099.79,2340.62,6434.28,13892.75,328.13,29.99,0.0,76.43,434.55,56.7,491.25,4056.04,678.0,7161.15,1327.82,178.49,13401.5,13892.75,3310.98,0.0,0.0,0.0,0.0,4056.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,14.9,14.9,5901.04,5901.04,5915.94,4551.73,145.79,71.04,41.67,4810.23,2215.19,5185.51,2743.1,10143.8,20869.97,471.43,27.22,0.0,75.86,574.51,59.71,634.22,5476.5,1486.03,9538.91,3486.76,247.55,20235.75,20869.97,2896.57,11.11,7.28,0.0,0.0,5476.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,59.93,59.93,7056.94,7056.94,7116.87,0.0,202.55,55.15,62.97,320.67,1561.06,4951.71,8370.6,14883.37,22320.91,683.96,32.21,31.11,0.0,747.28,101.86,849.14,6418.23,1886.42,8654.36,4078.58,434.18,21471.77,22320.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
