Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,607.88,605.1,599.57,599.51,598.02,508.7,426.71,419.67,375.2,324.73,293.45,272.04,252.93,214.95,214.95
Total Share Capital,607.88,605.1,599.57,599.51,598.02,508.7,426.71,419.67,375.2,324.73,293.45,272.04,252.93,214.95,214.95
Revaluation Reserve,0.0,0.0,0.0,0.0,0.87,0.89,0.91,0.94,0.97,0.0,0.0,0.0,0.0,0.0,1.16
Reserves and Surplus,14829.04,14191.29,12977.02,12018.73,12063.69,10073.36,7119.7,6263.36,3959.41,2663.51,1935.95,1612.16,1352.73,927.26,868.87
Total Reserves and Surplus,14829.04,14191.29,12977.02,12018.73,12064.56,10074.25,7120.61,6264.3,3960.37,2663.51,1935.95,1612.16,1352.73,927.26,870.03
Employees Stock Options,169.87,0.0,0.0,,,,,,,,,,,,
Total ShareHolders Funds,15606.79,14796.39,13576.59,12618.24,12662.58,10582.95,7547.32,6683.97,4335.58,2988.24,2229.4,1884.2,1605.66,1142.21,1084.98
Deposits,110943.53,103493.6,84886.52,79006.53,73121.27,57812.22,58394.42,43902.26,34588.09,24348.65,17099.25,11598.6,8340.52,4739.33,2042.16
Borrowings,13733.84,14184.09,13331.28,11093.04,11225.89,17006.73,11832.07,9261.44,7979.76,10536.22,6962.7,3895.54,2737.35,1198.55,7.69
Other Liabilities and Provisions,6441.32,5958.13,4081.79,3490.77,3640.87,3575.87,2585.02,2003.08,1771.35,1286.98,812.3,689.23,278.75,127.17,94.86
Total Capital and Liabilities,146725.48,138432.21,115876.18,106208.58,100650.61,88977.77,80358.82,61850.76,48674.77,39160.09,27103.65,18197.08,12962.27,7207.27,3229.69
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,10964.76,12070.82,6238.06,13111.08,6704.7,6415.08,4839.52,2589.33,2947.93,1339.75,1455.68,980.73,290.84,263.3,164.17
Balances with Banks Money at Call and Short Notice,1594.85,2345.73,2281.97,4436.62,6719.51,2442.1,1762.59,1695.11,1245.72,1110.18,714.66,211.52,397.74,322.82,186.01
Investments,32164.75,29575.85,28875.45,22274.35,23230.42,18149.74,16840.36,15447.5,13481.71,14436.03,9792.3,6477.0,5516.05,2264.72,892.48
Advances,92618.27,83986.92,70209.35,60021.81,58622.51,58019.05,54308.24,40267.84,29449.04,21229.08,14449.83,9835.05,6376.21,4132.27,1905.17
Fixed Assets,577.17,532.39,573.97,548.1,466.48,469.76,402.48,334.0,258.71,176.3,163.41,133.29,93.17,57.77,43.4
Other Assets,8805.68,9920.5,7697.38,5816.62,4907.0,3482.04,2205.62,1516.97,1291.67,868.75,527.78,559.49,288.26,166.39,38.45
Total Assets,146725.48,138432.21,115876.18,106208.58,100650.61,88977.77,80358.82,61850.76,48674.77,39160.09,27103.65,18197.08,12962.27,7207.27,3229.69
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,435.0,386.0,324.0,265.0,239.0,197.0,183.0,172.0,125.0,108.0,100.0
Number of Employees,0.0,0.0,0.0,0.0,7816.0,7221.0,5843.0,5330.0,4902.0,3871.0,3465.0,2798.0,1859.0,1328.0,907.0
Capital Adequacy Ratios (%),15.54,16.18,16.92,16.82,17.5,16.45,13.46,15.33,13.72,12.94,13.13,14.64,17.11,23.14,56.41
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,16.64,15.33,12.1,13.61,11.39,11.1,12.74,14.33,16.82,22.78,55.93
Tier 2 (%),0.0,0.0,0.0,0.0,0.86,1.12,1.36,1.72,2.33,1.84,0.39,0.31,0.29,0.36,0.48
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,2465.47,2270.97,2419.86,2728.39,2601.53,2136.52,754.62,566.73,356.84,208.05,111.23,77.75,25.9,33.11,21.51
Gross NPA (%),2.6,2.65,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Net NPA,270.79,619.3,772.54,806.56,1241.35,1189.37,372.74,312.56,189.94,124.44,38.59,30.51,6.88,8.39,6.89
Net NPA (%),0.29,0.74,1.1,1.34,2.12,2.05,1.38,0.78,0.64,0.59,0.27,0.31,0.11,0.2,0.36
Net NPA To Advances (%),0.51,0.96,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,2760.72,2387.38,2308.94,1418.19,822.71,772.32,513.51,200.42,1.49,16.86,9.6
Contingent Liabilities,0.0,0.0,0.0,0.0,59088.26,73653.79,61302.59,0.0,42727.17,30490.54,0.0,12275.27,6349.66,591.77,106.89
Equity Share Application Money,,,,,,,,,,,0.0,129.5,0.0,0.0,0.0
