Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,2799.45,2846.09,2829.05,2750.17,2679.25,2598.78,2430.12,2094.31,1970.73,1882.93,1676.75,1601.23,1654.01,1576.89,1515.35,1570.63,1513.12,1564.4,1647.09,1799.09,1806.51,1761.44,1720.24,1618.61,1468.64,1330.41,1173.38,1077.4,952.5,888.41,819.05,770.94,717.91,691.69,647.0,582.8,536.17,507.53,475.05,434.05
(b) Income on Investment,563.65,533.24,527.41,522.98,513.4,501.46,500.99,518.2,444.79,404.44,417.61,358.81,334.52,329.49,336.01,347.54,343.03,352.59,334.67,332.89,338.69,354.72,339.02,340.26,297.39,273.83,261.39,260.83,249.64,245.42,252.91,250.2,244.95,246.33,230.35,259.84,208.19,193.91,180.83,162.45
(c) Int. on balances With RBI,54.69,87.34,93.11,67.31,58.15,40.91,33.99,28.72,39.71,54.55,57.56,113.34,106.65,109.82,90.37,55.27,55.28,53.33,87.02,96.3,57.69,35.51,56.12,42.1,45.23,24.21,22.98,18.82,16.59,15.57,18.07,19.92,22.51,20.74,22.95,19.29,16.27,10.02,7.52,6.03
(d) Others,57.78,69.66,81.36,155.78,88.29,50.23,42.85,38.62,40.98,26.72,23.74,15.96,35.78,28.0,33.07,52.39,10.97,9.57,8.48,6.71,5.34,5.66,10.77,21.7,22.86,10.48,5.68,7.17,3.98,1.39,1.26,1.72,0.95,2.46,1.63,1.76,1.32,1.67,0.96,2.34
Other Income,1000.03,1073.33,927.36,805.46,875.47,777.57,704.44,685.41,674.11,618.43,583.32,613.57,511.35,619.87,592.85,694.67,688.43,579.87,456.21,333.33,500.54,486.97,441.53,481.21,409.23,374.06,333.11,325.97,311.98,258.22,241.07,256.92,236.55,182.26,169.11,167.54,142.71,109.64,112.29,125.9
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,1912.55,1951.27,1915.96,1796.27,1739.24,1645.52,1532.97,1433.68,1285.04,1220.49,1111.25,1061.61,999.62,1033.78,1059.32,1056.33,1016.36,1071.74,1145.19,1193.69,1187.25,1234.68,1257.46,1205.35,1095.4,983.85,870.46,811.52,722.25,683.5,671.13,664.4,634.16,639.64,598.99,619.03,521.77,490.69,474.43,438.21
Employees Cost,448.0,453.0,465.43,368.01,377.47,398.87,374.73,341.16,357.37,332.94,341.01,309.02,278.99,253.38,237.64,231.53,206.99,210.7,215.28,212.38,199.86,187.97,196.06,184.54,168.2,164.06,150.91,153.0,130.5,143.63,143.54,133.01,112.86,118.46,114.53,100.29,95.52,94.25,91.18,88.97
Other Expenses,1253.86,1208.76,1167.01,1278.34,1210.82,1159.31,1073.71,942.93,934.13,866.44,794.37,803.16,706.28,746.14,579.71,625.19,510.95,472.51,453.24,472.53,556.82,489.48,478.34,495.19,419.76,366.61,326.12,293.35,298.84,248.45,214.54,190.9,194.1,150.27,138.43,127.45,78.19,88.65,90.19,92.03
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48.36,--,--,--
Operating Profit before Provisions and contingencies,861.19,996.63,909.89,859.08,887.03,765.25,730.98,647.49,593.78,567.2,512.35,529.12,657.42,630.77,690.98,807.45,876.53,804.81,719.76,689.72,764.84,732.17,635.82,618.8,559.99,498.47,449.05,432.32,383.1,333.43,303.15,311.39,281.75,235.11,219.09,184.46,160.82,149.18,120.85,111.56
Provisions And Contingencies,785.14,1188.9,618.33,366.29,413.79,458.14,640.35,266.19,234.7,292.74,241.5,253.0,400.67,423.88,651.49,1425.67,766.25,609.76,525.57,500.16,614.08,638.29,533.3,213.18,199.97,160.68,139.68,140.35,112.86,82.31,74.89,94.46,82.1,36.17,49.58,42.6,37.88,31.58,22.3,22.65
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-28.47,--,--,--,--,--
P/L Before Tax,76.05,-192.27,291.56,492.79,473.24,307.11,90.63,381.3,359.08,274.46,270.85,276.12,256.75,206.89,39.49,-618.22,110.28,195.05,194.19,189.56,150.76,93.88,102.52,405.62,360.02,337.79,309.37,291.97,270.24,251.12,228.26,216.93,199.65,198.94,141.04,141.86,122.95,117.6,98.55,88.91
Tax,7.35,-224.9,69.04,121.27,120.6,74.02,-203.45,93.19,88.03,65.49,69.3,74.96,58.92,50.79,8.69,-158.75,34.94,47.99,50.03,48.34,36.4,23.93,48.21,138.57,112.84,112.6,104.83,101.93,92.12,85.79,77.64,75.91,69.52,70.25,51.15,44.52,38.76,36.55,31.62,28.59
P/L After Tax from Ordinary Activities,68.7,32.63,222.52,371.52,352.64,233.09,294.08,288.11,271.05,208.97,201.55,201.16,197.83,156.1,30.8,-459.47,75.34,147.06,144.16,141.22,114.36,69.95,54.31,267.05,247.18,225.19,204.54,190.04,178.12,165.33,150.62,141.02,130.13,128.69,89.89,97.34,84.19,81.05,66.93,60.32
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,68.7,32.63,222.52,371.52,352.64,233.09,294.08,288.11,271.05,208.97,201.55,201.16,197.83,156.1,30.8,-459.47,75.34,147.06,144.16,141.22,114.36,69.95,54.31,267.05,247.18,225.19,204.54,190.04,178.12,165.33,150.62,141.02,130.13,128.69,89.89,97.34,84.19,81.05,66.93,60.32
Equity Share Capital,607.88,607.77,607.68,606.28,605.1,602.62,601.36,599.64,599.57,599.53,599.52,599.52,599.51,599.45,599.33,598.42,598.02,597.75,509.18,508.74,508.7,508.28,430.59,427.71,426.71,428.11,430.77,420.93,419.67,417.54,415.59,376.72,375.2,373.14,369.81,328.55,324.73,323.1,297.19,297.19
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2663.51,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
