Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Share Capital Suspense,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2012-03-31,0.5,0.51,1.01,0.2,0.2,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.17,0.66,2.58,3.79,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.02,0.0,0.34,0.0,0.2,1.79,0.05,1.41,0.0,3.45,3.79,0.0,0.92,15.54,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,0.5,0.51,1.01,-77.8,-77.8,0.0,0.0,-76.79,0.0,846.32,484.93,36.46,2.29,523.68,998.81,316.3,271.15,2.81,1589.07,2882.28,469.61,1167.65,13.55,0.0,1650.81,0.0,0.0,62.55,0.0,1713.36,800.0,324.87,6.98,19.23,11.85,5.99,1168.92,2882.28,5.19,1.14,7.8,0.0,0.0,800.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,92.79,0.51,93.3,486.17,486.17,0.0,0.0,579.47,0.0,0.0,1015.0,42.79,5.68,1063.47,0.46,375.58,124.55,9.7,510.29,2153.23,443.22,1189.95,17.92,6.93,1658.02,0.0,0.0,76.95,0.0,1734.97,5.99,358.35,17.0,10.82,16.7,9.4,418.26,2153.23,21.22,0.06,0.0,0.0,0.0,5.99,0.0,0.0,0.37,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,92.79,0.51,93.3,252.27,252.27,0.0,0.0,345.57,0.0,0.0,937.5,54.11,6.56,998.17,298.13,311.4,169.94,15.64,795.11,2138.85,374.89,1204.46,3.77,0.0,1583.12,0.0,0.0,81.61,0.0,1664.73,0.0,427.33,3.47,7.2,26.38,9.74,474.12,2138.85,11.02,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,768.84,0.51,769.35,170.57,170.57,0.0,0.0,940.43,0.0,3.78,676.64,100.43,8.22,785.29,799.27,1436.74,577.99,75.45,2889.45,4618.44,482.19,1839.52,25.35,0.0,2347.06,0.0,0.0,270.96,1.08,2619.1,0.0,1388.1,390.94,20.32,175.41,24.57,1999.34,4618.44,84.78,37.07,174.1,0.0,0.0,0.0,138.31,0.06,122.69,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,770.53,0.51,771.04,184.89,184.89,0.0,0.0,955.93,0.0,2.74,1270.48,141.77,107.08,1519.33,760.74,1457.8,253.46,85.85,2557.85,5035.85,546.24,1940.82,25.0,0.0,2512.06,0.0,0.0,3.49,384.5,2900.05,0.0,1431.25,452.18,49.66,3.8,198.91,2135.8,5035.85,112.51,393.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,771.69,0.51,772.2,319.56,319.56,0.0,0.0,1091.76,0.15,1.71,1187.4,160.66,121.14,1469.2,570.45,2009.32,520.38,70.87,3171.02,5733.84,646.45,1935.85,45.89,0.0,2628.19,4.21,68.82,2.9,379.42,3083.54,0.0,1691.2,551.84,72.79,4.69,329.78,2650.3,5733.84,191.14,600.0,139.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,773.48,0.51,773.99,627.68,627.68,0.0,27.62,1429.29,0.08,0.02,723.27,173.68,115.21,1012.16,474.45,2398.61,1219.42,87.04,4179.52,6621.07,636.37,1919.11,22.39,0.0,2577.87,4.21,263.38,3.08,403.37,3251.91,0.0,1921.28,786.59,57.41,5.42,598.46,3369.16,6621.07,108.87,699.0,155.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,773.95,0.51,774.46,267.75,267.75,0.0,44.15,1086.36,0.0,0.02,854.51,1973.87,97.04,2925.42,1507.78,2273.34,1808.1,87.91,5677.13,9688.93,2812.53,1915.82,40.06,3.54,4771.95,170.01,194.96,3.43,397.72,5538.07,0.0,2349.4,840.19,265.05,7.12,689.1,4150.86,9688.93,124.26,778.0,144.0,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,915.05,0.51,915.56,1721.87,1721.87,0.0,47.64,2685.07,0.0,0.02,801.58,2072.67,89.44,2963.69,0.06,2333.69,1695.22,84.91,4113.88,9762.66,2601.39,1904.93,34.64,0.0,4540.96,689.53,321.23,2.59,536.1,6090.41,299.53,1742.93,722.4,164.54,6.49,736.36,3672.25,9762.66,66.84,418.27,103.09,6.66,299.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
