Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,857.2,599.71,592.91,471.75,743.87,495.81,495.25,410.51,574.38,420.81,371.48,340.02,600.46,301.67,288.18,247.18,472.31,369.62,208.03,229.59,480.69,314.04,357.52,284.25,437.35,319.15,343.32,285.02,470.46,269.73,288.77,292.36,426.2,264.78,275.07,296.82,485.05,281.76,331.3,320.61,471.84,253.55,256.85,260.33,413.86,263.48,271.12,300.9,402.29,260.81
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.6,2.2,2.66,2.95,2.04,1.23,1.47,0.75,2.54,1.66,2.51,0.71,2.17,2.03,1.95,1.65,11.58,1.89
Total Income From Operations,857.2,599.71,592.91,471.75,743.87,495.81,495.25,410.51,574.38,420.81,371.48,340.02,600.46,301.67,288.18,247.18,472.31,369.62,208.03,229.59,480.69,314.04,357.52,284.25,437.35,319.15,343.32,285.02,470.46,269.73,288.77,292.36,427.8,266.98,277.73,299.77,487.09,282.99,332.77,321.36,474.38,255.21,259.36,261.04,416.03,265.51,273.07,302.55,413.87,262.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,474.04,375.92,360.3,301.48,437.05,317.69,273.93,280.46,375.56,303.78,259.15,222.47,312.46,291.1,206.13,172.43,316.67,219.53,200.06,144.37,312.4,231.23,254.11,200.99,284.94,232.15,239.08,242.65,326.42,199.66,200.31,212.49,243.43,167.96,237.82,207.53,336.86,212.08,257.78,250.51,295.88,229.24,186.15,201.26,276.98,208.22,195.3,215.28,261.54,197.6
Purchase of Traded Goods,14.91,14.37,19.24,25.09,4.23,11.53,21.68,21.57,10.83,10.13,9.77,10.78,9.51,8.63,4.45,1.52,4.5,1.71,2.61,0.23,0.94,1.05,0.83,4.04,0.55,1.82,1.69,10.37,2.59,1.25,0.75,2.15,5.2,2.49,8.48,-0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,44.91,-14.18,-23.0,-43.89,41.22,-12.11,20.02,-41.81,21.06,-18.79,-23.14,10.64,110.25,-92.35,-12.64,-3.57,8.01,36.29,-63.48,16.41,22.15,-9.96,9.28,-7.4,36.05,1.36,5.79,-55.04,15.61,-12.11,3.89,-4.19,49.17,9.1,-58.65,-0.68,30.14,-22.22,-21.72,-9.2,60.78,-38.63,-2.22,-15.74,34.3,-21.89,-8.75,-13.24,22.58,-26.19
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,77.05,70.64,77.53,63.86,73.36,64.56,69.35,58.57,57.68,63.18,56.45,50.81,50.59,58.75,50.22,48.1,46.01,45.47,47.58,47.93,54.04,54.46,53.08,49.07,54.44,50.57,45.67,45.8,46.19,45.2,47.38,38.56,47.34,42.37,42.78,39.55,44.2,40.24,39.34,34.62,38.67,38.7,39.69,34.54,38.05,36.11,34.77,38.13,36.57,36.36
Depreciation,6.81,6.33,5.87,5.51,5.76,5.69,5.09,5.12,4.58,3.99,4.85,4.34,4.49,4.19,4.25,5.4,5.0,5.57,6.11,5.33,5.74,5.35,5.41,5.89,6.16,6.69,7.05,6.55,7.28,6.52,6.53,6.75,6.4,6.17,6.19,6.55,6.42,6.36,6.46,6.68,6.37,5.89,5.93,5.34,5.83,5.42,6.12,8.69,5.59,5.86
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
