Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Current Investments Quoted Market Value,Long Term Loans And Advances,Inventories,Short Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,250.0,250.0,2939.1,2939.1,3189.1,0.0,103.0,17.4,163.3,0.0,198.5,466.3,16.2,681.0,4033.4,1927.4,724.0,0.0,0.0,2690.8,0.0,30.1,2853.0,706.7,77.4,188.5,98.5,1180.4,4033.4,0.0,3.4,15.0,717.0,132.1,4.5,104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2013-03-31,250.0,250.0,3462.7,3462.7,3712.7,0.0,128.0,17.6,180.0,0.0,317.4,609.6,16.6,943.6,4836.3,1861.8,754.9,0.0,0.0,2681.7,0.0,58.1,2821.0,1670.9,102.0,20.7,104.5,2015.3,4836.3,0.0,7.1,15.7,1681.2,81.2,0.0,117.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
2014-03-31,250.0,250.0,4007.8,4007.8,4257.8,0.0,152.0,18.4,170.4,0.0,370.1,524.9,60.7,955.7,5383.9,1654.1,761.2,0.0,0.0,2511.0,18.3,98.7,2865.6,2102.6,91.9,22.1,103.0,2518.3,5383.9,0.0,4.7,16.9,2165.9,237.6,0.0,198.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4
2015-03-31,250.0,250.0,4978.7,4978.7,5228.7,480.0,167.4,32.4,679.8,905.4,352.6,894.0,111.6,2263.6,8172.1,1774.1,833.3,0.0,124.2,2862.8,55.0,112.7,7800.3,0.0,117.4,2.7,114.4,371.8,8172.1,0.0,10.1,12.1,0.0,4769.8,0.4,136.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,250.0,250.0,5774.8,5774.8,6024.8,747.7,184.2,33.1,965.0,33.6,372.7,817.0,234.6,1457.9,8447.7,1814.4,2091.8,0.0,1.0,4040.5,47.4,164.2,7961.2,0.0,123.5,6.8,80.7,486.5,8447.7,0.0,9.6,12.8,0.0,3709.1,0.0,275.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,250.0,250.0,6432.8,6432.8,6682.8,175.8,156.5,23.7,356.0,1103.6,740.4,728.0,3.3,2575.3,9614.1,2040.6,6267.5,63.4,25.9,8397.4,28.9,489.4,8915.7,0.0,184.8,78.6,435.0,698.4,9614.1,0.0,7.7,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,250.0,250.0,6239.3,6239.3,6489.3,88.0,148.1,26.7,262.8,1950.6,981.1,660.0,3.2,3594.9,10347.0,2561.8,6121.5,132.6,178.5,8994.4,82.3,377.2,9453.9,0.0,150.8,106.4,635.9,893.1,10347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,250.0,250.0,5517.6,5517.6,5767.6,0.0,303.2,20.5,323.7,2653.4,1591.3,1001.5,3.2,5249.4,11340.7,3163.2,6063.2,161.9,0.0,9388.3,394.6,557.3,10340.2,0.0,100.3,30.9,869.3,1000.5,11340.7,0.0,271.7,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,250.0,250.0,2770.0,2770.0,3020.0,1044.6,1726.3,23.7,2794.6,3996.3,1639.1,1950.3,2034.4,9620.1,15434.7,4498.8,5375.0,110.4,0.0,9984.2,1161.4,1249.1,12394.7,625.4,228.3,306.7,1879.6,3040.0,15434.7,1260.8,97.68,11.37,625.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,250.0,250.0,1736.0,1736.0,1986.0,3692.6,1815.2,21.0,5528.8,2282.6,2224.0,2023.8,958.3,7488.7,15003.5,5381.5,4922.2,70.7,0.0,10374.4,1116.6,1493.0,12984.0,0.0,142.9,59.2,1817.4,2019.5,15003.5,731.7,35.49,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
