Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18
Net Sales/Income from operations,6841.22,5105.25,5365.99,4601.48,5432.7,4512.92,4256.13,3849.0,4287.41,3664.9,3260.48,2698.79,3926.59,3341.45,2990.22,1839.65,2901.94,2747.24,2094.96,992.22,2123.78,2503.47,2239.85,1921.47,2431.19,1994.09,1807.37,1677.91,2100.24
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,6841.22,5105.25,5365.99,4601.48,5432.7,4512.92,4256.13,3849.0,4287.41,3664.9,3260.48,2698.79,3926.59,3341.45,2990.22,1839.65,2901.94,2747.24,2094.96,992.22,2123.78,2503.47,2239.85,1921.47,2431.19,1994.09,1807.37,1677.91,2100.24
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,4387.03,3791.55,3305.25,3921.9,3537.59,3052.63,3254.61,2823.34,2908.53,2611.82,2143.81,2079.98,2848.53,2545.31,2097.94,1684.76,2001.19,1837.55,1346.51,512.91,1362.67,1634.74,1582.35,1316.24,1483.1,1549.59,1203.32,1227.41,1266.62
Purchase of Traded Goods,77.19,108.39,85.43,107.41,79.88,70.42,85.7,114.14,116.09,74.12,123.95,142.15,115.13,223.9,140.51,120.48,178.64,230.24,173.53,41.64,89.8,100.82,113.31,101.75,88.12,75.88,94.44,65.28,100.52
Increase/Decrease in Stocks,251.39,-373.8,423.61,-826.45,242.13,71.31,-273.75,-132.97,153.24,1.17,120.71,-216.09,70.83,-198.07,75.13,-416.51,-51.07,8.29,-33.35,146.31,-47.4,15.47,-132.1,-72.84,192.22,-246.6,12.56,-63.87,122.51
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,188.42,185.96,169.65,145.62,162.14,143.34,150.58,130.23,115.47,109.48,111.2,106.71,101.21,99.46,101.96,92.21,96.4,86.93,86.52,79.45,88.64,90.58,91.61,90.89,63.41,85.76,77.34,70.48,67.77
Depreciation,77.02,75.5,69.49,64.74,63.47,59.52,57.96,55.37,51.73,50.74,50.57,49.34,48.55,49.89,49.46,48.67,45.42,44.42,42.24,41.93,41.74,40.22,39.12,38.01,33.93,35.26,36.03,34.86,33.53
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,28.64,--,--,--,--,--,--,26.2,24.12,63.41,16.77,19.39,16.52,43.38,14.15,7.84,14.41,--,--,3.17,18.5,37.6,13.99,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,906.82,693.87,776.95,693.89,774.05,553.95,408.3,343.07,369.69,309.97,330.02,264.8,307.99,271.82,271.29,222.18,272.18,236.37,224.81,152.87,314.03,291.95,304.26,283.08,379.75,211.01,215.68,206.76,200.39
"P/L Before Other Inc. , Int., Excpt. Items & Tax",924.71,623.8,535.63,494.35,573.44,561.74,572.74,489.61,548.53,444.18,363.44,252.52,417.84,305.77,239.79,80.03,344.77,303.44,254.71,13.95,255.8,292.1,227.31,164.35,190.67,283.19,168.0,136.98,308.9
Other Income,56.94,24.61,77.63,59.72,52.05,70.94,35.52,64.52,54.02,39.61,-1.81,44.27,17.14,21.35,25.73,26.28,22.7,32.69,30.03,34.3,46.69,0.58,12.75,51.78,36.13,25.43,9.22,22.75,17.92
