Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,Deferred Tax Assets [Net],Current Investments,Trade/Other Goods
2011-03-31,0.1,0.0,0.1,-0.02,-0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,47.82,0.0,47.82,219.14,219.14,266.97,0.0,0.0,0.0,0.0,19.47,19.47,224.82,585.19,117.9,33.25,961.16,1247.59,207.27,0.0,1.35,208.61,8.58,297.41,185.26,642.59,10.77,11.69,950.18,1247.59,4.84,4.5,64.84,0.0,71.98,99.87,175.98,0.43,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0
2013-03-31,47.82,0.0,47.82,190.69,190.69,238.51,0.0,0.0,0.0,0.0,24.47,24.47,234.14,615.46,176.71,15.81,1042.11,1305.09,193.26,5.65,0.0,198.91,0.0,272.52,149.72,755.68,4.39,13.97,1032.57,1305.09,193.14,36.52,103.99,31.51,62.18,108.81,206.19,0.11,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,0.0,0.0
2014-03-31,47.82,0.0,47.82,65.76,65.76,113.58,0.0,190.0,0.0,0.0,42.83,232.83,69.66,652.27,172.58,15.71,910.22,1256.63,175.56,0.0,19.08,194.65,40.29,268.83,179.93,681.09,1.12,33.97,987.79,1256.63,334.51,53.98,54.66,14.91,22.48,91.68,217.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,0.0,0.0
2015-03-31,47.82,0.0,47.82,37.22,37.22,85.04,0.0,190.0,0.0,0.0,19.65,209.65,96.27,764.49,115.63,75.35,1051.74,1346.43,194.55,0.0,1.01,195.56,21.25,244.98,211.83,690.94,54.48,23.72,1101.44,1346.43,308.23,77.05,81.91,68.85,28.18,120.48,265.95,0.48,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,47.82,172.0,219.82,19.02,19.02,238.84,0.0,91.5,0.0,0.0,20.94,112.44,83.79,731.5,44.81,78.6,938.69,1289.98,183.79,0.0,7.47,191.26,14.49,241.39,228.76,669.49,1.27,6.93,1048.59,1289.98,277.74,40.45,92.16,12.78,35.65,142.14,265.39,0.42,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,47.82,63.36,111.18,66.59,66.59,177.77,0.0,96.62,2.88,0.0,12.8,112.3,319.75,490.17,67.78,106.55,984.25,1274.31,338.05,8.62,16.42,363.09,62.78,425.87,220.05,477.85,20.97,129.58,848.45,1274.31,397.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,47.82,68.35,116.17,4.72,4.72,120.88,0.0,38.19,2.8,0.0,10.92,51.91,233.06,643.26,120.86,114.43,1111.62,1284.41,345.71,7.99,5.19,358.89,85.65,444.55,271.65,397.07,50.97,120.18,839.87,1284.41,390.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,47.82,113.74,161.56,-24.43,-24.43,137.13,0.0,2.23,0.0,2.81,21.62,26.67,336.24,472.05,91.96,83.64,983.89,1147.69,303.08,5.37,5.68,314.13,61.38,375.51,242.12,413.75,18.45,97.86,772.18,1147.69,449.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,47.82,123.43,171.25,-150.84,-150.84,20.41,104.42,238.95,0.0,12.26,19.43,270.64,115.49,445.74,81.5,81.19,723.93,1119.41,311.24,2.82,2.94,317.0,71.17,388.16,218.45,421.1,13.33,78.37,731.25,1119.41,438.92,304.17,0.0,139.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
