Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Sep '20,Jun '20
Net Sales/Income from operations,1599.3,1491.6,1265.1,1148.8,1698.0,2137.9,1980.3,1844.6,1804.0,1573.9,1404.4,1245.4,1073.1,921.0,1051.5,846.8,617.1,532.7
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1599.3,1491.6,1265.1,1148.8,1698.0,2137.9,1980.3,1844.6,1804.0,1573.9,1404.4,1245.4,1073.1,921.0,1051.5,846.8,617.1,532.7
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,583.4,611.3,708.9,798.4,966.2,1042.7,1050.6,970.7,861.2,832.2,801.4,763.6,682.4,671.6,288.4,264.8,198.6,152.3
Depreciation,145.9,161.7,174.7,175.2,191.9,196.9,176.5,155.8,157.7,119.6,99.7,92.6,90.0,56.0,45.6,36.6,42.4,35.6
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1097.1,1088.8,977.0,1121.0,1017.3,1287.4,1195.2,1169.8,1083.8,1100.0,1172.9,1113.3,1090.6,1039.8,1205.0,947.2,853.3,685.3
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-227.1,-370.2,-595.5,-945.8,-477.4,-389.1,-442.0,-451.7,-298.7,-477.9,-669.6,-724.1,-789.9,-846.4,-487.5,-401.8,-477.2,-340.5
Other Income,180.4,168.7,162.4,125.2,125.7,140.6,130.7,127.4,132.0,80.3,85.8,101.3,108.1,78.3,44.1,52.5,94.2,96.7
"P/L Before Int., Excpt. Items & Tax",-46.7,-201.5,-433.1,-820.6,-351.7,-248.5,-311.3,-324.3,-166.7,-397.6,-583.8,-622.8,-681.8,-768.1,-443.4,-349.3,-383.0,-243.8
Interest,4.1,3.8,3.6,4.0,5.0,5.1,6.7,6.5,6.5,5.2,5.0,5.2,7.3,11.7,9.9,9.2,7.2,9.2
P/L Before Exceptional Items & Tax,-50.8,-205.3,-436.7,-824.6,-356.7,-253.6,-318.0,-330.8,-173.2,-402.8,-588.8,-628.0,-689.1,-779.8,-453.3,-358.5,-390.2,-253.0
Exceptional Items,-529.7,--,1258.1,--,-209.6,--,-5.7,-2.0,-30.1,-32.9,--,--,--,--,-7.9,-36.2,--,-10.0
P/L Before Tax,-580.5,-205.3,821.4,-824.6,-566.3,-253.6,-323.7,-332.8,-203.3,-435.7,-588.8,-628.0,-689.1,-779.8,-461.2,-394.7,-390.2,-263.0
Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.3,--,--
P/L After Tax from Ordinary Activities,-580.5,-205.3,821.4,-824.6,-566.3,-253.6,-323.7,-332.8,-203.3,-435.7,-588.8,-628.0,-689.1,-779.8,-461.2,-395.0,-390.2,-263.0
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-580.5,-205.3,821.4,-824.6,-566.3,-253.6,-323.7,-332.8,-203.3,-435.7,-588.8,-628.0,-689.1,-779.8,-461.2,-395.0,-390.2,-263.0
Equity Share Capital,63.8,63.7,63.7,63.6,63.6,63.5,63.54,63.4,63.4,64.8,64.9,64.9,64.9,64.8,61.0,60.5,60.4,60.4
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,
Basic EPS,-9.1,-3.22,12.91,-13.0,-9.0,-4.0,-5.0,-5.0,-3.0,-7.0,-9.0,-10.0,-11.0,-12.0,-7.56,-6.53,-64.6,-43.54
Diluted EPS,-9.1,-3.22,12.65,-13.0,-9.0,-4.0,-5.0,-5.0,-3.0,-7.0,-9.0,-10.0,-11.0,-12.0,-8.0,-7.0,-6.0,-43.45
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
