,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",,What Makes Berkshire Hathaway (BRK-B) a Lucrative Investment?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c6057e25-c350-4102-9a31-5b1360ea47ee,,2025-03-17T13:06:08Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
1,"{'id': None, 'name': 'Yahoo Entertainment'}",,Jim Cramer Says We Have to Keep an Eye on Berkshire Hathaway (BRK-B),,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_47d2c924-1296-48d7-bd36-d057cd15ee27,,2025-03-16T14:52:07Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
2,"{'id': None, 'name': 'Yahoo Entertainment'}",,Is Berkshire Hathaway Inc. (BRK-B) the Most Profitable Large Cap Stock to Buy Now?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a5424e39-16ec-411b-bf0a-b7288cbd522d,,2025-03-13T23:42:44Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]"
3,"{'id': None, 'name': 'Forbes'}","Erik Sherman, Senior Contributor, 
 Erik Sherman, Senior Contributor
 https://www.forbes.com/sites/eriksherman/",New Scams Are Out And Active. Here Are Some Ways To Stay Wary And Safe,"Whether it’s the latest phishing scam hitting your email or a faked video of Warren Buffett offering stock tips, someone is trying to scam you.",https://www.forbes.com/sites/eriksherman/2025/03/21/new-scams-are-out-and-active-here-are-some-ways-to-stay-wary-and-safe/,https://imageio.forbes.com/specials-images/imageserve/67ddc04dc0b454374ef0f2a1/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-03-21T19:43:22Z,"Shareholders pose with a lifesize cardboard cutout of Warren Buffett during the Shareholder Shopping ... More Day at the Berkshire Hathaway Shareholders Meeting at CHI Health Center in Omaha, Nebrask… [+3718 chars]"
4,"{'id': None, 'name': 'Biztoc.com'}",247wallst.com,Why is Buffett Dumping $140b in Stocks When Inflation Could Crush Cash?,"In 2024, Warren Buffett’s Berkshire Hathaway (NYSE: BRK-A) (NYSE: BRK-B) investment holding company sold $143 billion worth of the stocks it owned, made only $9.3 billion in stock purchases, and halted repurchases of Berkshire Hathaway common stock. As the ye…",https://biztoc.com/x/c342ee150b6e87f6,https://biztoc.com/cdn/928/og.png,2025-03-18T16:22:47Z,"In 2024, Warren Buffetts Berkshire Hathaway (NYSE: BRK-A) (NYSE: BRK-B) investment holding company sold $143 billion worth of the stocks it owned, made only $9.3 billion in stock purchases, and halte… [+146 chars]"
5,"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Berkshire Raises Stakes in Japan’s Largest Trading Houses,"In This Article:
(Bloomberg) — Berkshire Hathaway Inc. (BRK-B, BRK-A) increased its stakes in Japan’s biggest trading houses, a move that is expected to offer support to the wider Tokyo stock market.
Most Read from Bloomberg
As foreshadowed three weeks ago in…",https://biztoc.com/x/d872bc8af5a605a8,https://biztoc.com/cdn/d872bc8af5a605a8_s.webp,2025-03-17T09:42:28Z,"Youve Read the News - Now Find the ExpertClick to discover leading experts on 50,000+ topics for media, events &amp; more.
Discover Experts on 50,000+ TopicsConnect for media, speaking, expert witne… [+95 chars]"
6,"{'id': None, 'name': 'Yahoo Entertainment'}",Vicky McKeever,"Trending tickers: Berkshire Hathaway, Nvidia, Alibaba, Just Eat and Porsche",The latest investor updates on stocks that are trending on Monday.,https://uk.finance.yahoo.com/news/berkshire-hathaway-nvidia-alibaba-just-eat-porsche-trending-tickers-112254301.html,https://s.yimg.com/ny/api/res/1.2/VeRMIY0ikYPP3jgzai68Qw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-07/23668f10-3525-11ee-be7f-767815594ffb,2025-02-24T11:22:54Z,"Warren Buffett's conglomerate Berkshire Hathaway (BRK-B) reported record operating earnings of $47.4bn (£37.5bn) last year, in its results released on Saturday.
In his annual letter to investors, Bu… [+5734 chars]"
7,"{'id': None, 'name': 'Github.io'}","Erik Helin, Adam Renberg",The little book about OS development,Comments,https://littleosbook.github.io/,,2025-03-21T20:30:32Z,"1 Introduction
This text is a practical guide to writing your own x86 operating system. It is designed to give enough help with the technical details while at the same time not reveal too much with … [+112275 chars]"
8,"{'id': None, 'name': 'Freerepublic.com'}",Yahoo Finance,"Trump may put US into a recession, former adviser Anthony Scaramucci warns","Being a tariff man may come with some consequences for the US economy. That's the warning from former Trump communications director and Skybridge Capital founder Anthony Scaramucci. ""I don't think this sort of blanket approach is the right way to do it, and I…",https://freerepublic.com/focus/f-news/4301720/posts,,2025-03-03T14:45:27Z,"Skip to comments.
Trump may put US into a recession, former adviser Anthony Scaramucci warnsYahoo Finance ^
 | March 3, 2025
 | Brian Sozzi 
Posted on 03/03/2025 6:45:27 AM PST by lasereye
Being… [+6705 chars]"
9,"{'id': None, 'name': 'Pypi.org'}",stephen.j.a.oates@gmail.com,allyanonimiser added to PyPI,Australian-focused PII detection and anonymization for the insurance industry,https://pypi.org/project/allyanonimiser/,https://pypi.org/static/images/twitter.abaf4b19.webp,2025-02-27T15:04:56Z,"Australian-focused PII detection and anonymization for the insurance industry.
Version 0.1.2 - Fixed Circular Import Issue
This version fixes a circular import issue that was present in versions 0.… [+9386 chars]"
