Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13
EQUITIES AND LIABILITIES,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,
Equity Share Capital,744.53,669.16,666.75,314.9,312.21,304.12,292.36,285.7,284.25,0.0,44.08,42.96,40.47
Total Share Capital,744.53,669.16,666.75,314.9,312.21,304.12,292.36,285.7,284.25,0.0,44.08,42.96,40.47
Reserves and Surplus,16297.52,11827.64,10266.57,7199.11,5963.0,4020.56,2652.59,1977.98,1697.19,0.0,722.37,554.79,401.39
Total Reserves and Surplus,16297.52,11827.64,10266.57,7199.11,5963.0,4020.56,2652.59,1977.98,1697.19,0.0,722.37,554.79,401.39
Employees Stock Options,124.24,62.73,44.03,0.0,0.0,52.12,42.94,17.5,6.15,0.0,0.0,0.0,0.0
Total ShareHolders Funds,17166.28,12559.53,10977.34,7514.01,6275.22,4376.81,3162.89,2281.18,1987.59,0.0,766.45,597.75,441.86
Deposits,124268.54,87182.12,69364.99,52584.62,35979.31,26163.93,19422.44,7923.32,0.0,0.0,0.0,0.0,0.0
Borrowings,11659.9,5479.37,6298.65,5990.78,7029.7,10335.32,8613.36,7638.86,7119.89,0.0,0.0,0.0,0.0
Other Liabilities and Provisions,4750.94,4204.65,3575.14,2988.39,2307.08,1267.01,1424.11,989.41,673.75,0.0,0.0,0.0,0.0
Total Capital and Liabilities,157845.67,109425.67,90216.12,69077.8,51591.31,42143.07,32622.8,18832.77,9781.22,0.0,3979.9,2958.59,3112.81
ASSETS,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,8604.62,4638.01,8916.09,2468.41,1569.35,1049.64,811.14,492.12,13.43,0.0,0.0,0.0,0.0
Balances with Banks Money at Call and Short Notice,861.74,1738.32,509.08,3460.11,3211.99,2320.04,929.05,1269.1,611.53,0.0,0.0,0.0,0.0
Investments,37847.52,27133.37,20072.01,15306.5,10815.41,10668.22,7161.67,3050.59,2150.31,0.0,0.0,0.0,0.0
Advances,107092.48,73162.65,58421.54,46095.26,34608.91,26992.42,22818.73,13312.13,6550.94,0.0,0.0,0.0,0.0
Fixed Assets,912.47,851.59,740.14,622.57,482.37,448.0,447.03,386.09,275.84,0.0,18.98,16.86,16.77
Other Assets,2526.83,1901.72,1557.25,1124.95,903.27,664.76,455.17,322.74,179.17,0.0,0.0,0.0,0.0
Total Assets,157845.67,109425.67,90216.12,69077.8,51591.31,42143.07,32622.8,18832.77,9781.22,0.0,3979.9,2958.59,3112.81
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,
Number of Branches,0.0,629.0,474.0,0.0,0.0,406.0,322.0,306.0,284.0,0.0,0.0,0.0,0.0
Number of Employees,0.0,29738.0,28320.0,0.0,0.0,17112.0,12623.0,11151.0,8515.0,0.0,0.0,0.0,0.0
Capital Adequacy Ratios (%),0.0,20.06,23.59,0.0,0.0,21.99,19.31,19.31,23.04,0.0,0.0,0.0,0.0
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,
Tier 1 (%),0.0,18.8,21.78,0.0,0.0,18.36,15.96,18.42,21.46,0.0,0.0,0.0,0.0
Tier 2 (%),0.0,1.26,1.81,0.0,0.0,3.63,3.35,0.89,1.58,0.0,0.0,0.0,0.0
ASSETS QUALITY,,,,,,,,,,,,,
Gross NPA,2477.03,1237.4,981.31,924.38,1502.83,457.78,470.14,269.73,124.51,0.0,0.0,0.0,0.0
Gross NPA (%),2.28,1.67,1.66,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Net NPA,791.34,441.99,286.16,230.85,755.45,217.3,294.5,169.33,80.46,0.0,0.0,0.0,0.0
Net NPA (%),0.74,0.55,0.42,0.5,2.18,0.81,1.29,1.27,1.22,0.0,0.0,0.0,0.0
Net NPA To Advances (%),1.53,0.55,0.42,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,
Bills for Collection,0.0,12.91,0.0,,,,,,,,0.0,0.0,0.0
Contingent Liabilities,0.0,4806.25,3498.59,0.0,0.0,1360.05,502.14,0.0,0.0,0.0,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,175.0,0.0,0.0,0.0,0.0,0.0,0.0
Preference Share Capital,,,,,,,,,,,0.0,0.0,0.0
Revaluation Reserve,,,,,,,,,,,0.0,0.0,0.0
Equity Share Application Money,,,,,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,,,,,0.0,0.0,0.0
