Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,3555.53,3441.21,3279.63,3091.98,2243.13,2123.22,2068.74,2007.06,1885.06,1750.41,1648.86,1498.09,1379.86,1223.52,1142.77,1135.41,1042.28,1006.51,944.78,953.8,952.72,883.25,810.13,768.74,709.03,630.33,538.96,471.93,397.53,329.51,282.53,241.3,237.41,250.34,252.92,240.31
(b) Income on Investment,618.36,568.52,508.2,543.1,469.76,414.41,372.38,375.83,326.96,312.52,295.85,254.56,227.35,196.97,183.74,172.48,182.3,186.1,206.54,198.1,159.96,154.59,155.67,143.24,90.79,73.91,59.05,50.35,40.98,34.17,29.16,24.14,2.55,5.22,3.92,1.33
(c) Int. on balances With RBI,21.98,18.56,14.81,13.79,15.55,16.28,14.98,20.06,13.5,7.27,10.33,27.17,24.51,23.6,24.29,14.67,18.6,21.01,23.59,21.81,11.31,5.67,4.61,4.21,10.18,14.51,11.48,9.91,3.47,9.05,14.13,15.03,--,--,--,--
(d) Others,74.73,85.19,107.97,120.17,101.06,181.91,74.95,55.38,49.33,47.87,37.24,40.38,35.32,52.36,53.95,30.93,49.19,47.5,37.54,10.41,59.46,68.1,63.02,41.2,66.86,69.59,73.89,68.09,89.74,91.44,84.47,80.51,101.81,70.53,67.02,50.71
Other Income,760.67,618.41,637.96,545.66,555.62,449.69,425.46,315.12,333.06,294.89,247.36,159.15,311.37,275.64,190.9,184.19,276.65,663.41,285.69,225.8,183.15,161.22,150.79,210.94,130.55,105.92,122.51,103.05,134.45,106.03,97.42,57.87,48.05,27.14,36.18,17.72
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,2176.68,2090.77,1936.25,1848.46,1492.47,1410.95,1282.09,1212.13,1061.65,965.34,908.94,844.2,730.47,676.03,651.62,629.48,636.54,627.99,651.82,668.26,628.51,604.78,581.84,561.82,489.96,440.37,362.34,313.91,244.85,213.75,190.63,177.51,121.19,125.39,128.38,124.19
Employees Cost,817.47,754.66,785.49,790.14,555.87,528.75,512.02,507.04,482.52,465.19,451.3,394.02,413.67,355.88,326.76,282.62,336.83,239.81,224.21,179.34,204.49,187.11,182.13,185.89,159.57,151.23,149.77,140.54,135.55,118.29,100.01,71.05,70.85,47.12,34.71,40.11
Other Expenses,744.86,681.55,695.07,687.98,672.62,588.73,514.72,508.25,492.83,426.72,380.62,347.06,351.94,281.75,225.82,174.34,221.84,183.88,155.81,116.72,217.82,168.1,142.55,129.78,142.2,123.99,118.59,96.5,131.25,85.26,73.06,45.83,43.71,35.75,39.22,38.52
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,1292.26,1204.91,1131.77,988.13,664.15,657.08,647.7,546.04,570.92,555.71,498.78,394.07,482.33,458.43,391.44,451.25,373.81,872.85,466.31,445.59,315.79,312.85,277.7,290.84,215.68,178.67,175.19,152.37,154.52,152.92,144.02,124.46,154.06,144.97,157.73,107.25
Provisions And Contingencies,635.11,501.68,372.99,319.24,132.51,158.94,114.32,32.98,40.88,32.64,42.96,38.37,93.22,55.97,3.6,176.59,177.78,283.62,57.4,181.25,150.57,40.11,61.01,31.51,39.23,32.46,34.98,35.11,29.62,32.89,40.96,29.1,35.78,17.58,21.82,15.84
Exceptional Items,--,--,--,--,-76.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.05,-23.41,693.71
