Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2014-03-31,427.28,492.75,236.73,236.73,0.0,729.48,161.59,0.0,16.57,63.08,241.24,96.16,100.16,33.18,7.5,237.0,1273.19,440.64,14.9,0.0,8.66,467.23,277.96,308.39,0.08,1053.66,0.0,10.64,173.87,5.63,19.17,10.22,219.53,1273.19,0.0,0.0,1.16,12.39,0.0,277.96,0.0,0.0,0.02,1.35,65.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,488.81,488.81,522.74,522.74,0.0,1011.55,222.75,0.0,1.99,4.9,229.64,40.29,111.23,48.3,8.03,207.85,1449.04,417.1,12.68,0.0,10.86,444.3,307.96,359.53,0.06,1111.85,143.0,12.74,144.01,19.52,12.94,4.98,337.19,1449.04,0.0,0.0,0.0,16.03,0.0,307.96,0.0,0.0,0.02,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,533.41,533.41,756.17,756.17,0.0,1289.58,177.15,0.0,4.73,7.22,189.1,87.13,130.55,27.24,8.15,253.07,1731.75,394.84,30.29,0.0,0.05,431.63,879.92,248.32,0.0,1559.87,0.0,13.18,119.27,3.91,23.54,11.98,171.88,1731.75,0.0,0.0,1.06,42.01,0.0,879.92,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,537.24,537.24,770.09,770.09,0.0,1307.33,242.91,0.0,8.23,7.91,259.05,64.24,152.57,38.74,9.68,265.23,1831.61,403.54,25.04,28.65,1.04,458.27,865.69,127.05,163.8,1614.81,0.0,13.86,149.22,4.6,10.1,39.02,216.8,1831.61,0.0,0.0,7.82,52.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,537.24,537.24,772.84,772.84,0.0,1310.08,310.44,0.0,12.24,10.09,332.77,65.81,198.45,53.74,10.8,328.8,1971.65,479.33,22.4,3.86,3.29,508.88,799.46,185.62,196.7,1695.36,0.0,17.55,217.54,4.36,10.71,26.13,276.29,1971.65,0.0,0.0,0.0,0.0,0.0,799.46,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,537.24,537.24,749.46,749.46,0.0,1286.7,326.74,0.0,9.25,10.98,346.97,51.26,207.6,46.93,11.96,317.75,1951.42,457.16,21.69,8.69,1.33,488.87,769.97,118.12,214.6,1591.56,0.0,15.4,285.45,4.28,32.91,21.82,359.86,1951.42,976.68,0.0,8.78,0.0,57.77,0.51,0.0,0.0,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,537.24,537.24,2337.84,2337.84,0.0,2875.08,0.0,0.0,2.56,0.88,3.44,657.82,13.9,2.22,0.35,674.29,3552.81,4.35,85.36,0.0,0.0,89.71,335.26,307.83,24.06,756.86,2135.98,0.0,83.9,65.76,510.14,0.17,2795.95,3552.81,62.04,0.0,0.0,0.0,0.0,0.0,2135.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,965.95,965.95,4946.97,4946.97,26.51,5939.43,316.92,451.99,140.28,19.18,928.37,14.35,193.04,51.88,15.88,275.15,7142.95,750.92,2238.04,8.15,0.19,2997.3,2379.3,568.09,236.41,6181.1,0.0,21.49,307.44,610.99,7.55,14.38,961.85,7142.95,861.12,6.5,12.9,0.0,27.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,969.61,969.61,5317.29,5317.29,22.12,6309.02,276.63,459.2,141.76,19.74,897.33,26.65,195.36,57.54,16.14,295.69,7502.04,942.11,2204.83,14.06,46.19,3207.19,2567.48,633.31,395.62,6803.6,0.0,24.66,267.61,376.44,11.57,18.16,698.44,7502.04,828.08,6.89,10.87,0.0,43.91,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,970.92,970.92,6029.61,6029.61,41.58,7042.11,428.85,413.75,74.54,19.9,937.04,23.57,219.79,179.57,18.25,441.18,8420.33,984.58,3500.06,57.03,45.82,4587.49,1474.74,438.11,483.94,6984.28,0.0,29.94,140.29,1231.46,16.89,17.47,1436.05,8420.33,536.28,0.0,17.71,0.0,81.59,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
