Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2019-06-30,14.15,0.0,14.15,0.0,0.0,3.81,0.95,12.16,-2.77,11.76,8.99,4.05,4.94,0.0,4.94,-0.05,4.99,0.0,4.99,537.24,0.0,0.09,0.0
2019-09-30,18.27,0.0,18.27,0.0,0.0,6.27,0.72,4.59,6.69,13.48,20.17,15.37,4.8,0.0,4.8,-0.06,4.86,0.0,4.86,537.24,0.0,0.09,0.09
2019-12-31,17.2,0.0,17.2,0.0,0.0,5.99,0.75,7.75,2.71,17.2,19.91,21.21,-1.3,0.0,-1.3,0.0,-1.3,0.0,-1.3,537.24,0.0,-0.02,-0.02
2020-03-31,1066.01,18.49,1084.5,241.96,-11.12,296.54,61.28,401.69,94.15,-26.59,67.56,49.2,18.36,0.0,18.36,0.11,18.25,1.08,19.33,537.24,708.8,0.36,0.0
2020-06-30,71.92,0.0,71.92,16.96,1.27,25.02,10.34,35.27,-16.94,24.72,7.78,23.89,-16.11,-210.67,-226.78,-9.57,-217.21,0.0,-217.21,904.53,0.0,-3.0,-3.0
2020-09-30,281.93,0.0,281.93,69.28,3.16,57.92,39.13,99.63,12.81,31.47,44.28,34.02,10.26,0.0,10.26,-0.17,10.43,0.0,10.43,904.53,0.0,0.12,0.12
2020-12-31,346.13,0.0,346.13,83.09,-11.1,88.82,23.82,122.58,38.92,25.27,64.19,29.5,34.69,0.0,34.69,3.14,31.55,0.0,31.55,904.53,0.0,0.35,0.35
2021-03-31,330.8,0.0,330.8,67.79,4.6,93.71,22.19,111.88,30.63,25.05,55.68,25.04,30.64,0.0,30.64,23.4,7.24,0.0,7.24,965.95,0.0,0.08,0.08
2021-06-30,500.21,0.0,500.21,190.48,-32.94,102.29,24.53,116.62,99.23,27.16,126.39,11.41,114.98,0.0,114.98,27.06,87.92,0.0,87.92,965.95,0.0,0.91,0.91
2021-09-30,449.95,0.0,449.95,93.72,25.9,101.82,25.1,124.73,78.68,28.16,106.84,11.02,95.82,0.0,95.82,22.57,73.25,0.0,73.25,965.95,0.0,0.76,0.75
2021-12-31,397.72,0.0,397.72,82.09,1.28,86.63,25.11,124.1,78.51,42.15,120.66,11.01,109.65,0.0,109.65,5.84,103.81,0.0,103.81,969.59,0.0,1.07,1.07
2022-03-31,381.2,0.0,381.2,79.87,2.59,73.12,24.4,135.95,65.27,27.91,93.18,10.64,82.54,0.0,82.54,16.39,66.15,0.0,66.15,969.61,0.0,0.68,0.68
2022-06-30,426.55,0.0,426.55,79.89,1.24,88.8,24.33,140.34,91.95,28.77,120.72,10.78,109.94,0.0,109.94,24.68,85.26,0.0,85.26,969.63,0.0,0.88,0.88
2022-09-30,474.14,0.0,474.14,87.81,-1.6,89.54,27.73,146.07,124.59,32.16,156.75,12.74,144.01,0.0,144.01,-214.63,358.64,0.0,358.64,969.68,0.0,3.7,3.69
2022-12-31,481.97,0.0,481.97,91.09,-2.56,94.67,28.01,145.24,125.52,44.04,169.56,12.51,157.05,0.0,157.05,34.91,122.14,0.0,122.14,970.72,0.0,1.26,1.26
2023-03-31,507.32,0.0,507.32,95.62,-2.35,97.18,29.94,163.05,123.88,40.61,164.49,13.53,150.96,0.0,150.96,24.59,126.37,0.0,126.37,970.92,0.0,1.3,1.3
2023-06-30,543.63,0.0,543.63,105.07,1.33,106.48,27.68,171.12,131.95,42.73,174.68,13.7,160.98,0.0,160.98,34.92,126.06,0.0,126.06,971.42,0.0,1.3,1.29
2023-09-30,596.87,0.0,596.87,108.33,0.27,115.86,27.62,169.58,175.21,48.04,223.25,13.22,210.03,0.0,210.03,48.72,161.31,0.0,161.31,971.58,0.0,1.66,1.66
2023-12-31,590.75,0.0,590.75,104.13,-2.32,113.41,29.5,175.38,170.65,42.68,213.33,10.0,203.33,0.0,203.33,45.21,158.12,0.0,158.12,971.83,0.0,1.63,1.62
2024-03-31,610.11,0.0,610.11,112.44,1.97,112.64,31.84,183.63,167.59,137.77,305.36,14.74,290.62,0.0,290.62,48.85,241.77,0.0,241.77,971.91,0.0,2.49,2.48
2024-06-30,621.39,0.0,621.39,120.16,-2.91,119.07,30.14,187.0,167.93,42.87,210.8,7.64,203.16,0.0,203.16,49.02,154.14,0.0,154.14,971.91,0.0,1.59,1.58
2024-09-30,686.11,0.0,686.11,135.6,0.9,123.32,32.18,201.62,192.49,133.51,326.0,7.85,318.15,0.0,318.15,86.85,231.3,0.0,231.3,972.13,0.0,2.38,2.37
2024-12-31,697.4,0.0,697.4,139.5,-0.53,122.73,32.77,199.66,203.27,92.01,295.28,23.47,271.81,-73.63,198.18,59.94,138.24,0.0,138.24,972.13,0.0,1.42,1.41
2025-03-31,658.7,0.0,658.7,145.68,1.43,125.98,36.1,211.0,138.51,98.15,236.66,9.43,227.23,0.0,227.23,49.84,177.39,0.0,177.39,972.14,0.0,1.82,1.81
