Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,658.7,697.4,686.11,621.39,610.11,590.75,596.87,543.63,507.32,481.97,474.14,426.55,381.2,397.72,449.95,500.21,330.8,346.13,281.93,71.92,1066.01,17.2,18.27,14.15
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.49,--,--,--
Total Income From Operations,658.7,697.4,686.11,621.39,610.11,590.75,596.87,543.63,507.32,481.97,474.14,426.55,381.2,397.72,449.95,500.21,330.8,346.13,281.93,71.92,1084.5,17.2,18.27,14.15
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,145.68,139.5,135.6,120.16,112.44,104.13,108.33,105.07,95.62,91.09,87.81,79.89,79.87,82.09,93.72,190.48,67.79,83.09,69.28,16.96,241.96,--,--,--
Increase/Decrease in Stocks,1.43,-0.53,0.9,-2.91,1.97,-2.32,0.27,1.33,-2.35,-2.56,-1.6,1.24,2.59,1.28,25.9,-32.94,4.6,-11.1,3.16,1.27,-11.12,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,125.98,122.73,123.32,119.07,112.64,113.41,115.86,106.48,97.18,94.67,89.54,88.8,73.12,86.63,101.82,102.29,93.71,88.82,57.92,25.02,296.54,5.99,6.27,3.81
Depreciation,36.1,32.77,32.18,30.14,31.84,29.5,27.62,27.68,29.94,28.01,27.73,24.33,24.4,25.11,25.1,24.53,22.19,23.82,39.13,10.34,61.28,0.75,0.72,0.95
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,211.0,199.66,201.62,187.0,183.63,175.38,169.58,171.12,163.05,145.24,146.07,140.34,135.95,124.1,124.73,116.62,111.88,122.58,99.63,35.27,401.69,7.75,4.59,12.16
"P/L Before Other Inc. , Int., Excpt. Items & Tax",138.51,203.27,192.49,167.93,167.59,170.65,175.21,131.95,123.88,125.52,124.59,91.95,65.27,78.51,78.68,99.23,30.63,38.92,12.81,-16.94,94.15,2.71,6.69,-2.77
