Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Long Term Provisions
2011-03-31,3.39,5.06,87.55,87.55,0.0,92.6,3.75,6.58,11.47,14.17,15.55,19.18,11.53,60.43,164.5,66.29,20.33,0.03,0.0,0.0,86.65,17.92,2.04,9.92,1.48,118.02,1.0,7.22,9.67,20.52,7.52,0.56,46.48,164.5,2.37,5.31,0.0,0.79,0.0,0.0,17.92,1.0,0.0,0.35,0.0,1.68,1.67,1.14
2012-03-31,3.35,5.02,107.01,107.01,0.0,112.02,0.0,9.34,10.79,0.0,21.65,7.03,18.87,47.55,170.37,66.79,17.09,0.4,5.83,0.0,90.1,17.92,2.44,16.52,2.27,129.26,4.76,5.61,13.98,9.2,7.39,0.18,41.11,170.37,11.5,7.06,0.0,1.42,0.0,0.0,17.92,4.76,0.0,0.94,0.0,2.44,1.67,1.45
2013-03-31,3.36,5.02,146.83,146.83,0.0,151.85,0.0,15.8,15.8,0.0,28.08,42.05,14.34,84.47,252.12,69.16,21.85,0.52,0.0,0.0,91.53,29.95,12.44,8.38,2.22,144.52,50.32,7.89,19.28,16.18,13.85,0.1,107.6,252.12,8.77,2.54,0.0,1.96,0.0,0.0,29.95,50.32,0.0,0.61,0.0,0.41,1.67,0.0
2014-03-31,53.68,80.31,135.49,135.49,0.0,215.8,0.0,20.27,20.38,0.01,31.81,50.27,13.03,95.13,331.31,73.02,40.76,0.17,0.0,0.0,113.95,11.44,19.49,18.42,2.36,165.65,8.59,11.02,23.94,103.22,15.61,3.29,165.66,331.31,13.45,4.78,0.0,1.9,0.0,50.32,11.44,8.59,0.0,1.79,0.0,4.54,26.63,0.11
2015-03-31,54.63,81.26,237.98,237.98,0.0,319.24,0.0,19.68,19.68,0.0,32.81,58.45,19.01,110.26,449.18,86.38,32.65,0.95,0.0,0.0,119.97,11.44,25.1,13.65,3.15,173.31,37.92,13.7,29.45,145.13,45.2,4.46,275.87,449.18,11.48,4.2,0.0,1.99,0.0,50.32,11.44,37.92,0.0,1.77,0.04,2.03,26.63,0.0
2016-03-31,82.68,82.68,395.84,395.84,0.0,478.51,0.0,23.51,23.51,0.0,40.58,17.41,30.96,88.96,591.72,104.33,25.45,4.09,0.0,0.0,133.88,11.59,11.44,15.54,3.2,175.64,62.59,14.08,34.86,226.43,71.51,6.61,416.07,591.72,23.96,8.29,0.0,2.54,0.0,50.32,11.59,62.59,0.73,1.16,0.02,5.94,0.0,0.0
2017-03-31,83.07,83.07,503.37,503.37,0.0,586.44,0.0,7.19,7.19,0.0,50.62,25.32,6.64,82.58,676.2,103.28,17.71,15.33,1.87,0.0,138.19,31.32,13.19,0.05,37.6,220.34,102.96,17.14,40.26,234.72,0.16,60.63,455.87,676.2,0.0,0.0,0.0,0.0,0.0,50.32,31.32,102.96,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,83.33,83.33,693.19,693.19,0.0,776.52,0.0,7.95,7.95,0.0,62.42,40.28,8.42,111.12,895.59,151.65,20.88,9.36,0.0,0.0,181.9,29.72,16.41,0.05,54.76,282.83,143.85,26.65,40.18,306.78,0.25,95.05,612.76,895.59,8.49,0.0,0.0,0.0,0.0,50.32,29.72,143.85,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,83.34,83.34,847.49,847.49,0.0,930.84,0.0,1.22,1.22,0.0,77.17,44.19,13.1,134.46,1066.51,151.31,21.64,2.87,0.0,0.0,175.82,32.37,21.08,0.01,41.0,270.28,181.67,27.81,53.1,478.11,0.94,54.6,796.23,1066.51,9.16,8.83,0.0,0.0,15.51,50.32,32.37,181.67,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,83.35,83.35,900.12,900.12,32.88,1016.35,0.0,90.4,90.4,0.0,112.7,84.16,14.4,211.26,1318.0,277.1,19.54,10.3,1.0,0.0,307.94,93.88,22.2,0.03,31.62,455.66,158.89,55.0,50.3,549.2,0.9,48.05,862.34,1318.0,19.0,8.6,0.0,0.0,17.7,50.32,93.88,158.89,0.0,0.0,0.0,0.0,0.0,0.0
