Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2014-12-31,150.42,0.03,150.45,32.48,0.0,8.26,80.78,28.93,3.04,31.97,0.01,31.96,0.0,31.96,10.59,21.37,21.37,53.68,0.0,3.98,2.61
2015-03-31,166.42,-0.04,166.38,-98.57,131.21,8.63,90.43,34.68,4.18,38.86,0.36,38.5,0.0,38.5,12.93,25.57,25.57,54.63,237.98,0.0,0.0
2015-06-30,183.06,0.02,183.08,38.43,0.0,7.4,97.2,40.05,4.06,44.11,0.03,44.08,0.0,44.08,15.35,28.73,28.73,63.13,0.0,0.0,0.0
2015-09-30,208.98,0.02,209.0,47.4,56.73,8.09,69.53,27.25,4.98,32.23,0.15,32.08,-16.63,15.45,10.85,4.6,4.6,63.13,0.0,0.73,0.55
2015-12-31,182.01,0.01,182.02,40.37,11.06,8.39,62.0,60.2,5.21,65.41,0.03,65.38,16.63,82.01,22.05,59.96,59.96,82.64,0.0,7.26,7.21
2016-03-31,191.29,0.01,191.3,41.93,31.37,8.13,65.53,44.34,6.16,50.5,0.28,50.22,0.0,50.22,17.75,32.47,32.47,82.68,0.0,3.93,3.9
2016-06-30,215.65,0.01,215.66,47.12,36.58,7.43,73.63,50.9,5.84,56.74,0.01,56.73,0.0,56.73,19.18,37.55,37.55,82.74,0.0,4.54,4.51
2016-09-30,252.91,0.01,252.92,57.95,40.86,7.71,76.76,69.64,7.5,77.14,0.0,77.14,0.0,77.14,25.71,51.43,51.43,82.78,0.0,6.21,6.17
2016-12-31,200.0,0.05,200.05,42.65,39.97,8.04,71.74,37.65,6.58,44.23,0.09,44.14,0.0,44.14,15.12,29.02,29.02,82.78,0.0,3.51,3.48
2017-03-31,213.24,0.0,213.24,43.53,41.25,8.8,80.74,38.92,6.08,45.0,0.11,44.89,0.0,44.89,15.68,29.21,29.21,83.07,0.0,3.52,3.51
2017-06-30,241.8,0.0,241.8,50.6,42.3,6.5,85.4,57.0,8.1,65.1,0.1,65.0,0.0,65.0,21.9,43.1,43.1,83.33,0.0,5.3,5.29
2017-09-30,269.3,0.0,269.3,57.6,43.4,7.1,93.4,67.8,7.7,75.5,0.3,75.2,0.0,75.2,25.0,50.2,50.2,83.3,0.0,6.15,6.14
2017-12-31,254.4,0.0,254.4,55.4,44.6,7.5,99.9,47.0,7.0,54.0,0.2,53.8,0.0,53.8,18.8,35.0,35.0,83.3,0.0,4.28,4.28
2018-03-31,258.5,0.0,258.5,55.7,44.8,9.9,95.3,52.8,8.7,61.5,0.2,61.3,0.0,61.3,21.6,39.7,39.7,83.3,0.0,4.83,4.82
