Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Net Sales/Income from operations,577.2,528.1,583.9,534.5,479.0,476.0,531.7,480.1,431.0,428.4,466.9,439.3,414.9,422.5,470.4,564.9,404.1,427.1,404.3,255.0,287.5,310.4,351.2,324.5,292.0,282.8,307.2,282.9,258.5,254.4,269.3,241.8,213.24,200.0,252.91,215.65,191.29,182.01,208.98,183.06,166.42,150.42
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.05,0.01,0.01,0.01,0.01,0.02,0.02,-0.04,0.03
Total Income From Operations,577.2,528.1,583.9,534.5,479.0,476.0,531.7,480.1,431.0,428.4,466.9,439.3,414.9,422.5,470.4,564.9,404.1,427.1,404.3,255.0,287.5,310.4,351.2,324.5,292.0,282.8,307.2,282.9,258.5,254.4,269.3,241.8,213.24,200.05,252.92,215.66,191.3,182.02,209.0,183.08,166.38,150.45
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,111.3,101.9,110.0,104.9,94.8,92.7,104.3,99.0,90.3,96.7,102.1,99.8,91.3,103.4,117.9,133.7,96.5,102.8,101.6,73.0,68.6,70.8,78.4,69.1,63.3,63.5,66.0,62.2,55.7,55.4,57.6,50.6,43.53,42.65,57.95,47.12,41.93,40.37,47.4,38.43,-98.57,32.48
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,109.4,109.9,107.4,100.8,90.3,93.4,90.1,89.8,76.9,81.4,75.7,80.6,80.2,81.1,78.1,80.8,71.2,65.3,64.6,56.3,58.9,58.7,58.0,56.5,55.2,50.1,48.7,47.9,44.8,44.6,43.4,42.3,41.25,39.97,40.86,36.58,31.37,11.06,56.73,--,131.21,--
Depreciation,34.6,18.9,18.2,17.8,19.8,19.2,19.1,18.4,20.8,20.6,21.4,18.8,21.5,18.9,18.1,16.8,17.9,17.8,17.7,16.4,18.5,17.4,16.5,15.6,9.9,9.0,8.9,8.4,9.9,7.5,7.1,6.5,8.8,8.04,7.71,7.43,8.13,8.39,8.09,7.4,8.63,8.26
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,197.4,170.9,182.0,173.3,163.6,159.8,174.3,155.5,148.1,145.9,158.9,149.5,138.6,138.5,141.4,177.5,123.0,128.0,122.4,78.4,104.2,104.5,111.1,107.0,109.4,106.6,109.3,100.3,95.3,99.9,93.4,85.4,80.74,71.74,76.76,73.63,65.53,62.0,69.53,97.2,90.43,80.78
"P/L Before Other Inc. , Int., Excpt. Items & Tax",124.5,126.5,166.3,137.7,110.5,110.9,143.9,117.4,94.9,83.8,108.8,90.6,83.3,80.6,114.9,156.1,95.5,113.2,98.0,30.9,37.3,59.0,87.2,76.3,54.2,53.6,74.3,64.1,52.8,47.0,67.8,57.0,38.92,37.65,69.64,50.9,44.34,60.2,27.25,40.05,34.68,28.93
Other Income,25.2,29.5,22.0,28.8,15.9,15.1,14.1,15.0,11.6,8.6,7.6,18.8,12.9,11.3,15.3,13.5,13.1,14.6,12.5,11.1,14.0,13.3,16.2,14.1,13.0,11.9,10.7,10.9,8.7,7.0,7.7,8.1,6.08,6.58,7.5,5.84,6.16,5.21,4.98,4.06,4.18,3.04
"P/L Before Int., Excpt. Items & Tax",149.7,156.0,188.3,166.5,126.4,126.0,158.0,132.4,106.5,92.4,116.4,109.4,96.2,91.9,130.2,169.6,108.6,127.8,110.5,42.0,51.3,72.3,103.4,90.4,67.2,65.5,85.0,75.0,61.5,54.0,75.5,65.1,45.0,44.23,77.14,56.74,50.5,65.41,32.23,44.11,38.86,31.97
