Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,396.21,117.04,91.02,104.08,182.29,139.51,108.31,89.69,185.1,111.81,88.16,68.38,170.54,43.84,59.24,37.23,157.06,22.41
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,396.21,117.04,91.02,104.08,182.29,139.51,108.31,89.69,185.1,111.81,88.16,68.38,170.54,43.84,59.24,37.23,157.06,22.41
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,181.66,78.51,49.59,41.51,50.71,41.51,48.36,40.24,73.85,45.32,46.65,28.31,52.61,12.76,18.25,7.97,26.44,8.5
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,20.66,-55.45,-27.71,-12.67,0.46,3.56,-14.79,-6.38,4.29,-7.7,-15.68,-4.15,7.1,-7.43,-0.77,-4.42,22.62,-3.57
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,29.54,29.17,26.6,28.75,26.51,26.22,25.7,21.89,24.37,18.49,19.14,17.5,17.17,17.05,14.48,13.65,13.51,13.28
Depreciation,3.88,3.47,3.48,3.09,6.95,3.3,3.07,2.84,2.22,2.11,2.13,1.98,1.89,1.73,1.59,1.42,1.36,1.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,14.86,10.78,8.24,9.31,11.59,8.18,8.28,6.09,9.23,8.66,7.89,5.47,6.2,5.87,6.24,3.08,5.79,3.73
"P/L Before Other Inc. , Int., Excpt. Items & Tax",145.61,50.56,30.82,34.09,86.07,56.74,37.69,25.0,71.14,44.93,28.03,19.27,85.57,13.86,19.45,15.53,87.34,-1.0
Other Income,10.62,11.37,12.04,12.31,12.28,11.3,10.84,11.61,3.81,1.85,1.85,1.7,2.53,0.7,0.55,0.18,0.53,0.54
"P/L Before Int., Excpt. Items & Tax",156.23,61.93,42.86,46.4,98.35,68.04,48.53,36.61,74.95,46.78,29.88,20.97,88.1,14.56,20.0,15.71,87.87,-0.46
Interest,3.12,3.18,2.83,2.95,3.03,2.32,2.26,1.72,2.81,2.14,1.22,1.55,3.53,2.65,2.87,1.94,3.19,3.86
P/L Before Exceptional Items & Tax,153.11,58.75,40.03,43.45,95.32,65.72,46.27,34.89,72.14,44.64,28.66,19.42,84.57,11.91,17.13,13.77,84.68,-4.32
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,153.11,58.75,40.03,43.45,95.32,65.72,46.27,34.89,72.14,44.64,28.66,19.42,84.57,11.91,17.13,13.77,84.68,-4.32
Tax,39.03,14.09,9.75,10.66,24.22,14.75,12.48,9.05,16.78,11.32,7.61,5.16,22.95,2.95,4.23,3.28,18.72,0.08
P/L After Tax from Ordinary Activities,114.08,44.66,30.28,32.79,71.1,50.97,33.79,25.84,55.36,33.32,21.05,14.26,61.62,8.96,12.9,10.49,65.96,-4.4
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
