Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Deferred Tax Liabilities [Net]
2010-03-31,24.84,24.84,25.4,25.4,0.0,50.24,246.14,0.0,0.0,246.19,0.0,0.0,10.84,13.87,310.31,2.27,3.1,0.0,5.37,0.0,0.0,9.57,0.0,0.0,59.18,238.74,2.81,300.73,310.31,0.0,0.26,0.0,4.2,0.0,3.03,0.0,4.2,0.0,0.06
2011-03-31,24.84,24.84,28.89,28.89,0.0,53.74,226.08,0.0,0.0,226.08,0.0,0.0,8.27,11.51,291.32,3.43,1.03,0.0,4.5,1.02,0.0,37.07,0.0,0.0,60.89,191.04,2.32,254.25,291.32,0.13,0.01,0.0,31.55,0.0,3.24,0.04,31.55,0.0,0.0
2012-03-31,24.84,24.84,25.99,25.99,0.0,50.83,75.04,0.0,1.1,76.14,31.75,0.0,165.91,198.15,325.12,3.1,0.09,0.09,3.27,0.0,24.32,112.87,0.0,0.11,16.91,192.28,2.95,212.25,325.12,23.2,0.02,0.0,0.2,0.0,0.48,0.0,0.2,85.07,0.0
2013-03-31,39.62,39.62,72.87,72.87,0.0,112.49,147.01,0.0,5.49,152.5,0.0,0.0,279.43,280.38,545.37,2.62,0.15,0.11,2.88,1.72,35.85,136.14,0.26,0.02,91.24,301.21,16.5,409.23,545.37,30.61,0.34,1.1,0.2,0.26,0.95,0.0,0.2,95.48,0.0
2014-03-31,52.95,52.95,154.32,154.32,0.0,207.28,370.02,0.0,2.9,372.92,0.0,0.0,471.74,477.89,1058.08,2.48,0.15,0.23,2.86,3.22,44.76,209.73,0.0,0.0,325.03,517.72,5.6,848.35,1058.08,18.91,0.0,0.0,0.2,0.0,6.15,0.0,0.2,158.69,0.0
2015-03-31,72.95,72.95,303.44,303.44,0.0,376.4,584.98,0.0,2.98,587.96,0.0,0.0,750.4,762.45,1726.81,2.57,1.15,2.49,6.21,5.95,73.73,356.39,0.0,0.0,279.77,1082.75,7.89,1370.42,1726.81,17.42,0.0,0.0,0.2,0.0,12.05,0.0,0.2,270.3,0.0
2016-03-31,72.95,72.95,386.92,386.92,0.0,459.88,1122.15,0.0,10.75,1132.9,20.0,0.0,1174.46,1215.2,2807.98,5.32,6.02,0.0,11.34,11.03,39.24,833.03,0.0,0.0,254.92,1704.16,15.86,1974.94,2807.98,8.48,0.0,0.0,0.2,0.0,20.74,0.0,0.2,771.23,0.0
2017-03-31,85.68,85.68,605.12,605.12,0.0,690.8,1175.88,0.0,30.72,1206.61,0.0,0.0,1549.42,1666.67,3564.07,5.98,6.28,2.33,15.29,48.49,11.96,713.56,0.0,0.0,363.69,2451.45,35.37,2850.51,3564.07,0.25,0.0,0.0,0.2,0.0,117.25,0.7,0.2,637.62,0.0
2018-03-31,128.43,128.43,1309.05,1309.05,0.0,1437.48,3623.46,11.02,6.53,3641.01,0.0,35.08,0.0,35.08,5113.57,9.48,6.68,1.06,17.22,30.0,9.54,56.76,0.2,5.46,143.06,4895.53,12.56,5056.81,5113.57,0.54,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2019-03-31,143.55,143.55,2212.72,2212.72,8.79,2365.06,593.23,9.9,11.88,615.01,4273.34,103.73,0.0,4377.07,7357.14,18.74,6.01,2.36,27.11,43.14,21.52,91.77,0.2,0.09,615.55,6602.83,46.7,7265.37,7357.14,1.05,9.76,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
