Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-12-31,431.37,0.0,431.37,318.59,60.49,-83.38,38.96,6.97,78.47,11.27,2.17,13.44,0.77,12.67,-0.24,12.43,10.89,1.54,1.54,274.59,224.56,0.0,0.03
2019-03-31,372.68,32.62,405.3,280.44,90.13,-84.96,40.96,7.42,78.07,-6.76,21.82,15.06,1.64,13.41,4.24,17.65,19.01,-1.36,-1.36,274.59,760.72,0.0,0.0
2019-06-30,627.59,0.0,627.59,405.39,38.11,-16.81,43.49,8.95,74.57,73.88,1.37,75.25,1.51,73.75,-0.54,73.21,21.38,51.83,51.83,274.59,0.0,0.0,0.0
2019-09-30,827.59,0.0,827.59,312.66,73.72,147.48,44.13,9.33,86.41,153.87,3.1,156.97,1.46,155.51,-3.84,151.67,21.71,129.96,129.96,274.59,224.56,0.0,2.6
2019-12-31,524.58,0.0,524.58,291.36,39.31,27.12,44.28,9.71,76.45,36.35,1.29,37.64,1.25,36.38,-25.32,11.07,10.03,1.04,1.04,499.15,0.0,0.0,0.02
2020-03-31,443.61,0.0,443.61,277.7,39.02,-28.25,46.22,12.93,67.24,28.75,5.08,33.83,1.3,32.53,-1.19,31.34,8.53,22.8,22.8,499.15,0.0,0.46,0.46
2020-06-30,645.98,0.0,645.98,292.85,52.26,76.6,48.02,10.78,58.58,106.9,2.32,109.22,1.28,107.94,0.0,107.94,29.37,78.57,78.57,499.15,0.0,1.57,1.57
2020-09-30,902.7,0.0,902.7,484.51,65.46,-7.46,53.77,11.25,86.84,208.34,6.14,214.48,1.68,212.8,0.0,212.8,54.66,158.14,158.14,499.15,0.0,3.17,3.17
2020-12-31,560.12,0.0,560.12,334.07,58.61,-43.34,49.19,11.05,83.52,67.02,5.58,72.6,1.49,71.1,0.0,71.1,16.72,54.38,54.38,499.15,0.0,1.09,1.09
2021-03-31,533.86,0.0,533.86,453.29,32.01,-144.34,42.12,13.49,79.83,57.45,4.94,62.39,1.1,61.29,0.0,61.29,7.07,54.21,54.21,499.15,0.0,1.09,1.09
2021-06-30,781.5,0.0,781.5,474.58,56.9,-32.04,53.97,11.04,77.91,139.13,5.43,144.56,1.83,142.74,0.0,142.74,36.59,106.14,106.14,499.15,0.0,2.13,2.13
2021-09-30,909.9,0.0,909.9,414.03,64.57,76.51,45.23,10.92,94.55,204.1,8.38,212.48,2.01,210.48,0.0,210.48,55.38,155.1,155.1,499.15,0.0,3.11,3.11
2021-12-31,707.15,0.0,707.15,390.04,71.24,-19.8,51.61,11.38,87.24,115.45,14.68,130.13,1.61,128.52,0.0,128.52,30.73,97.78,97.78,499.15,0.0,1.96,1.96
2022-03-31,665.02,0.0,665.02,569.22,38.23,-196.14,50.34,11.45,94.54,97.37,7.45,104.82,0.72,104.1,0.0,104.1,29.38,74.71,74.71,499.15,0.0,1.5,1.5
2022-06-30,985.53,0.0,985.53,518.23,69.1,51.83,57.02,11.24,101.52,176.59,4.66,181.25,1.31,179.94,0.0,179.94,41.53,138.41,138.41,499.15,0.0,2.77,2.77
2022-09-30,1121.67,0.0,1121.67,582.7,78.45,35.59,53.86,15.21,92.7,263.16,10.68,273.85,1.38,272.47,0.0,272.47,70.52,201.95,201.95,499.15,0.0,4.05,4.05
2022-12-31,753.65,0.0,753.65,351.59,61.54,74.18,52.06,11.39,93.74,109.17,13.17,122.35,1.31,121.03,0.0,121.03,30.42,90.61,90.61,499.15,0.0,1.82,1.82
2023-03-31,651.57,0.0,651.57,404.26,58.39,-15.22,54.16,14.03,69.14,66.82,16.54,83.36,1.39,81.97,0.0,81.97,9.5,72.47,72.47,499.15,0.0,1.45,1.45
2023-06-30,724.24,0.0,724.24,445.91,69.76,-16.79,59.75,13.52,84.85,67.24,17.5,84.74,1.34,83.4,0.0,83.4,21.63,61.78,61.78,499.15,0.0,1.24,1.24
2023-09-30,903.48,0.0,903.48,338.11,54.68,164.15,58.58,15.77,99.91,172.28,24.69,196.97,1.24,195.73,0.0,195.73,52.05,143.68,143.68,499.15,0.0,2.88,2.88
2023-12-31,540.45,0.0,540.45,229.92,78.43,17.73,52.95,16.06,95.48,49.89,26.85,76.73,1.17,75.57,0.0,75.57,20.62,54.95,54.95,499.15,0.0,1.1,1.1
2024-03-31,664.37,0.0,664.37,389.45,76.86,-75.87,54.94,16.14,80.27,122.59,27.09,149.68,1.02,148.66,0.0,148.66,39.38,109.28,109.28,499.15,0.0,2.19,2.19
2024-06-30,831.78,0.0,831.78,382.63,75.84,52.08,61.5,14.28,97.67,147.78,25.76,173.54,0.97,172.58,0.0,172.58,44.19,128.39,128.39,499.15,0.0,2.57,2.57
2024-09-30,971.35,0.0,971.35,447.18,86.71,28.08,61.15,15.1,106.01,227.13,31.04,258.16,1.03,257.14,0.0,257.14,66.3,190.84,190.84,499.15,0.0,3.82,3.82
2024-12-31,622.43,0.0,622.43,328.09,79.76,-42.29,63.3,18.28,92.48,82.83,31.27,114.1,1.49,112.6,0.0,112.6,28.29,84.31,84.31,499.15,0.0,1.69,1.69
