Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Share Capital Suspense,Short Term Borrowings,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2011-03-31,136.23,136.23,-71.62,-71.62,64.61,0.0,0.0,0.2,0.2,49.43,18.63,0.22,120.23,185.04,6.46,3.93,0.0,0.0,10.39,0.04,0.0,1.65,0.0,12.07,0.0,58.02,86.69,6.39,21.86,0.0,172.96,185.04,0.0,45.1,48.41,0.0,0.0,0.04,0.0,0.0,0.0,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,232.99,232.99,-82.31,-82.31,150.68,0.0,0.0,0.25,0.25,182.12,25.32,0.78,208.22,359.15,49.83,3.39,0.0,0.0,53.22,0.04,0.0,2.74,0.0,56.0,0.0,113.02,129.42,35.35,25.36,0.0,303.14,359.15,0.0,217.94,76.95,0.73,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,232.99,232.99,-69.53,-69.53,163.46,0.0,0.0,0.53,0.53,160.77,38.03,2.71,202.57,366.55,45.1,2.71,0.0,0.0,47.81,0.04,0.0,14.55,0.01,62.4,0.0,133.74,130.26,18.33,21.81,0.01,304.15,366.55,0.0,5.04,104.0,1.68,0.0,0.04,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,232.99,232.99,-36.38,-36.38,196.61,0.0,0.0,0.57,0.57,176.98,62.16,3.76,242.89,440.07,45.27,1.77,0.0,0.0,47.04,0.03,3.8,15.47,0.0,66.34,0.0,164.93,155.89,29.18,19.72,4.01,373.72,440.07,0.0,6.41,136.98,1.35,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,232.99,232.99,-1.56,-1.56,231.43,0.0,0.0,0.93,0.93,152.33,69.85,11.14,233.32,465.68,49.82,0.85,0.0,0.0,50.67,0.03,1.84,27.89,0.0,80.43,0.0,188.37,152.69,25.31,18.83,0.06,385.25,465.68,0.0,3.14,138.27,0.41,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,232.99,232.99,63.07,63.07,296.05,0.58,0.0,2.07,2.65,183.37,91.41,2.88,277.65,576.35,52.18,0.0,0.0,0.0,52.78,0.11,0.0,17.59,0.0,70.48,0.0,235.2,183.28,72.01,15.21,0.18,505.87,576.35,0.0,3.09,84.26,0.47,0.0,0.11,0.0,0.0,0.0,0.0,336.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,274.59,274.59,359.74,359.74,634.32,0.0,0.0,3.59,3.59,166.7,111.58,6.25,284.53,922.45,52.54,0.0,7.4,0.0,59.94,277.41,0.58,13.79,0.0,351.71,0.0,277.59,221.19,37.97,33.88,0.11,570.73,922.45,0.0,3.18,100.33,1.49,376.55,0.11,0.0,0.0,0.0,0.0,260.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,274.59,274.59,664.86,664.86,939.44,18.07,1.74,12.71,32.53,527.57,132.15,2.29,672.16,1644.13,264.79,1.93,4.45,4.26,275.43,1.74,0.0,7.26,27.74,312.17,0.0,605.16,550.89,65.74,3.66,106.51,1331.97,1644.13,15.65,0.0,0.0,0.0,0.02,0.12,0.0,0.0,0.0,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,274.59,274.59,536.17,536.17,810.75,14.59,0.0,15.64,30.23,480.45,278.07,2.45,780.72,1846.27,277.05,2.14,3.19,4.87,287.24,0.9,0.0,7.58,22.8,318.51,0.0,680.04,668.94,40.18,5.1,133.5,1527.75,1846.27,30.19,622.99,0.0,439.57,0.02,0.12,0.0,0.0,224.56,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,499.15,499.15,709.55,709.55,1208.7,0.0,19.4,25.14,44.54,490.54,339.11,9.66,839.31,2092.55,317.69,1.7,6.5,3.77,329.67,0.89,1.09,5.34,23.8,360.78,85.99,587.01,847.83,82.72,7.9,120.32,1731.77,2092.55,33.89,525.27,0.0,446.46,0.01,0.12,85.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
