Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23
Net Sales/Income from operations,1142.98,1340.04,1315.48,882.78,1336.7,1351.58,1377.79,1007.52
Other Operating Income,--,--,--,--,--,--,--,--
Total Income From Operations,1142.98,1340.04,1315.48,882.78,1336.7,1351.58,1377.79,1007.52
EXPENDITURE,,,,,,,,
Consumption of Raw Materials,68.44,175.43,142.19,166.64,143.6,208.04,101.78,280.41
Purchase of Traded Goods,511.24,363.21,440.25,269.42,415.26,363.92,620.07,290.73
Increase/Decrease in Stocks,-55.06,54.44,20.15,-53.47,64.53,35.5,-76.34,-123.97
Power & Fuel,--,--,--,--,--,--,--,--
Employees Cost,134.43,152.69,156.41,147.75,156.35,151.7,141.03,146.62
Depreciation,74.61,63.39,60.33,58.35,55.74,45.0,46.63,41.11
Excise Duty,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--
Other Expenses,478.66,442.61,384.67,315.0,364.69,365.69,380.71,314.06
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-69.34,88.27,111.48,-20.91,136.53,181.73,163.91,58.56
Other Income,36.71,34.12,29.24,31.05,39.05,36.58,48.3,36.5
"P/L Before Int., Excpt. Items & Tax",-32.63,122.39,140.72,10.14,175.58,218.31,212.21,95.06
Interest,46.15,49.03,47.0,40.99,42.43,37.05,37.76,54.21
P/L Before Exceptional Items & Tax,-78.78,73.36,93.72,-30.85,133.15,181.26,174.45,40.85
Exceptional Items,-1.98,-0.38,-59.44,-0.48,--,--,--,-9.19
P/L Before Tax,-80.76,72.98,34.28,-31.33,133.15,181.26,174.45,31.66
Tax,-16.27,19.69,8.14,-7.39,33.24,42.63,58.4,-6.05
P/L After Tax from Ordinary Activities,-64.49,53.29,26.14,-23.94,99.91,138.63,116.05,37.71
Prior Year Adjustments,--,--,--,--,--,--,--,--
Extra Ordinary Items,11.11,--,--,--,106.14,--,--,2059.06
Net Profit/(Loss) For the Period,-53.38,53.29,26.14,-23.94,206.05,138.63,116.05,2096.77
Equity Share Capital,12.18,12.18,12.18,1.53,1.53,1.53,1.53,1.53
Reserves Excluding Revaluation Reserves,--,--,--,--,9585.46,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,
Basic EPS,-10.59,8.75,4.29,-3.93,269.35,22.75,19.05,2740.88
Diluted EPS,-10.59,8.75,4.29,-3.93,--,22.75,19.05,--
EPS After Extra Ordinary,,,,,,,,
Public Share Holding,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,
a) Pledged/Encumbered,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,
Notes,,,,,,,,
