Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,8.3,9.67,111.12,111.12,0.0,122.16,0.0,0.0,4.93,4.93,0.0,6.86,25.04,1.17,33.07,158.79,15.97,2.03,2.87,20.88,7.59,2.25,5.75,0.31,36.78,0.0,100.56,9.55,3.16,8.7,122.0,158.79,113.37,164.52,0.0,1157.85,6.45,7.59,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
2014-03-31,8.5,10.22,167.16,167.16,0.0,179.1,0.0,0.0,6.51,6.51,39.23,7.42,31.47,3.31,81.43,265.33,17.73,0.97,2.87,21.57,7.59,3.53,8.9,0.96,42.54,55.0,134.18,18.98,2.79,11.84,222.79,265.33,80.65,216.38,0.0,1479.92,6.45,7.59,55.24,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,52.77,63.06,148.39,148.39,0.0,221.75,0.0,0.0,8.25,8.25,44.58,12.72,38.1,3.13,98.53,318.23,21.66,0.76,4.76,27.17,7.59,5.99,7.08,1.04,48.87,59.78,172.92,15.4,5.41,15.85,269.36,318.23,28.54,299.9,0.0,1809.39,43.97,7.59,59.94,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,52.8,63.09,164.77,164.77,0.0,238.16,0.0,13.17,11.22,24.39,58.83,14.17,52.01,1.9,126.91,379.15,55.29,1.03,6.05,62.36,7.08,8.55,10.96,1.58,90.53,45.02,194.38,20.1,5.08,24.05,288.63,379.15,5.75,346.99,7.75,1991.16,43.97,7.08,45.19,0.0,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,62.31,62.31,185.38,185.38,0.0,247.69,16.18,0.0,14.43,30.61,52.26,17.15,64.36,2.34,136.1,414.4,60.44,0.7,11.08,72.23,9.08,23.56,2.06,11.85,118.79,48.66,185.88,28.19,0.68,32.2,295.61,414.4,17.33,39.57,0.52,213.64,43.97,9.08,0.0,48.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,67.88,67.88,331.83,331.83,0.0,399.71,13.17,0.0,16.53,29.7,49.46,21.44,85.04,2.11,158.06,587.47,66.65,0.9,16.59,84.14,9.18,18.96,2.65,21.83,136.76,50.22,203.93,135.21,3.17,58.18,450.71,587.47,7.6,213.64,0.77,278.86,43.97,9.18,0.0,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,68.46,68.46,415.52,415.52,0.0,483.97,10.29,0.0,19.29,29.58,67.73,24.61,99.83,3.46,195.64,709.19,66.77,1.31,83.21,151.29,9.22,17.91,3.3,14.57,196.28,51.66,236.85,154.95,0.45,69.0,512.91,709.19,2.02,82.53,0.0,351.91,43.97,9.22,0.0,51.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,69.09,69.09,450.8,450.8,7.03,526.93,0.0,21.3,23.2,44.5,74.53,31.49,124.32,4.08,234.42,805.85,125.28,1.4,90.73,217.4,14.18,22.69,4.28,20.24,278.78,76.11,238.13,122.75,0.96,89.12,527.06,805.85,11.43,94.77,0.0,382.54,43.97,0.0,0.0,76.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,69.31,69.31,556.69,556.69,7.49,633.49,0.0,10.92,28.44,39.36,0.0,23.87,141.78,4.47,170.12,842.97,199.22,0.64,0.0,199.86,14.2,19.14,3.38,43.39,279.97,83.17,175.41,198.73,1.59,104.09,563.0,842.97,0.0,78.65,0.0,413.48,43.97,0.0,0.0,83.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,69.54,69.54,699.41,699.41,0.0,768.95,4.3,12.31,33.31,49.92,1.89,41.0,139.48,6.27,188.64,1007.5,205.84,0.13,0.0,205.97,27.86,14.89,0.0,113.95,362.68,92.38,188.64,226.16,3.66,133.99,644.83,1007.5,0.0,98.86,0.0,497.68,43.97,0.0,0.0,92.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
