Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,911.69,184.99,663.47,189.47,659.9,136.15,224.58,309.98,610.22,178.46,152.22,214.15,1084.69,244.13,114.25,30.38,387.84,72.83,57.48,52.27,780.83,275.54,80.62,610.06,961.56,184.99,179.05,87.82,447.79,185.88,83.34,91.63,84.9,64.36,18.19,49.18,53.46,65.35,79.87,40.8,92.44,54.98,127.54,128.5,297.78,42.47,90.56,81.57,100.55,64.36
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98.43,35.23,66.93,9.12,35.68,11.4,44.57,23.6,49.34,13.4,26.88,59.73,32.29,32.04,27.57,49.64,34.25
Total Income From Operations,911.69,184.99,663.47,189.47,659.9,136.15,224.58,309.98,610.22,178.46,152.22,214.15,1084.69,244.13,114.25,30.38,387.84,72.83,57.48,52.27,780.83,275.54,80.62,610.06,961.56,184.99,179.05,87.82,447.79,185.88,83.34,91.63,84.9,162.79,53.42,116.11,62.58,101.03,91.27,85.37,116.04,104.33,140.94,155.38,357.51,74.76,122.6,109.14,150.19,98.6
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2325.71,2396.01,694.29,1849.01,1888.19,882.7,423.21,758.23,1535.14,1832.12,426.74,375.76,157.05,401.56,122.81,74.51,443.59,435.16,302.22,161.23,302.85,79.5,131.92,164.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-1737.83,-2297.26,-269.38,-1747.6,-1553.26,-852.24,-321.77,-579.77,-1276.01,-1748.74,-371.98,-286.21,559.29,-243.91,-71.61,-76.45,-231.89,-400.9,-273.34,-141.85,153.79,62.9,-104.23,205.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,68.8,69.47,74.11,71.19,77.69,49.07,54.04,40.57,99.43,21.94,27.3,29.51,27.27,17.06,20.27,23.05,180.32,23.6,27.56,26.32,76.22,26.14,27.14,22.93,78.43,19.79,21.83,23.47,47.3,14.34,12.08,11.3,11.62,11.06,10.63,12.94,9.06,12.06,12.3,12.18,8.74,9.76,8.55,8.17,7.79,5.49,5.6,5.0,4.66,3.2
Depreciation,11.47,8.36,9.34,8.26,7.24,6.39,5.33,5.38,4.94,5.1,4.45,4.47,4.7,4.52,4.33,4.22,4.38,4.14,4.03,3.66,4.59,4.25,4.03,3.8,3.45,3.49,3.17,3.02,3.89,3.8,3.38,3.17,3.6,3.25,3.11,3.01,3.78,3.46,3.16,3.08,2.69,2.04,1.96,2.01,1.42,1.3,1.21,1.01,0.99,0.89
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
