Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,727.82,695.39,520.72,455.94,649.33,652.12,465.18,426.84,563.37,512.23,355.69,342.38,265.58,314.35,201.6,79.33,187.89,155.9,60.44,28.47,351.0,422.0,287.67,289.63,430.89,443.92,333.47,334.96,431.38,362.07,272.33,284.12,369.02,361.51,272.56,273.64,418.95,400.1,298.07,299.38,384.08,374.67,283.42,280.91,353.92,348.62,261.04,266.96,342.56,318.37
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.87,1.63,2.53,4.19,2.48,4.44,3.04,8.65,3.71,2.66,3.21,5.68,6.33,5.41,4.2,10.06,5.26
Total Income From Operations,727.82,695.39,520.72,455.94,649.33,652.12,465.18,426.84,563.37,512.23,355.69,342.38,265.58,314.35,201.6,79.33,187.89,155.9,60.44,28.47,351.0,422.0,287.67,289.63,430.89,443.92,333.47,334.96,431.38,362.07,272.33,284.12,369.02,375.38,274.19,276.17,423.14,402.58,302.51,302.42,392.73,378.38,286.08,284.12,359.6,354.95,266.45,271.16,352.62,323.63
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,62.7,52.36,--,--,--,46.07,44.51,--,--,--,--,--,--,30.53,14.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59.34,55.22,46.77,44.9,43.42,53.71,49.34,46.6,50.74,51.34,44.29,42.23,47.42,45.22
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,129.6,126.13,119.66,116.6,117.65,112.42,115.47,98.58,101.56,99.77,92.24,89.0,91.22,85.86,83.09,82.04,77.42,74.16,76.53,87.3,101.96,101.96,105.39,101.59,106.2,102.35,109.5,103.53,108.85,100.53,103.1,91.88,112.82,87.93,93.82,84.73,102.52,102.4,97.04,95.07,79.97,95.41,99.35,88.67,93.64,88.67,90.32,79.95,83.4,80.11
Depreciation,30.01,31.39,31.85,30.57,30.34,30.78,30.28,29.11,28.92,28.75,28.68,28.9,29.42,28.47,28.43,28.53,28.44,29.69,30.9,30.93,32.52,34.06,34.05,33.57,30.31,31.08,30.98,30.64,30.42,25.57,26.5,26.48,26.72,27.87,28.05,27.85,28.54,30.7,29.3,29.13,29.06,32.78,31.73,30.61,24.36,24.7,24.55,25.57,25.33,26.66
