Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21
Net Sales/Income from operations,736.55,395.9,432.84,350.16,374.63,317.17,291.55,290.59,356.26,276.0,262.63,191.67,22.82,166.0
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,736.55,395.9,432.84,350.16,374.63,317.17,291.55,290.59,356.26,276.0,262.63,191.67,22.82,166.0
EXPENDITURE,,,,,,,,,,,,,,
Consumption of Raw Materials,539.81,294.0,304.64,257.34,286.1,226.21,217.98,202.76,257.25,231.43,185.45,153.08,15.72,121.58
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,26.0,-11.37,-4.36,-8.77,-11.73,2.18,-13.39,1.47,-15.87,-34.33,1.02,-17.97,0.06,-3.1
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,29.97,30.7,27.74,24.56,24.11,21.8,20.97,21.22,24.39,17.73,16.5,16.47,1.49,14.68
Depreciation,7.24,6.88,6.39,6.26,5.61,5.21,5.77,4.85,4.61,4.41,4.35,4.3,0.35,3.21
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,57.05,33.98,31.87,28.72,24.38,25.3,27.45,25.73,35.29,23.44,18.98,13.91,1.83,13.6
"P/L Before Other Inc. , Int., Excpt. Items & Tax",76.47,41.69,66.56,42.05,46.17,36.46,32.76,34.56,50.6,33.32,36.33,21.87,3.37,16.04
Other Income,26.09,34.54,39.35,35.94,33.29,12.29,10.13,8.49,5.93,3.51,0.34,0.93,-0.01,1.26
"P/L Before Int., Excpt. Items & Tax",102.56,76.23,105.92,77.99,79.46,48.75,42.89,43.05,56.53,36.83,36.67,22.8,3.36,17.3
Interest,24.95,23.65,20.03,19.11,14.71,15.75,11.95,11.14,8.01,9.06,10.19,7.13,0.68,6.2
P/L Before Exceptional Items & Tax,77.62,52.59,85.89,58.88,64.75,33.01,30.94,31.91,48.52,27.77,26.48,15.67,2.68,11.1
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,77.62,52.59,85.89,58.88,64.75,33.01,30.94,31.91,48.52,27.77,26.48,15.67,2.68,11.1
Tax,17.21,14.55,23.32,10.37,15.05,7.21,5.52,6.72,9.9,7.07,7.49,3.42,0.85,3.32
P/L After Tax from Ordinary Activities,60.41,38.04,62.57,48.51,49.7,25.79,25.41,25.19,38.61,20.7,18.99,12.25,1.83,7.78
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,60.41,38.04,62.57,48.51,49.7,25.79,25.41,25.19,38.61,20.7,18.99,12.25,1.83,7.78
Equity Share Capital,64.08,64.01,64.01,63.92,63.92,63.92,58.14,58.14,58.14,58.14,46.16,46.16,4.62,7.69
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,
Basic EPS,9.5,5.95,9.77,7.59,8.0,4.4,4.37,4.33,8.15,4.32,4.11,2.65,4.39,1.87
Diluted EPS,9.45,5.88,9.68,7.5,7.9,4.23,4.37,4.33,8.06,4.27,4.06,2.65,3.94,1.68
EPS After Extra Ordinary,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
