Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Net Sales/Income from operations,586.61,544.53,510.39,453.78,606.18,652.88,549.27,503.67,658.99,650.63,631.67,578.33,744.16,745.97,733.59,332.13,618.86,433.68,422.37,322.48,552.57,602.57,726.21,519.22,714.32,511.35,433.26,310.04,549.0,359.64,199.96,330.64,418.69
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,8.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,586.61,544.53,510.39,453.78,606.18,652.88,549.27,503.67,658.99,650.63,631.67,578.33,744.16,754.53,733.59,332.13,618.86,433.68,422.37,322.48,552.57,602.57,726.21,519.22,714.32,511.35,433.26,310.04,549.0,359.64,199.96,330.64,418.69
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-52.37,-16.9,-0.75,-0.63,0.26,24.16,-20.43,20.79,3.87,13.7,19.61,30.37,140.07,121.25,87.86,-106.33,-204.47,-64.0,-10.5,-0.06,34.06,37.86,73.67,50.82,-66.62,-4.97,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,126.47,124.88,120.72,130.1,123.93,125.01,118.8,123.48,135.51,124.51,119.31,128.27,134.22,132.52,129.91,119.77,132.23,116.81,113.08,118.73,131.09,133.4,120.68,131.5,125.85,132.83,108.21,117.65,135.87,95.37,111.12,114.81,158.43
Depreciation,14.53,13.66,12.63,12.12,13.19,12.59,11.7,13.95,14.8,16.69,15.06,12.83,22.65,12.79,11.73,11.3,11.71,11.16,10.98,10.96,11.56,10.2,9.65,9.52,8.45,8.27,7.94,7.52,7.14,7.57,7.68,7.79,8.07
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,350.9,346.38,310.5,246.05,337.23,359.38,340.17,233.14,349.16,341.55,334.88,263.5,283.07,321.93,318.03,240.86,518.99,264.2,203.07,152.77,240.67,276.57,351.64,220.19,487.95,250.42,182.31,122.18,314.91,128.68,42.26,135.89,209.63
"P/L Before Other Inc. , Int., Excpt. Items & Tax",147.08,76.51,67.29,66.14,131.57,131.74,99.03,112.31,155.65,154.18,142.81,143.36,164.15,166.04,186.06,66.53,160.4,105.51,105.74,40.08,135.19,144.54,170.57,107.19,158.69,124.8,134.8,62.69,91.08,128.02,38.9,72.15,42.56
Other Income,36.04,47.24,43.21,21.36,32.98,24.85,51.4,17.69,31.17,25.36,31.23,31.4,20.53,16.02,33.35,26.85,13.56,30.58,66.01,43.31,43.35,43.01,147.5,34.3,47.52,51.08,39.97,59.86,38.95,34.77,50.11,39.51,18.19
"P/L Before Int., Excpt. Items & Tax",183.12,123.75,110.5,87.5,164.55,156.59,150.43,130.0,186.82,179.54,174.04,174.76,184.68,182.06,219.41,93.38,173.96,136.09,171.75,83.39,178.54,187.55,318.07,141.49,206.21,175.88,174.77,122.55,130.03,162.79,89.01,111.66,60.75
Interest,1.29,0.88,2.42,1.05,0.47,1.88,1.43,0.92,2.33,2.0,1.11,1.18,1.31,2.3,1.09,0.26,0.35,1.31,0.46,0.72,1.12,0.74,0.73,0.45,1.76,0.38,0.56,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,181.83,122.87,108.08,86.45,164.08,154.71,149.0,129.08,184.49,177.54,172.93,173.58,183.37,179.76,218.32,93.12,173.61,134.78,171.29,82.67,177.42,186.81,317.34,141.04,204.45,175.5,174.21,122.55,130.03,162.79,89.01,111.66,60.75
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,181.83,122.87,108.08,86.45,164.08,154.71,149.0,129.08,184.49,177.54,172.93,173.58,183.37,179.76,218.32,93.12,173.61,134.78,171.29,82.67,177.42,186.81,317.34,141.04,204.45,175.5,174.21,122.55,130.03,162.79,89.01,111.66,60.75
Tax,47.42,27.88,22.12,21.59,41.01,36.14,32.41,33.2,46.12,46.02,41.54,44.32,53.49,46.14,55.19,22.64,39.05,35.86,40.55,22.54,46.03,47.07,84.7,48.42,72.63,58.03,57.46,40.5,47.3,56.17,10.78,42.43,13.37
P/L After Tax from Ordinary Activities,134.41,94.99,85.96,64.86,123.07,118.57,116.59,95.88,138.37,131.52,131.39,129.26,129.88,133.62,163.13,70.48,134.56,98.92,130.74,60.13,131.39,139.74,232.64,92.62,131.82,117.47,116.75,82.05,82.73,106.62,78.23,69.23,47.38
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
