Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,61.9,73.0,71.84,64.7,71.09,59.78,72.04,58.41,62.2,64.04,73.13,59.11,145.17,68.97,73.84,50.52,55.79,56.89,55.56,30.5,46.75,49.0,55.86,58.53,68.29,54.12,57.38,58.19,51.55,49.28,52.36,50.98,61.11,62.36,66.75,63.38,57.02,53.18,60.4,65.71,60.95,50.87,59.85,61.56,72.32,67.37,61.09,66.44,54.85,52.15
Other Operating Income,1.06,0.76,1.04,0.81,--,--,--,--,1.63,--,0.81,1.08,0.92,--,--,--,1.14,--,0.93,0.49,0.73,0.7,1.08,1.25,1.3,0.78,1.13,0.76,0.88,0.63,3.08,1.34,0.98,2.34,4.72,1.78,2.74,0.88,3.95,1.27,19.17,1.58,4.57,1.4,3.48,2.11,4.32,1.34,4.76,2.88
Total Income From Operations,62.96,73.76,72.88,65.51,71.09,59.78,72.04,58.41,63.82,64.04,73.94,60.18,146.1,68.97,73.84,50.52,56.94,56.89,56.49,30.99,47.48,49.71,56.94,59.78,69.59,54.91,58.51,58.95,52.43,49.91,55.45,52.32,62.09,64.7,71.47,65.16,59.76,54.06,64.35,66.98,80.12,52.46,64.42,62.96,75.8,69.47,65.42,67.78,59.62,55.04
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,35.99,39.1,36.89,30.83,35.46,30.51,37.04,29.52,31.3,32.23,34.06,27.69,27.81,25.19,28.13,22.07,28.81,25.93,17.86,3.78,29.46,19.41,18.73,19.63,34.16,20.8,21.9,22.82,21.43,20.78,17.38,15.95,18.85,19.58,20.83,21.27,12.52,25.46,20.19,21.19,18.31,21.42,19.73,18.59,19.31,22.89,21.38,22.98,20.25,21.34
Purchase of Traded Goods,0.93,1.13,1.22,1.0,1.5,0.63,0.26,0.24,0.39,0.48,1.24,1.04,0.53,0.23,0.97,0.88,-0.57,1.11,0.25,0.45,0.85,1.37,0.94,0.01,1.37,0.92,4.29,2.96,0.99,0.94,0.6,1.42,1.47,0.61,0.68,0.56,14.51,0.59,0.52,0.37,13.8,0.31,0.25,0.35,6.5,1.25,0.33,0.37,18.91,9.87
Increase/Decrease in Stocks,-1.7,-1.35,1.58,-0.52,-0.79,2.47,0.27,-5.35,2.61,-3.88,5.17,-8.27,21.01,7.13,14.5,-8.11,-16.06,-0.64,12.55,4.58,-20.18,2.19,14.24,6.15,-16.2,-4.13,3.0,-5.36,-5.91,-0.68,8.97,-4.75,-0.36,12.09,17.59,4.19,-4.47,-3.09,11.0,2.11,-19.92,-5.49,8.86,5.77,1.62,3.51,2.4,2.51,-27.62,-15.4
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,19.19,22.09,23.39,22.26,22.93,25.37,26.51,22.75,21.81,25.82,23.39,24.02,24.09,21.7,20.63,19.87,26.04,20.29,18.5,18.12,27.6,20.66,20.5,19.46,28.01,22.17,20.48,19.91,27.74,20.21,20.23,16.0,22.27,17.77,18.09,18.14,23.27,18.54,16.82,17.88,22.01,17.5,16.6,16.79,21.24,18.26,16.27,16.41,19.9,15.1
Depreciation,1.7,1.7,1.68,1.64,2.34,1.62,1.66,1.63,2.02,2.28,2.27,2.24,2.27,2.36,1.92,1.88,3.36,1.86,1.73,1.75,3.28,2.05,1.93,1.87,3.05,1.83,1.73,1.73,4.07,1.8,1.59,1.69,2.57,2.03,1.83,1.86,3.27,1.66,1.43,1.58,1.54,1.96,1.69,1.68,2.4,1.92,1.65,1.62,1.99,1.73
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,21.92,19.97,21.75,19.26,23.46,19.16,19.71,17.29,18.13,21.16,20.28,19.19,23.44,18.01,18.6,16.88,19.41,18.16,19.07,9.56,22.54,16.95,16.96,15.9,21.55,19.84,15.83,19.17,18.64,17.73,17.14,19.93,22.06,17.93,18.03,19.73,26.86,17.36,16.18,21.24,27.71,15.76,15.72,18.39,22.56,19.11,18.2,18.05,20.75,19.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-15.06,-8.88,-13.61,-8.96,-13.81,-19.98,-13.42,-7.65,-12.45,-14.06,-12.46,-5.73,46.94,-5.65,-10.9,-2.95,-4.05,-9.83,-13.46,-7.26,-16.08,-12.93,-16.37,-3.25,-2.34,-6.51,-8.72,-2.28,-14.54,-10.87,-10.46,2.08,-4.77,-5.31,-5.58,-0.59,-16.21,-6.45,-1.78,2.61,16.66,0.99,1.57,1.39,2.18,2.53,5.2,5.84,5.44,3.2
Other Income,4.69,130.35,7.56,56.89,98.19,2.44,9.93,10.88,60.57,10.25,7.93,12.24,15.13,42.77,7.15,7.41,11.37,20.82,15.47,65.96,4.22,52.62,8.47,3.6,18.97,3.52,8.19,4.14,4.63,17.89,5.6,5.75,16.95,19.84,4.53,5.04,7.84,4.87,4.24,4.64,5.36,4.25,3.64,3.1,4.43,2.97,2.69,2.91,3.81,5.01
"P/L Before Int., Excpt. Items & Tax",-10.38,121.47,-6.05,47.92,84.38,-17.55,-3.49,3.23,48.12,-3.81,-4.54,6.51,62.07,37.12,-3.76,4.46,7.32,10.99,2.01,58.69,-11.86,39.69,-7.9,0.35,16.64,-2.99,-0.52,1.86,-9.9,7.03,-4.86,7.83,12.18,14.53,-1.05,4.44,-8.37,-1.59,2.45,7.25,22.02,5.24,5.22,4.49,6.61,5.5,7.89,8.74,9.25,8.21
Interest,8.86,8.87,7.51,7.79,10.33,13.7,18.05,19.93,23.43,22.58,19.53,21.81,22.9,22.89,18.11,18.06,19.48,20.54,20.71,14.49,10.16,8.63,9.4,9.82,8.89,8.65,8.21,7.89,7.6,7.72,6.17,9.52,8.34,8.3,8.93,8.11,6.78,8.74,8.18,8.11,8.21,7.33,6.03,5.37,6.52,5.37,5.63,4.0,4.28,4.04
P/L Before Exceptional Items & Tax,-19.23,112.6,-13.55,40.13,74.05,-31.25,-21.54,-16.7,24.7,-26.39,-24.07,-15.29,39.17,14.23,-21.87,-13.6,-12.16,-9.55,-18.71,44.2,-22.02,31.06,-17.29,-9.47,7.74,-11.64,-8.74,-6.03,-17.5,-0.7,-11.03,-1.69,3.84,6.23,-9.98,-3.67,-15.15,-10.33,-5.72,-0.86,13.81,-2.08,-0.82,-0.89,0.09,0.13,2.26,4.75,4.97,4.17
Exceptional Items,56.15,-22.55,-1.16,-23.38,--,--,--,--,-186.22,--,--,--,--,--,--,10.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,36.92,90.04,-14.72,16.75,74.05,-31.25,-21.54,-16.7,-161.53,-26.39,-24.07,-15.29,39.17,14.23,-21.87,-3.37,-12.16,-9.55,-18.71,44.2,-22.02,31.06,-17.29,-9.47,7.74,-11.64,-8.74,-6.03,-17.5,-0.7,-11.03,-1.69,3.84,6.23,-9.98,-3.67,-15.15,-10.33,-5.72,-0.86,13.81,-2.08,-0.82,-0.89,0.09,0.13,2.26,4.75,4.97,4.17
Tax,9.43,-6.0,-2.0,8.32,8.21,--,--,--,--,--,--,--,18.27,--,--,--,-1.65,-1.4,-2.52,6.56,-4.07,3.37,--,--,1.03,--,--,--,-5.09,--,--,--,-1.21,0.85,--,--,1.09,--,--,--,3.0,--,--,--,-0.05,--,0.73,1.42,0.14,2.04
P/L After Tax from Ordinary Activities,27.49,96.05,-12.72,8.43,65.84,-31.25,-21.54,-16.7,-161.53,-26.39,-24.07,-15.29,20.9,14.23,-21.87,-3.37,-10.51,-8.14,-16.19,37.64,-17.95,27.69,-17.29,-9.47,6.71,-11.64,-8.74,-6.03,-12.41,-0.7,-11.03,-1.69,5.05,5.38,-9.98,-3.67,-16.24,-10.33,-5.72,-0.86,10.81,-2.08,-0.82,-0.89,0.14,0.13,1.53,3.33,4.83,2.13
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,-0.1,-0.2,-0.81,-1.13,236.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,27.49,96.05,-12.72,8.43,65.73,-31.44,-22.35,-17.82,74.54,-26.39,-24.07,-15.29,20.9,14.23,-21.87,-3.37,-10.51,-8.14,-16.19,37.64,-17.95,27.69,-17.29,-9.47,6.71,-11.64,-8.74,-6.03,-12.41,-0.7,-11.03,-1.69,5.05,5.38,-9.98,-3.67,-16.24,-10.33,-5.72,-0.86,10.81,-2.08,-0.82,-0.89,0.14,0.13,1.53,3.33,4.83,2.13
Equity Share Capital,13.95,13.95,13.95,13.95,13.96,13.96,13.96,13.95,13.96,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.94,13.77,-1.82,1.21,9.42,-4.5,-3.2,-2.55,10.68,-3.78,-3.45,-2.19,3.0,2.04,-3.13,-0.48,-1.51,-1.17,-2.32,5.39,-2.57,3.97,-2.48,-1.36,0.96,-1.67,-1.25,-0.86,-1.78,-0.1,-1.58,-0.24,0.72,0.77,-1.43,-0.53,-2.33,-1.48,-0.82,-0.12,1.55,-0.3,-0.12,-0.13,0.02,0.02,0.22,0.48,0.69,0.31
