Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-06-30,302.26,302.26,170.91,7.53,9.47,10.42,16.37,87.55,11.16,98.71,3.76,94.95,94.95,28.45,66.51,0.0,66.51,22.54,5.89,5.89
2018-09-30,229.35,229.35,-170.91,-1.35,10.9,10.45,321.38,58.89,11.92,70.81,4.35,66.46,66.46,12.87,53.59,0.0,53.59,22.54,0.0,0.0
2018-12-31,269.42,269.42,0.0,-4.56,10.3,10.47,215.36,37.85,13.98,51.83,1.39,50.44,50.44,19.79,30.66,0.0,30.66,22.54,2.72,2.72
2019-03-31,187.61,187.61,142.33,-12.71,10.69,10.49,13.71,23.1,22.11,45.2,2.78,42.42,42.42,11.58,30.84,0.0,30.84,22.54,2.74,2.74
2019-06-30,237.49,237.49,131.61,14.63,9.84,10.36,12.6,58.46,12.57,71.03,1.3,69.73,69.73,18.48,51.25,0.0,51.25,22.0,4.63,4.63
2019-09-30,263.76,263.76,134.9,2.21,9.75,10.37,18.86,87.67,11.21,98.88,1.52,97.36,97.36,7.13,90.23,0.0,90.23,22.0,8.2,8.2
2019-12-31,260.84,260.84,198.62,-3.47,11.11,10.38,11.71,32.48,12.16,44.64,2.04,42.61,42.61,10.57,32.04,0.0,32.04,22.0,2.92,2.92
2020-03-31,114.08,114.08,80.11,-0.94,8.97,10.41,19.47,-3.95,8.99,5.04,1.19,3.85,3.85,0.68,3.17,0.0,3.17,22.0,0.29,0.29
2020-06-30,169.75,169.75,102.11,2.76,7.42,10.26,13.14,34.07,13.32,47.39,1.24,46.16,46.16,11.68,34.47,0.0,34.47,22.0,3.13,3.13
2020-09-30,257.11,257.11,161.75,-5.58,9.84,10.27,15.77,65.07,50.63,115.7,1.72,113.98,113.98,17.58,96.4,0.0,96.4,22.0,8.77,8.77
2020-12-31,247.56,247.56,147.08,0.11,7.86,10.26,15.0,67.25,11.04,78.29,2.59,75.7,75.7,19.05,56.65,0.0,56.65,22.0,5.15,5.15
2021-03-31,214.8,214.8,155.21,2.98,8.19,10.32,29.46,8.65,8.6,17.25,2.3,14.95,14.95,2.02,12.93,0.0,12.93,22.0,1.18,1.18
2021-06-30,189.45,189.45,115.02,-1.13,8.25,10.28,12.11,44.92,17.13,62.05,1.76,60.29,60.29,14.69,45.6,0.0,45.6,22.0,4.15,4.15
2021-09-30,273.51,273.51,187.1,-24.69,8.6,10.11,17.07,75.32,10.29,85.6,1.25,84.35,84.35,20.87,63.49,0.0,63.49,22.0,5.77,5.77
2021-12-31,303.35,303.35,272.71,-37.42,9.44,10.21,16.01,32.4,119.89,152.29,1.63,150.66,150.66,36.67,113.99,0.0,113.99,22.0,10.36,10.36
2022-03-31,307.55,307.55,191.77,42.4,8.29,10.3,25.88,28.91,3.09,31.99,0.95,31.05,31.05,-6.22,37.27,0.0,37.27,22.0,3.39,3.39
2022-06-30,172.96,172.96,97.68,4.06,8.62,10.21,14.81,37.57,13.45,51.01,1.43,49.58,49.58,13.61,35.97,0.0,35.97,22.0,3.27,3.27
2022-09-30,228.03,228.03,148.81,-18.99,10.32,10.22,16.84,60.83,19.01,79.84,1.3,78.54,78.54,19.65,58.89,0.0,58.89,21.99,5.36,5.36
2022-12-31,185.26,185.26,142.42,-5.14,9.84,1.83,14.73,21.57,19.7,41.27,1.63,39.64,39.64,9.23,30.42,0.91,31.32,21.65,2.86,2.86
2023-03-31,450.09,450.09,377.84,-14.34,13.8,1.88,34.01,36.9,22.14,59.05,6.29,52.75,52.75,16.54,36.22,55.67,91.89,21.52,8.54,8.54
2023-06-30,346.07,346.07,280.79,-8.41,10.55,1.82,15.66,45.66,30.64,76.31,4.22,72.08,72.08,18.21,53.87,-2.57,51.3,21.52,4.77,4.77
2023-09-30,486.46,486.46,328.6,50.62,11.68,1.86,19.94,73.76,28.31,102.07,3.98,98.09,98.09,26.66,71.43,0.0,71.43,21.52,6.63,6.63
2023-12-31,365.66,365.66,275.34,16.78,11.24,1.9,17.36,43.04,41.64,84.68,3.95,80.73,80.73,3.11,77.61,0.0,77.61,21.52,7.21,7.21
2024-03-31,482.68,482.68,402.85,-23.37,12.69,1.9,31.66,56.95,30.87,87.81,4.26,83.56,83.56,14.16,69.4,0.0,69.4,21.52,6.45,6.45
2024-06-30,413.74,413.74,293.17,23.27,13.16,1.84,27.61,54.69,23.21,77.89,2.15,75.74,75.74,20.13,55.61,44.83,100.44,21.52,9.34,9.34
2024-09-30,500.18,500.18,393.18,2.58,15.49,1.93,19.32,67.67,38.74,106.41,2.03,104.39,104.39,14.06,90.32,0.0,90.32,23.26,7.88,7.88
2024-12-31,675.9,675.9,530.81,0.0,16.83,2.18,29.05,97.04,43.86,140.9,2.5,138.4,138.4,33.84,104.57,0.0,104.57,23.26,8.99,8.99
