Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1129.01,1131.81,1135.21,1199.77,1176.95,1052.51,1004.52,950.91,1028.9,1037.39,1058.91,1046.64,833.79,772.49,645.28,539.75,565.54,466.81,389.24,257.87,364.37,428.26,487.19,523.68,583.44,586.68,601.77,604.73,550.75,500.08,468.02,452.32,375.54,346.16,341.74,255.05,260.1,305.19,309.91,275.81,341.15,326.22,356.98,351.47,372.14,334.67,346.57,309.52,301.84,337.11
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.06,5.6,0.01,0.01,0.13,0.32,0.27,0.11,0.71,0.73,0.24,--,--,0.37,--,--,--,--
Total Income From Operations,1129.01,1131.81,1135.21,1199.77,1176.95,1052.51,1004.52,950.91,1028.9,1037.39,1058.91,1046.64,833.79,772.49,645.28,539.75,565.54,466.81,389.24,257.87,364.37,428.26,487.19,523.68,583.44,586.68,601.77,604.73,550.75,500.08,468.02,452.32,375.6,351.76,341.75,255.06,260.23,305.51,310.18,275.92,341.86,326.95,357.22,351.47,372.14,335.04,346.57,309.52,301.84,337.11
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,712.48,780.79,833.45,830.27,835.97,789.57,751.35,694.96,686.75,835.31,972.85,802.37,672.95,719.76,534.75,464.34,359.62,316.17,285.94,194.73,249.89,316.22,321.1,320.85,329.68,411.04,439.24,423.75,352.12,339.0,333.1,308.27,245.43,228.79,219.47,186.84,149.93,197.09,232.92,197.71,287.18,284.48,292.84,269.55,277.57,241.96,313.14,259.61,271.32,305.48
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,32.07,-17.54,-40.59,21.05,16.71,-33.23,-25.64,5.46,95.3,-11.91,-142.82,29.29,-2.19,-80.14,-19.01,-40.44,70.82,23.53,-8.3,-2.43,-3.21,1.96,-0.24,15.83,58.19,-21.86,-35.69,-16.54,9.85,-11.94,-18.16,12.53,6.99,5.89,19.22,-25.64,22.33,12.24,-1.64,20.41,-14.01,-31.86,-14.87,-1.75,9.45,3.08,-50.18,-15.0,-18.63,-33.83
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,30.3,31.39,32.94,29.74,29.49,26.8,28.02,25.65,21.4,20.96,25.78,22.81,20.5,20.03,21.76,17.87,19.66,18.68,18.65,18.52,18.8,18.19,19.54,16.72,15.77,15.37,13.35,13.63,13.75,11.51,11.53,9.84,9.57,9.0,9.17,8.11,7.88,7.69,7.12,6.98,8.08,7.19,7.54,6.56,6.51,6.18,6.3,5.35,6.01,4.96
Depreciation,12.26,12.5,12.49,12.37,12.08,12.19,11.91,11.57,11.77,12.29,12.54,12.06,12.55,11.41,11.37,11.3,11.26,11.01,11.09,10.86,11.58,8.72,8.24,8.14,7.82,8.41,8.4,7.9,7.72,7.91,7.89,7.89,7.73,7.7,7.76,7.78,15.93,16.0,15.98,15.8,13.0,14.27,14.25,13.84,14.47,13.17,13.64,13.24,12.82,13.05
