Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21
Net Sales/Income from operations,274.29,282.4,269.23,229.59,224.34,210.54,200.42,175.54,177.88,181.24,174.05,163.28,175.32,165.15
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,274.29,282.4,269.23,229.59,224.34,210.54,200.42,175.54,177.88,181.24,174.05,163.28,175.32,165.15
EXPENDITURE,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,90.23,94.42,93.37,88.77,80.31,76.76,70.38,69.72,63.84,67.99,71.48,68.99,60.3,58.23
Depreciation,15.28,15.14,15.32,13.59,13.43,12.26,11.51,11.42,10.4,11.68,10.77,10.6,9.63,9.31
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,67.4,57.42,52.63,42.76,45.26,38.01,37.03,35.2,30.15,33.54,32.1,31.92,30.12,33.37
"P/L Before Other Inc. , Int., Excpt. Items & Tax",101.37,115.42,107.92,84.48,85.33,83.52,81.5,59.2,73.49,68.03,59.7,51.77,75.27,64.23
Other Income,9.33,8.55,7.91,7.85,6.36,6.24,6.14,5.18,6.03,6.17,2.38,2.46,1.08,2.33
"P/L Before Int., Excpt. Items & Tax",110.7,123.97,115.83,92.33,91.69,89.76,87.64,64.38,79.52,74.2,62.08,54.22,76.34,66.56
Interest,1.27,1.14,1.07,1.16,1.11,1.16,3.17,2.89,2.76,2.64,2.55,2.67,2.58,25.97
P/L Before Exceptional Items & Tax,109.44,122.83,114.76,91.17,90.58,88.6,84.47,61.5,76.76,71.56,59.54,51.55,73.76,40.59
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,109.44,122.83,114.76,91.17,90.58,88.6,84.47,61.5,76.76,71.56,59.54,51.55,73.76,40.59
Tax,27.96,31.79,29.58,23.32,17.83,22.79,22.44,16.66,19.77,18.22,11.65,13.51,20.81,11.25
P/L After Tax from Ordinary Activities,81.47,91.04,85.18,67.85,72.75,65.81,62.02,44.84,56.99,53.34,47.89,38.04,52.95,29.34
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,81.47,91.04,85.18,67.85,72.75,65.81,62.02,44.84,56.99,53.34,47.89,38.04,52.95,29.34
Equity Share Capital,172.08,171.83,171.41,171.32,170.99,170.65,170.25,169.91,169.23,167.57,167.57,167.57,167.57,167.57
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,
Basic EPS,4.74,5.3,4.97,3.97,4.26,3.86,3.65,2.65,3.38,3.18,2.86,2.27,3.37,1.81
Diluted EPS,4.7,5.26,4.93,3.93,4.22,3.82,3.61,2.6,3.32,3.15,2.84,--,3.34,1.81
EPS After Extra Ordinary,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
