Item,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,
Equity Share Capital,778.32,820.22,774.66,773.37,693.54,602.69,600.22,598.15,594.99,529.45,525.64,522.87,467.7,465.97
Total Share Capital,778.32,820.22,774.66,773.37,693.54,602.69,600.22,598.15,594.99,529.45,525.64,522.87,467.7,465.97
Revaluation Reserve,295.69,0.0,307.63,0.0,0.0,0.0,362.2,374.59,380.77,391.01,397.27,212.69,219.34,225.35
Reserves and Surplus,61619.58,53801.45,46598.86,42592.04,33329.66,26072.1,22864.65,19658.18,16706.45,9710.02,8109.03,6883.98,4043.72,3350.92
Total Reserves and Surplus,61915.27,53801.45,46906.49,42592.04,33329.66,26072.1,23226.85,20032.77,17087.22,10101.03,8506.3,7096.67,4263.06,3576.27
Employees Stock Options,103.52,0.0,16.07,0.0,9.48,11.19,14.57,15.2,13.77,14.05,11.02,10.71,10.95,7.98
Total ShareHolders Funds,62797.11,54621.67,47697.23,43365.41,34706.5,26685.98,23841.64,20646.12,17695.98,10644.53,9042.96,7630.25,4741.71,4050.21
Deposits,384792.92,336438.14,293681.35,256204.96,202039.81,194867.91,151639.17,126572.22,93000.35,74134.36,60502.29,54116.72,42361.55,34365.37
Borrowings,47611.41,49011.23,47323.22,51322.81,60753.55,47321.12,38289.08,22453.69,22155.86,20618.06,14761.96,9459.56,8682.01,5525.42
Other Liabilities and Provisions,19733.71,17733.01,13272.79,12079.57,9557.69,8944.41,7856.27,8976.38,7204.81,3718.96,2718.73,2099.99,1810.8,1694.83
Total Capital and Liabilities,514935.14,457804.05,401974.58,362972.75,307057.55,277819.42,221626.16,178648.41,140056.99,109115.92,87025.93,73306.52,57596.07,45635.84
ASSETS,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,18557.13,42961.27,15641.16,17870.68,13675.26,9961.17,10962.41,7748.75,4521.04,4035.14,4413.92,3249.84,2903.58,2456.04
Balances with Banks Money at Call and Short Notice,18244.48,13549.88,52633.33,38456.51,2328.4,4822.23,2253.47,10879.51,5590.83,6744.0,2355.53,3598.89,2636.05,1568.56
Investments,106526.71,83116.2,70970.78,69694.71,59979.94,59266.16,50076.72,36702.14,31214.31,24859.37,21562.95,19654.17,14571.95,13550.81
Advances,343298.27,289923.68,239051.53,212595.41,206783.17,186393.5,144953.66,113080.51,88419.34,68788.2,55101.84,44320.61,35063.95,26165.65
Fixed Assets,2197.75,1992.62,1848.69,1809.37,1820.11,1710.01,1338.75,1335.23,1255.32,1157.58,1016.45,756.14,656.8,596.46
Other Assets,26110.81,26260.4,21829.09,22546.07,22470.67,15666.35,12041.16,8902.28,9056.14,3531.63,2575.25,1726.87,1763.75,1298.32
Total Assets,514935.14,457804.05,401974.58,362972.75,307057.55,277819.42,221626.16,178648.41,140056.99,109115.92,87025.93,73306.52,57596.07,45635.84
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,
Number of Branches,2984.0,0.0,2265.0,0.0,0.0,0.0,1400.0,1200.0,1000.0,801.0,602.0,500.0,400.0,300.0
Number of Employees,45637.0,0.0,33582.0,0.0,0.0,0.0,25284.0,25314.0,23060.0,19121.0,15590.0,11502.0,9370.0,7008.0
Capital Adequacy Ratios (%),17.23,17.86,18.42,17.38,15.0,14.0,15.03,15.0,15.5,12.09,14.0,15.36,13.85,15.89
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,
Tier 1 (%),15.82,0.0,15.96,0.0,0.0,0.0,14.58,15.0,14.92,11.22,13.0,13.78,11.37,12.29
Tier 2 (%),1.41,0.0,1.62,0.0,0.0,0.0,0.45,1.0,0.58,0.87,1.0,1.58,2.48,3.6
ASSETS QUALITY,,,,,,,,,,,,,,
Gross NPA,6693.38,5826.27,5517.15,5794.99,5146.74,3947.41,1704.91,1054.87,776.82,562.92,620.79,457.78,347.08,265.86
Gross NPA (%),1.92,2.0,2.27,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Net NPA,1968.9,1714.96,1529.83,1476.57,1886.58,2248.28,745.67,438.9,321.75,210.48,184.05,136.76,94.67,72.82
Net NPA (%),0.57,0.59,0.64,0.69,0.91,1.21,0.51,0.0,0.36,0.31,0.0,0.31,0.27,0.28
Net NPA To Advances (%),0.57,2.0,0.64,1.0,2.0,1.0,1.0,0.0,0.0,,,,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,
Bills for Collection,36152.27,0.0,29654.25,0.0,0.0,0.0,37415.48,19006.91,20272.94,6728.92,10657.84,6337.51,6151.0,5052.48
Contingent Liabilities,1638924.6,0.0,923779.75,0.0,0.0,0.0,662099.16,406387.19,0.0,215702.02,142921.0,141240.4,109341.28,87608.63
Money Against Share Warrants,,,,0.0,673.82,0.0,,,,,,,0.0,0.0
Preference Share Capital,,,,,,,,,,,,,0.0,0.0
Equity Share Application Money,,,,,,,,,,,,,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,,0.0,0.0
