Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value
2016-03-31,160.0,160.0,-0.89,-0.89,0.0,159.11,0.0,34.14,0.0,0.83,34.97,31.22,0.0,50.47,0.25,81.94,276.02,87.16,0.05,0.0,0.0,87.22,162.24,0.0,0.0,17.88,267.34,3.0,0.0,0.0,0.26,4.12,1.3,8.68,276.02,0.0,0.0,0.0,162.24,3.0
2017-03-31,1273.9,1273.9,-50.15,-50.15,0.0,1223.75,0.0,414.36,0.0,1.06,415.42,131.96,2.41,7.13,0.33,141.83,1780.99,77.32,0.24,0.98,0.0,78.54,1333.76,0.0,0.0,0.8,1413.1,20.0,0.41,5.14,10.53,328.27,3.53,367.89,1780.99,0.0,0.0,0.0,1333.76,20.0
2018-03-31,1564.01,1564.01,-120.11,-120.11,0.0,1443.91,0.0,2266.21,0.0,1.48,2267.69,1217.64,76.86,320.4,0.29,1615.19,5326.79,68.81,0.43,0.0,0.0,69.23,1529.66,5.91,0.0,204.17,1808.97,0.0,2.85,887.94,40.29,2416.85,169.89,3517.81,5326.79,216.14,0.0,0.0,1529.66,0.0
2019-03-31,1564.01,1564.01,-155.2,-155.2,0.0,1408.82,749.14,1738.51,0.0,7.21,1745.72,541.13,89.72,874.2,2.98,1508.03,5411.71,60.77,0.79,1.15,0.0,62.72,2029.71,10.13,0.0,50.09,2152.65,0.0,251.4,314.95,119.71,2092.47,480.52,3259.06,5411.71,3615.96,46.36,0.0,2029.71,0.0
2020-03-31,1564.01,1564.01,-124.57,-124.57,0.0,1439.44,749.14,1215.83,0.0,10.67,1226.51,415.29,194.33,2368.43,3.12,2981.17,6396.27,60.38,1.57,0.75,0.0,62.71,682.11,69.65,0.0,21.2,835.66,0.0,414.9,91.06,209.88,3245.03,1599.74,5560.61,6396.27,4820.9,5.61,11.31,682.11,0.0
2021-03-31,1564.0,1564.0,157.0,157.0,0.0,1721.0,749.0,2148.0,0.0,21.0,2169.0,3162.0,625.0,5865.0,6.0,9658.0,14297.0,60.0,7.0,1.0,0.0,68.0,2920.0,321.0,4557.0,230.0,8096.0,0.0,2429.0,2534.0,182.0,0.0,1056.0,6201.0,14297.0,13152.0,1818.14,5.39,2920.0,0.0
2022-03-31,1564.0,1564.0,-44.0,-44.0,0.0,1520.0,749.0,11645.0,5466.0,27.0,17138.0,5644.0,495.0,2407.0,10.0,8556.0,27963.0,65.0,9.0,8.0,0.0,82.0,17837.0,414.0,2037.0,468.0,20838.0,2.0,4500.0,897.0,369.0,2.0,1355.0,7125.0,27963.0,10408.0,6284.94,0.0,17837.0,2.0
2023-03-31,1584.0,1584.0,3323.0,3323.0,0.0,4907.0,749.0,11088.0,6102.0,34.0,17224.0,1968.0,528.0,3278.0,10.0,5784.0,28664.0,602.0,12.0,385.0,0.0,999.0,20502.0,436.0,2095.0,688.0,24720.0,253.0,1282.0,1112.0,566.0,1.0,730.0,3944.0,28664.0,2680.0,6222.75,0.0,20502.0,253.0
2024-03-31,1584.0,1584.0,2827.0,2827.0,2338.0,6749.0,749.0,10624.0,3752.0,35.0,14411.0,11712.0,1290.0,6459.0,13.0,19474.0,41383.0,866.0,11.0,213.0,4.0,1094.0,22995.0,388.0,2347.0,712.0,27536.0,0.0,3385.0,2419.0,6076.0,2.0,1965.0,13847.0,41383.0,6240.0,7638.9,0.0,22995.0,0.0
2025-03-31,1584.0,1584.0,6628.0,6628.0,0.0,8212.0,0.0,12781.0,2659.0,31.0,15471.0,6880.0,2277.0,9013.0,14.0,18184.0,41867.0,1484.0,18.0,668.0,0.0,2170.0,23722.0,236.0,2250.0,863.0,29241.0,25.0,4886.0,4396.0,938.0,2.0,2379.0,12626.0,41867.0,0.0,0.0,0.0,0.0,0.0
