Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-06-30,4.8,0.0,4.8,0.0,0.0,0.0,5.1,2.31,0.0,0.0,1.62,-4.23,8.9,4.68,10.93,-6.25,0.0,-6.25,0.0,-6.25,0.0,-6.25,1376.75,0.0,0.0,0.0
2017-09-30,3.97,0.0,3.97,0.0,0.0,0.0,3.71,2.33,0.0,0.0,2.14,-4.21,7.39,3.18,10.07,-6.89,0.0,-6.89,0.0,-6.89,0.0,-6.89,1376.75,0.0,-0.05,-0.05
2017-12-31,419.9,0.0,419.9,0.0,391.82,0.0,4.24,2.34,0.0,0.0,-11.54,33.04,18.67,51.7,28.55,23.15,0.0,23.15,0.0,23.15,0.0,23.15,1564.01,0.0,0.15,0.15
2018-03-31,391.82,-330.24,61.58,-307.73,0.0,84.92,0.0,0.0,19.51,2.33,22.51,262.55,0.0,262.55,3.54,259.01,-69.56,189.46,-44.53,233.99,-5.91,228.08,1376.75,-38.6,0.0,0.0
2018-06-30,36.21,0.0,36.21,0.0,26.68,0.0,3.43,2.08,0.0,0.0,5.85,-1.83,75.42,73.59,84.78,-11.19,0.0,-11.19,-0.7,-10.49,0.0,-10.49,1564.01,0.0,-0.07,-0.07
2018-09-30,49.12,0.0,49.12,0.0,47.72,0.0,4.35,2.1,0.0,0.0,14.64,-19.69,72.35,52.65,72.41,-19.75,0.0,-19.75,-2.64,-17.12,0.0,-17.12,1564.01,0.0,-0.11,-0.11
2018-12-31,21.29,0.0,21.29,0.0,19.39,0.0,4.07,2.1,0.0,0.0,5.31,-9.58,68.07,58.5,74.5,-16.0,0.0,-16.0,-0.73,-15.27,0.0,-15.27,1564.01,0.0,-0.1,-0.1
2019-03-31,211.51,0.0,211.51,0.0,203.92,0.0,13.83,2.06,0.0,0.0,14.18,-22.47,86.81,64.33,56.55,7.78,0.0,7.78,-0.11,7.89,0.0,7.89,1564.01,0.0,0.04,0.04
2019-06-30,111.37,0.0,111.37,0.0,106.37,0.0,7.72,1.82,0.0,0.0,16.97,-21.51,80.45,58.93,53.71,5.23,0.0,5.23,-0.3,5.52,0.0,5.52,1564.01,0.0,0.06,0.06
2019-09-30,238.45,0.23,238.68,0.0,229.86,0.0,4.78,-0.41,0.0,0.0,8.11,-3.66,78.9,75.24,54.65,20.59,0.0,20.59,-17.6,38.19,0.0,38.19,1564.01,0.0,0.14,0.14
2019-12-31,840.68,0.1,840.78,0.0,821.03,0.0,8.34,0.82,0.0,0.0,13.76,-3.17,88.42,85.25,49.72,35.53,0.0,35.53,9.3,26.23,0.0,26.23,1564.01,0.0,0.07,0.07
2020-03-31,55.82,0.19,56.01,0.0,241.36,-193.91,7.98,0.82,0.0,0.0,16.0,-16.24,84.92,68.69,55.06,13.62,0.0,13.62,-51.05,64.67,0.0,64.67,1564.01,0.0,0.31,0.31
2020-06-30,159.65,0.0,159.65,0.0,157.67,-5.32,3.66,0.85,0.0,0.0,8.76,-5.98,93.54,87.57,46.44,41.12,134.98,176.11,38.59,137.52,0.0,137.52,1564.01,0.0,0.78,0.78
2020-09-30,46.14,0.0,46.14,0.0,927.66,-886.37,5.5,0.97,0.0,0.0,12.6,-14.22,100.09,85.87,62.33,23.54,0.0,23.54,0.58,22.95,0.0,22.95,1564.01,0.0,0.05,0.05
2020-12-31,213.29,20.15,233.44,0.0,1611.21,-1404.39,7.1,1.14,0.0,0.0,2.61,15.77,129.9,145.67,74.44,71.23,0.0,71.23,1.5,69.74,0.0,69.74,1564.01,0.0,0.35,0.35
2021-03-31,2034.0,0.0,2034.0,0.0,1713.0,282.0,0.0,1.0,0.0,0.0,-7.0,45.0,195.0,240.0,74.0,166.0,-13.0,153.0,18.0,135.0,0.0,135.0,1564.0,0.0,0.77,0.77
2021-06-30,1446.0,0.0,1446.0,0.0,1656.0,-245.0,0.0,2.0,0.0,0.0,10.0,23.0,105.0,128.0,92.0,36.0,0.0,36.0,-1.0,37.0,0.0,37.0,1564.0,0.0,0.14,0.14
2021-09-30,4848.0,0.0,4848.0,0.0,4327.0,438.0,6.0,1.0,0.0,0.0,61.0,15.0,113.0,128.0,78.0,50.0,41.0,91.0,-10.0,101.0,0.0,101.0,1564.0,0.0,0.55,0.55
2021-12-31,2269.0,0.0,2269.0,0.0,2660.0,-440.0,7.0,2.0,0.0,0.0,-80.0,120.0,111.0,231.0,317.0,-86.0,0.0,-86.0,-7.0,-79.0,0.0,-79.0,1564.0,0.0,-0.61,-0.61
2022-03-31,2109.0,0.0,2109.0,0.0,3916.0,-1824.0,8.0,2.0,0.0,0.0,-2.0,9.0,109.0,118.0,288.0,-170.0,0.0,-170.0,-54.0,-116.0,0.0,-116.0,1564.0,0.0,-0.84,-0.84
2022-06-30,2167.0,0.0,2167.0,0.0,1008.0,1115.0,8.0,2.0,0.0,0.0,177.0,-143.0,382.0,239.0,107.0,132.0,0.0,132.0,0.0,132.0,0.0,132.0,1584.0,0.0,0.74,0.74
2022-09-30,2912.0,0.0,2912.0,0.0,1004.0,1851.0,8.0,3.0,0.0,0.0,115.0,-69.0,130.0,61.0,154.0,-93.0,0.0,-93.0,0.0,-93.0,0.0,-93.0,1584.0,0.0,-0.68,-0.68
2022-12-31,918.0,0.0,918.0,1390.0,0.0,-486.0,9.0,3.0,0.0,0.0,42.0,-40.0,134.0,94.0,222.0,-128.0,0.0,-128.0,-1.0,-127.0,0.0,-127.0,1584.03,0.0,-0.9,-0.9
2023-03-31,1632.0,0.0,1632.0,0.0,878.0,738.0,11.0,3.0,0.0,0.0,-96.0,98.0,134.0,232.0,409.0,-177.0,-67.0,-244.0,-4.0,-240.0,0.0,-240.0,1584.0,0.0,-1.62,-1.62
2023-06-30,691.0,0.0,691.0,0.0,944.0,-267.0,16.0,3.0,0.0,0.0,13.0,-18.0,142.0,124.0,310.0,-186.0,0.0,-186.0,19.0,-205.0,0.0,-205.0,1584.0,0.0,-1.39,-1.39
2023-09-30,1917.0,0.0,1917.0,1493.0,0.0,386.0,11.0,13.0,0.0,0.0,28.0,-14.0,137.0,123.0,364.0,-241.0,0.0,-241.0,18.0,-259.0,0.0,-259.0,1584.0,0.0,-1.73,-1.73
2023-12-31,2089.0,0.0,2089.0,6064.0,0.0,-4118.0,16.0,4.0,0.0,0.0,22.0,101.0,399.0,500.0,377.0,123.0,0.0,123.0,10.0,113.0,0.0,113.0,1584.0,0.0,0.61,0.61
2024-03-31,7304.0,0.0,7304.0,5181.0,0.0,1896.0,7.0,10.0,0.0,0.0,57.0,153.0,201.0,354.0,470.0,-116.0,-71.0,-187.0,8.0,-195.0,0.0,-195.0,1584.0,0.0,-1.33,-1.33
