Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Current Investments Quoted Market Value,Deferred Tax Liabilities [Net],Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools"
2014-12-31,52.73,52.73,1363.45,1363.45,1416.18,0.0,27.02,27.1,336.65,85.82,45.4,467.87,1911.15,366.57,0.01,18.4,0.0,384.98,0.0,0.0,232.02,0.0,617.0,0.0,292.95,373.02,534.75,80.57,12.86,1294.15,1911.15,91.11,616.44,8.06,105.8,21.19,181.76,35.52,19.82,0.0,0.08,0.0,7.18,154.57
2016-03-31,52.73,52.73,1611.86,1611.86,1664.59,20.77,6.7,27.47,292.92,81.13,17.44,456.49,2148.55,297.87,0.03,11.92,18.92,328.74,0.0,8.6,160.0,38.47,535.81,0.0,335.04,482.86,697.33,32.62,64.89,1612.74,2148.55,115.66,0.0,0.0,0.0,0.0,0.0,0.0,19.82,0.0,0.0,65.0,0.0,0.0
2017-03-31,52.73,52.73,1758.48,1758.48,1811.21,23.31,6.01,29.32,304.01,110.42,15.04,463.5,2304.03,280.44,0.15,35.21,18.28,334.08,0.0,11.52,90.0,48.72,484.32,148.84,416.64,514.32,591.45,72.75,75.71,1819.71,2304.03,134.4,0.0,0.0,0.0,0.0,0.0,0.0,19.82,148.84,0.0,34.03,0.0,0.0
2018-03-31,51.34,51.34,1785.97,1785.97,1837.31,21.88,6.21,28.09,389.7,87.86,15.88,578.44,2443.84,275.16,0.17,37.06,17.64,330.03,0.0,17.51,145.0,58.24,550.78,153.52,402.88,490.76,742.64,12.7,90.56,1893.06,2443.84,163.64,0.0,0.0,0.0,0.0,0.0,0.0,19.82,153.52,0.0,85.0,0.0,0.0
2019-03-31,49.44,49.44,1647.5,1647.5,1696.94,23.95,8.42,32.37,349.14,110.31,17.92,567.37,2296.68,266.96,0.16,62.18,16.99,346.29,0.0,22.84,125.0,91.3,585.43,44.17,461.0,521.26,603.42,20.22,61.18,1711.25,2296.68,248.81,816.4,186.9,114.8,32.2,196.5,27.2,19.09,0.0,0.0,90.0,0.0,0.0
2020-03-31,49.44,49.44,1855.81,1855.81,1905.25,40.52,7.09,47.61,412.01,91.56,12.93,516.5,2469.36,335.22,0.09,41.07,16.34,392.72,0.0,16.91,80.0,139.61,629.24,197.18,451.78,435.7,618.29,47.21,89.96,1840.12,2469.36,289.57,907.0,150.5,107.9,31.2,301.9,31.9,19.09,0.0,0.0,0.0,0.0,0.0
2021-03-31,49.44,49.44,1514.37,1514.37,1563.81,38.77,6.96,45.73,576.89,102.99,13.23,693.11,2302.65,329.3,0.26,64.76,15.69,410.01,2.48,19.91,85.6,153.18,671.18,0.0,468.0,583.44,500.31,1.46,78.26,1631.47,2302.65,325.7,702.5,170.6,100.6,337.9,192.0,32.5,19.09,0.0,0.0,0.0,0.0,0.0
2022-03-31,49.44,49.44,1836.46,1836.46,1885.9,40.74,6.82,47.56,524.41,158.48,12.3,695.19,2628.65,380.11,0.25,51.52,22.13,454.01,2.48,22.24,45.6,145.95,670.28,0.0,676.82,687.13,401.85,40.0,152.57,1958.37,2628.65,383.78,1201.8,225.6,130.3,37.7,407.5,58.7,19.09,0.0,0.0,0.0,0.0,0.0
2023-03-31,49.44,49.44,2292.06,2292.06,2341.5,8.14,32.27,40.41,607.91,151.15,37.05,796.11,3178.02,400.84,0.32,63.38,22.92,487.46,2.48,20.82,67.6,151.1,729.46,0.0,686.03,678.65,957.96,0.0,125.92,2448.56,3178.02,512.88,1099.5,184.2,138.0,37.7,345.5,58.8,19.09,0.0,0.0,0.0,0.0,0.0
2024-03-31,49.44,49.44,2633.4,2633.4,2682.84,3.75,36.94,40.69,713.14,167.25,47.57,927.96,3651.49,447.15,0.15,88.69,25.07,561.06,9.01,31.11,157.6,151.5,910.28,0.0,683.88,751.33,1222.11,0.0,83.89,2741.21,3651.49,578.87,0.0,0.0,378.3,0.0,444.5,0.0,19.09,0.0,0.0,0.0,0.0,0.0
