Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22
Net Sales/Income from operations,439.79,432.36,423.14,413.82,362.41,342.21,346.22,336.98,296.65,276.35
Other Operating Income,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,439.79,432.36,423.14,413.82,362.41,342.21,346.22,336.98,296.65,276.35
EXPENDITURE,,,,,,,,,,
Consumption of Raw Materials,239.16,237.45,227.11,210.7,206.95,205.54,201.54,198.35,170.51,169.79
Purchase of Traded Goods,52.0,29.55,17.82,26.56,5.12,6.62,7.55,4.8,5.15,4.23
Increase/Decrease in Stocks,-35.47,-13.63,3.96,3.83,-8.64,-17.72,-5.92,-1.41,0.15,-3.41
Power & Fuel,--,--,--,--,--,--,--,--,--,--
Employees Cost,62.55,61.35,54.92,56.16,51.41,50.09,49.81,47.41,35.74,35.76
Depreciation,15.05,14.42,14.2,13.08,12.73,12.44,10.57,10.37,9.92,9.75
Excise Duty,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--
Other Expenses,46.36,44.42,43.44,40.15,40.05,35.97,34.52,31.28,30.56,26.77
"P/L Before Other Inc. , Int., Excpt. Items & Tax",60.14,58.8,61.69,63.35,54.79,49.27,48.16,46.19,44.63,33.46
Other Income,4.42,6.09,6.0,5.68,5.7,1.97,1.05,1.18,1.2,0.87
"P/L Before Int., Excpt. Items & Tax",64.56,64.88,67.7,69.04,60.5,51.25,49.21,47.37,45.82,34.33
Interest,2.6,2.65,2.86,3.09,3.24,3.72,3.4,3.26,2.93,2.26
P/L Before Exceptional Items & Tax,61.97,62.23,64.83,65.94,57.26,47.53,45.81,44.11,42.89,32.07
Exceptional Items,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,61.97,62.23,64.83,65.94,57.26,47.53,45.81,44.11,42.89,32.07
Tax,15.83,15.72,16.78,16.77,14.46,12.27,11.66,11.21,11.19,8.16
P/L After Tax from Ordinary Activities,46.13,46.51,48.06,49.17,42.79,35.26,34.15,32.9,31.71,23.91
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,46.13,46.51,48.06,49.17,42.79,35.26,34.15,32.9,31.71,23.91
Equity Share Capital,60.69,60.69,60.69,60.69,60.69,60.69,56.25,60.69,0.37,0.37
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,
Basic EPS,7.6,7.66,7.92,8.1,7.44,6.25,6.07,5.42,5.64,4.25
Diluted EPS,7.6,7.66,7.92,8.1,7.44,6.25,6.07,--,5.64,4.25
EPS After Extra Ordinary,,,,,,,,,,
Public Share Holding,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,
Notes,,,,,,,,,,
