Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Deferred Tax Assets [Net],Short Term Borrowings
2011-03-31,26.69,29.72,47.66,47.66,0.0,80.42,0.15,21.98,0.0,22.14,46.21,19.0,4.21,69.42,168.94,2.08,12.39,1.98,0.0,16.45,0.0,0.5,0.0,16.95,104.44,0.67,45.52,1.23,0.12,151.98,168.94,8.67,2.53,0.0,0.0,0.0,0.0,104.44,0.0,3.03,0.0,0.0
2012-03-31,26.78,29.81,74.65,74.65,0.0,107.49,2.95,23.28,0.0,26.23,29.84,35.23,12.21,77.27,207.96,3.61,18.84,0.02,0.13,22.59,0.0,0.94,0.0,23.53,125.04,0.23,55.75,3.28,0.13,184.43,207.96,7.56,2.66,0.3,0.0,0.0,0.0,125.04,0.0,3.03,0.0,0.0
2013-03-31,27.3,30.33,141.26,141.26,0.0,174.62,1.47,24.96,0.64,27.06,35.05,44.74,3.78,83.57,282.22,3.57,8.62,0.0,0.0,12.2,0.0,1.95,35.79,49.94,188.86,0.33,38.72,3.2,1.17,232.28,282.22,1.53,7.75,0.0,0.0,0.0,0.0,163.04,148.9,3.03,0.0,0.0
2014-03-31,27.3,30.33,222.56,222.56,0.0,255.92,1.72,29.1,0.89,31.72,28.65,48.57,4.21,84.27,368.87,3.18,6.99,0.0,0.08,10.24,0.0,2.93,61.92,75.09,247.29,0.27,42.2,2.45,1.57,293.77,368.87,1.89,0.05,0.0,0.0,0.0,0.0,176.41,86.94,3.03,0.0,2.84
2015-03-31,27.3,30.33,209.62,209.62,0.0,242.98,1.18,35.0,1.27,37.46,34.48,88.69,5.16,128.33,405.74,8.63,5.4,0.0,0.0,14.03,0.0,3.45,40.43,57.91,254.39,0.36,83.5,1.56,8.02,347.82,405.74,0.03,0.32,0.0,0.0,0.0,0.0,0.0,254.39,3.03,0.0,0.0
2016-03-31,28.81,30.33,240.61,240.61,0.0,272.45,0.12,35.11,1.65,36.88,58.97,50.2,6.78,115.94,423.76,7.31,4.07,0.0,0.4,11.78,9.2,3.15,27.05,51.17,271.52,0.77,91.48,1.9,6.92,372.58,423.76,108.01,0.85,0.0,0.0,4.2,0.0,25.23,246.52,1.52,0.0,0.0
2017-03-31,28.61,30.13,248.09,248.09,0.0,278.21,0.0,1.29,2.27,3.56,171.94,100.11,0.14,272.19,553.97,6.05,2.3,0.33,0.63,9.31,71.17,0.88,27.67,110.0,311.93,0.21,128.45,0.04,3.34,443.96,553.97,108.16,0.0,0.0,0.0,5.2,65.97,0.0,311.93,1.52,0.98,0.0
2018-03-31,30.16,30.16,253.56,253.56,0.0,283.72,14.68,1.43,2.63,18.73,84.63,187.01,0.17,271.81,574.27,7.23,111.76,0.29,0.24,119.52,77.56,1.38,2.29,200.74,190.91,0.22,114.36,0.03,68.0,373.52,574.27,0.2,27.06,0.0,0.08,69.69,7.92,0.19,190.72,0.0,0.0,0.0
2019-03-31,30.19,30.19,339.63,339.63,0.45,370.27,24.41,1.89,3.65,29.95,133.83,171.16,0.36,305.34,705.56,7.16,104.21,0.35,0.9,112.62,202.22,1.71,1.63,318.18,272.44,45.89,67.62,0.03,1.42,387.39,705.56,0.65,8.45,0.0,0.0,202.24,0.0,0.63,271.81,0.0,0.0,0.0
2020-03-31,29.83,29.83,359.4,359.4,0.91,390.15,24.42,13.79,5.71,43.91,75.55,158.41,0.09,234.05,668.11,21.78,97.18,0.03,0.96,119.95,206.75,0.46,2.63,329.78,306.78,0.19,27.26,2.07,2.03,338.33,668.11,2.27,0.86,1.82,0.0,197.18,10.0,5.79,300.99,0.0,0.0,0.0
