Item,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,
Equity Share Capital,7633.61,6834.75,6834.75,6406.84,3422.82,1763.02,1168.57,687.44,687.44,635.78,630.31,596.79,550.55,524.33
Total Share Capital,7633.61,6834.75,6834.75,6406.84,3422.82,1763.02,1168.57,687.44,687.44,635.78,741.31,707.79,661.55,635.33
Revaluation Reserve,0.0,0.0,0.0,4898.48,3174.15,2234.81,0.0,0.0,2581.24,1424.71,1459.34,1495.76,1533.83,1573.84
Reserves and Surplus,89335.36,71499.46,63741.39,53171.41,27188.68,22489.18,23928.2,22747.76,19622.53,17700.4,16274.71,15092.64,12437.68,10555.35
Total Reserves and Surplus,89335.36,71499.46,63741.39,58069.89,30362.83,24723.99,23928.2,22747.76,22203.77,19125.1,17734.05,16588.39,13971.51,12129.19
Total ShareHolders Funds,96968.97,78334.21,70576.14,64476.74,33785.64,26487.01,25096.77,23435.2,22891.21,19760.88,18475.36,17296.19,14633.06,12764.52
Deposits,1221528.37,1117716.32,1032392.63,923805.34,450668.45,415915.27,408501.64,378391.58,342720.01,316869.92,297675.64,263761.57,222868.95,202461.29
Borrowings,26948.37,43137.47,51179.1,51837.11,52486.25,42863.82,45680.77,41225.87,30957.35,35359.98,29316.62,23797.27,17909.49,13315.97
Other Liabilities and Provisions,46511.91,41564.45,33443.19,31586.66,13742.92,8772.74,8126.82,9110.79,8127.33,9625.15,8313.29,7005.77,6799.95,7442.67
Total Capital and Liabilities,1391957.62,1280752.45,1187591.06,1071705.84,550683.27,494038.84,487406.0,452704.44,404695.9,381615.93,353780.9,311860.81,262211.44,235984.45
ASSETS,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,52897.5,50254.27,46112.59,37880.46,20118.3,20796.46,21016.47,16520.45,15604.72,15063.08,18419.68,10762.92,11633.56,17610.45
Balances with Banks Money at Call and Short Notice,66405.37,61896.18,73387.77,46529.89,34987.92,22249.51,28424.73,16302.05,13671.5,7314.94,4653.19,5447.47,4041.58,2487.99
Investments,337903.53,339299.05,348507.39,331511.79,152413.9,126046.64,123780.12,112148.96,89208.35,94092.98,93723.18,80830.45,62363.56,58399.14
Advances,870776.09,761845.46,661004.66,590982.88,315049.41,296932.15,288760.58,286466.58,267354.0,255654.57,229104.43,208102.19,177882.08,150986.08
Fixed Assets,9222.78,8825.61,7191.3,7343.87,4762.52,3762.29,3833.33,3894.42,3939.87,2681.95,2608.47,2479.01,2335.8,2292.78
Other Assets,54752.35,58631.88,51387.35,57456.96,23351.23,24251.78,21590.76,17371.99,14917.46,6808.41,5271.95,4238.78,3954.86,4208.0
Total Assets,1391957.62,1280752.45,1187591.06,1071705.84,550683.27,494038.84,487406.0,452704.44,404695.9,381615.93,353780.9,311860.81,262211.44,235984.45
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,9315.0,4284.0,4292.0,4297.0,4282.0,4200.0,4081.0,3871.0,3511.0,3201.0,3015.0
Number of Employees,0.0,0.0,0.0,78202.0,37318.0,37262.0,37587.0,36877.0,35473.0,35514.0,33806.0,31798.0,30838.0,27746.0
Capital Adequacy Ratios (%),16.97,16.04,14.52,12.56,12.81,11.78,11.5,11.79,10.56,10.22,10.8,11.45,11.85,12.95
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,10.35,10.75,9.48,9.07,9.02,8.14,7.5,7.54,8.23,8.37,8.69
Tier 2 (%),0.0,0.0,0.0,2.21,2.06,2.3,2.43,2.77,2.42,2.72,3.26,3.22,3.48,4.26
ASSETS QUALITY,,,,,,,,,,,,,,
Gross NPA,43097.73,60987.29,79587.07,89788.2,49085.3,48729.0,33712.0,33712.28,24170.89,13030.87,2563.74,6313.83,5449.86,3622.82
Gross NPA (%),4.76,8.0,11.0,14.0,14.0,15.0,16.0,11.0,9.0,5.0,4.0,3.0,3.0,2.0
Net NPA,8989.92,12927.44,24303.3,27280.52,17303.14,20332.0,24326.0,18833.0,14025.94,6918.97,5340.25,3353.37,3025.03,1803.44
Net NPA (%),1.03,170.0,3.68,4.62,5.49,6.85,8.42,6.57,5.25,2.71,2.33,1.61,1.7,1.19
Net NPA To Advances (%),1.03,1.0,0.0,5.0,5.0,7.0,8.0,7.0,5.0,3.0,2.0,2.0,2.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,34694.81,21682.69,19441.23,18427.09,16119.4,42490.45,38741.69,32835.71,23976.72,16508.15,16652.2
Contingent Liabilities,0.0,0.0,0.0,370527.97,188202.36,198405.7,0.0,247720.26,408746.74,362805.87,207999.87,330741.74,238838.79,164686.19
Preference Share Capital,,,,,,,0.0,0.0,0.0,0.0,111.0,111.0,111.0,111.0
Equity Share Application Money,,,,,,,0.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,0.0,0.0,0.0
Employees Stock Options,,,,,,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,0.0,0.0,0.0
