Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,3804.7,2681.52,2126.0,2713.53,3122.52,2054.86,1740.86,2080.64,2426.77,1648.59,1411.14,1847.9,2000.12,1328.13,1094.4,954.34,1491.55,1020.71,803.77,526.2,1196.83,1062.76,1056.23,1470.67,1481.32,996.61,922.84,1382.93,1371.97,901.12,764.29,1386.79,1292.52,816.58,812.58,1160.62,1090.03,674.76,710.46,902.46,990.04,586.7,633.34,841.98,863.15,541.1,581.02,765.93,850.89,593.02
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.29,1.06,3.84,5.06,12.32,12.91,4.56,13.37,11.0,6.2,6.12,15.33,4.05,4.63,3.5,5.53,4.8,3.96,4.89,7.35,5.78
Total Income From Operations,3804.7,2681.52,2126.0,2713.53,3122.52,2054.86,1740.86,2080.64,2426.77,1648.59,1411.14,1847.9,2000.12,1328.13,1094.4,954.34,1491.55,1020.71,803.77,526.2,1196.83,1062.76,1056.23,1470.67,1481.32,996.61,922.84,1382.93,1371.97,902.41,765.35,1390.63,1297.58,828.9,825.49,1165.18,1103.4,685.76,716.66,908.58,1005.37,590.75,637.97,845.48,868.68,545.9,584.98,770.82,858.24,598.8
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,2159.21,1709.13,1373.6,1351.66,1839.57,1376.5,1056.19,1141.7,1470.87,1172.22,1002.37,1114.18,1243.75,931.01,687.7,516.55,926.5,662.4,455.81,171.68,806.72,690.55,643.95,725.74,961.21,586.57,463.53,523.69,720.14,474.34,368.01,584.15,684.71,439.04,429.99,515.29,627.35,399.9,389.29,421.36,619.6,345.63,346.9,406.02,575.54,349.4,349.52,378.99,485.16,369.23
Purchase of Traded Goods,797.47,612.14,438.57,669.59,500.09,293.88,225.48,489.79,503.17,191.87,153.73,286.27,333.14,255.9,139.17,160.2,286.55,269.51,56.26,120.86,287.69,137.48,107.18,206.63,306.09,108.34,95.5,280.81,522.05,174.19,91.24,273.11,327.69,119.61,105.74,306.88,327.12,87.81,71.55,164.28,177.4,80.03,77.02,95.51,120.66,52.22,96.18,114.39,163.16,103.13
Increase/Decrease in Stocks,23.88,-207.54,-201.23,106.29,113.0,-71.06,49.3,17.4,-75.88,-77.4,-63.84,67.53,25.63,-145.62,21.56,49.83,-41.33,-148.89,101.26,114.45,-195.69,-20.0,41.87,174.35,-147.24,63.55,67.0,173.94,-293.95,-64.57,30.6,134.46,-88.83,9.43,41.4,16.91,-141.51,-15.51,42.15,53.58,-76.9,-26.0,15.17,87.83,-65.75,-19.97,-34.05,57.52,8.42,-45.54
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,223.6,188.43,177.8,157.86,177.81,149.52,139.69,130.16,140.3,123.68,118.48,113.89,116.38,105.6,102.11,97.81,99.61,89.45,77.2,58.98,105.71,107.41,103.89,97.94,97.37,93.94,93.54,87.84,97.66,90.07,90.3,80.74,82.7,78.29,78.97,69.83,70.95,66.61,63.94,60.75,68.62,63.43,63.88,60.91,62.26,54.37,59.19,58.21,57.84,51.19
Depreciation,26.24,26.3,22.62,21.26,21.93,17.79,17.66,17.97,20.16,14.76,23.6,21.82,21.45,20.37,19.45,19.22,23.89,24.94,19.62,19.89,22.29,21.59,20.8,19.66,10.99,16.92,15.58,14.8,17.0,15.82,14.54,13.21,15.15,14.09,13.41,12.32,19.06,11.41,11.54,9.06,10.46,10.34,9.13,9.41,9.47,8.53,8.35,8.33,8.87,8.4
