Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Provisions,Current Investments,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2011-03-31,0.05,0.05,-0.09,-0.09,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,12.01,12.01,63.04,63.04,75.05,0.0,0.0,1.59,0.0,1.93,12.74,34.26,1.99,16.99,65.97,142.95,26.98,0.12,0.23,27.32,0.01,0.0,0.67,0.86,28.86,45.63,58.84,1.32,5.64,114.08,142.95,0.37,2.74,0.0,46.12,0.09,0.01,0.0,0.33,0.0,2.65,25.96,0.46,0.58,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,12.01,12.01,90.37,90.37,102.38,0.0,0.0,1.28,0.82,2.2,5.02,43.59,1.87,15.39,65.87,170.45,29.16,0.13,0.49,29.78,0.01,0.0,0.87,0.6,31.26,56.98,71.52,1.19,1.76,139.19,170.45,0.22,2.89,0.0,58.03,0.0,0.01,6.0,0.09,6.0,1.75,38.85,0.4,1.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,12.01,12.01,125.65,125.65,137.66,0.0,0.0,0.21,0.89,2.84,5.72,50.86,2.45,18.03,77.06,217.56,30.26,0.19,1.52,31.96,0.01,0.0,1.56,0.5,34.04,63.32,99.4,17.99,1.06,183.53,217.56,3.22,3.91,8.36,65.03,0.0,0.01,0.0,1.75,0.0,1.76,34.68,1.08,1.53,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,12.01,12.01,157.79,157.79,169.8,0.0,0.0,0.0,0.93,3.16,5.24,51.45,3.21,20.79,80.69,253.65,32.59,0.64,3.96,37.19,0.01,0.79,1.75,0.51,40.26,71.56,112.69,26.13,0.98,213.4,253.65,9.95,3.05,10.45,73.6,0.0,0.01,0.0,2.23,0.0,2.03,43.23,1.25,0.44,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,12.01,12.01,192.64,192.64,204.65,0.0,0.0,0.0,0.7,3.17,0.0,71.88,4.62,21.68,98.18,306.0,37.78,0.51,1.57,39.85,0.01,0.66,1.05,0.19,41.76,64.22,118.5,76.47,2.95,264.24,306.0,4.5,2.54,11.71,90.12,0.0,0.01,0.0,2.47,0.0,2.09,33.41,1.04,0.31,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,12.01,12.01,261.26,261.26,273.27,0.0,0.0,0.0,0.91,0.91,0.0,77.58,8.45,0.0,86.03,360.22,36.88,0.37,4.67,41.92,0.0,0.37,0.76,5.04,48.1,81.38,113.99,110.84,5.91,312.12,360.22,4.71,75.12,0.0,106.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,12.01,12.01,310.8,310.8,322.81,0.0,0.0,0.0,0.9,0.9,0.0,104.57,17.73,2.73,125.04,448.75,39.92,0.26,14.01,54.18,0.0,1.47,0.92,5.46,62.04,91.06,159.43,12.72,15.84,386.71,448.75,5.61,93.63,0.0,144.26,0.0,0.0,107.67,0.0,107.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,12.01,12.01,364.22,364.22,376.24,0.0,0.0,1.01,0.7,1.71,0.0,111.49,18.3,0.34,130.13,508.07,59.85,0.15,2.72,62.73,0.0,0.0,1.71,5.14,69.58,117.44,157.43,27.87,32.58,438.49,508.07,6.47,149.22,0.0,0.0,146.16,0.0,103.16,0.0,103.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,12.01,12.01,414.66,414.66,426.68,0.0,0.0,0.0,0.73,0.73,0.0,125.31,25.91,0.0,151.22,578.63,128.67,0.1,3.7,132.47,10.13,0.31,2.57,1.96,147.44,130.59,146.25,113.48,40.88,431.2,578.63,6.64,117.16,0.0,0.0,123.3,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,12.01,12.01,789.39,789.39,801.41,4.09,59.81,0.0,2.87,62.68,0.0,347.59,41.76,1.35,390.7,1258.87,235.14,3.65,46.26,285.05,10.13,2.74,5.19,6.65,309.76,352.59,327.38,154.0,115.13,949.11,1258.87,31.89,330.87,0.0,0.0,231.35,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,16.1,16.1,1011.26,1011.26,1027.36,0.0,33.42,0.0,5.98,39.4,25.62,526.16,50.73,2.91,605.42,1672.18,272.62,5.63,33.84,312.09,10.13,6.66,0.0,13.95,342.82,607.71,488.14,70.93,162.59,1329.37,1672.18,40.0,437.97,0.0,0.0,309.4,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.8,18.8,2909.55,2909.55,2928.35,0.0,0.0,25.9,11.41,37.32,606.55,644.97,216.65,2.34,1470.5,4436.17,496.55,533.46,27.47,1057.48,1717.89,0.0,0.0,34.4,2809.77,633.9,511.25,122.4,358.86,1626.4,4436.17,46.04,711.5,0.0,0.0,349.11,1717.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,20.65,20.65,3880.94,3880.94,3901.59,0.0,0.0,17.09,40.26,57.35,70.85,494.78,97.78,0.38,663.79,4622.74,507.71,513.28,34.02,1055.02,1864.92,0.0,0.0,33.15,2953.09,619.43,701.41,34.62,314.19,1669.65,4622.74,66.14,837.97,0.0,0.0,288.37,1864.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
