Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1056.9,1737.6,1631.2,791.5,954.9,1617.2,1739.6,982.5,1037.9,1451.9,1667.4,963.3,990.1,1365.1,1415.9,733.7,918.2,1381.6,1227.8,458.7,854.0,1346.3,950.4,128.8,621.0,1233.9,831.8,300.2,479.7,1232.0,698.0,215.3,645.1,1080.9,799.2,415.6,622.2,1149.8,1371.3,540.6,687.2,1215.1,1172.4,525.9,626.6,1027.4,966.3,367.4,559.1,800.1
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.4,23.1,22.0,--,20.2,24.8,27.4,29.0,24.8,25.9,28.3,26.8,27.8,23.0,21.4,23.1,28.4,26.46
Total Income From Operations,1056.9,1737.6,1631.2,791.5,954.9,1617.2,1739.6,982.5,1037.9,1451.9,1667.4,963.3,990.1,1365.1,1415.9,733.7,918.2,1381.6,1227.8,458.7,854.0,1346.3,950.4,128.8,621.0,1233.9,831.8,300.2,479.7,1232.0,698.0,215.3,662.5,1104.0,821.2,415.6,642.4,1174.6,1398.7,569.6,712.0,1241.0,1200.7,552.7,654.4,1050.4,987.7,390.5,587.5,826.56
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,691.3,1070.3,845.8,523.6,363.9,934.2,896.7,650.2,427.0,588.7,875.9,657.3,458.5,702.2,759.9,670.5,406.0,808.1,599.4,393.8,309.0,542.7,505.9,191.5,262.6,586.9,410.4,178.2,286.6,424.6,335.6,258.3,300.2,535.1,495.6,274.4,127.1,272.0,228.7,180.5,231.5,247.9,201.7,179.8,190.7,201.1,119.6,174.8,124.0,131.72
Purchase of Traded Goods,28.8,50.9,51.1,31.0,17.3,33.3,57.7,87.1,50.4,73.1,66.7,68.6,33.6,41.1,87.1,30.8,49.3,21.1,38.6,10.6,20.9,20.7,47.1,37.6,9.6,23.9,34.8,15.3,37.4,109.1,148.8,31.8,18.7,52.0,58.9,17.0,130.3,440.2,1010.0,192.1,90.5,435.7,838.8,199.7,123.3,407.2,677.2,110.8,90.8,335.12
Increase/Decrease in Stocks,-61.8,70.7,87.6,-177.8,147.2,41.6,42.9,-256.0,117.6,218.5,-83.2,-248.7,72.8,92.6,-60.8,-294.7,90.0,18.2,8.6,-213.2,131.0,216.6,-75.3,-161.3,88.0,107.8,-50.6,-22.1,-39.7,228.0,-101.2,-158.2,111.9,73.3,-131.5,-12.2,148.4,36.0,-250.3,-11.1,125.2,92.4,-211.6,-39.4,83.2,61.8,-114.1,-36.0,148.7,46.28
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,123.1,115.9,99.6,127.4,113.9,100.8,93.3,132.0,147.5,128.7,126.1,115.3,140.7,100.1,107.0,96.7,94.8,76.9,93.8,93.8,80.1,91.3,96.4,94.8,80.4,86.3,72.9,68.9,64.5,64.0,66.5,66.6,61.1,56.2,61.4,18.6,52.6,53.5,68.0,57.5,53.7,49.9,65.8,45.9,54.8,48.0,55.2,43.2,45.0,44.95
Depreciation,15.1,14.0,21.5,15.9,15.2,11.6,31.3,27.1,14.3,15.2,22.9,21.4,14.2,14.3,14.6,21.6,14.3,13.9,23.7,19.1,14.9,17.3,14.0,8.6,8.5,11.4,8.7,8.8,8.4,7.9,8.0,8.1,7.6,6.7,6.5,6.3,6.5,5.9,6.0,6.1,5.9,4.8,8.5,10.7,11.3,34.3,8.3,9.6,9.5,8.84
