Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,660.31,643.69,721.38,682.03,693.36,646.61,622.53,624.44,616.97,612.39,563.44,557.33,528.95,509.86,453.23,445.07,409.51,401.09,384.86,396.05,368.23,354.04,343.84,340.42,222.61,443.59,420.38,400.03,377.71,351.45,313.1,321.07,328.82,341.33,328.74,326.74,307.84,318.55,308.72,321.25,297.56,388.02,227.35,270.25,215.34,214.02,190.47,165.99,180.72,191.03
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,660.31,643.69,721.38,682.03,693.36,646.61,622.53,624.44,616.97,612.39,563.44,557.33,528.95,509.86,453.23,445.07,409.51,401.09,384.86,396.05,368.23,354.04,343.84,340.42,222.61,443.59,420.38,400.03,377.71,351.45,313.1,321.07,328.82,341.33,328.74,326.74,307.84,318.55,308.72,321.25,297.56,388.02,227.35,270.25,215.34,214.02,190.47,165.99,180.72,191.03
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,4.03,57.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.25,0.15,2.53,0.24,2.68,0.46,10.19,5.83,4.12,3.16,4.27,0.47,--,--,26.11,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,1.56,0.06,-1.45,-0.07,0.27,-0.02,0.35,0.07,-0.2,0.01,3.35,-3.96,2.08,-0.21,-1.42,-0.16,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,491.47,481.37,439.95,473.55,473.47,443.73,443.88,433.84,434.18,429.64,371.7,376.42,357.07,329.97,311.5,288.6,266.88,258.77,240.68,248.75,236.68,229.03,229.04,221.35,134.86,253.37,249.33,245.08,231.87,235.29,211.94,200.64,201.88,204.9,189.12,176.12,181.43,185.93,174.42,171.73,169.81,189.99,129.16,139.71,106.67,97.94,101.55,84.6,91.4,93.33
Depreciation,18.05,19.17,17.54,17.94,19.08,19.7,19.61,18.99,19.5,19.25,18.2,17.61,16.86,17.47,16.58,15.82,17.72,18.11,18.3,18.14,16.84,16.96,17.33,11.51,8.72,29.13,22.18,22.04,17.27,16.61,16.62,20.36,17.38,17.29,16.11,15.27,15.33,14.05,13.73,17.24,18.2,21.38,12.62,11.33,9.35,9.65,9.63,10.08,9.27,8.97
