Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,698.7,590.78,543.86,513.88,453.28,466.87,431.56,386.02,346.39,294.28,262.15,212.12,222.89,177.3,158.71,153.18,132.62,142.84,140.91,137.19,136.72,141.9,147.12,135.12,134.01,130.81,111.42,102.07,101.84,90.7,80.63,69.46,61.07,53.17,51.83,47.2,44.41,34.95,46.37,41.25,43.6,42.77,50.71,42.65,39.4,38.44,33.24,836.0,508.56,293.41
Other Operating Income,33.85,9.98,10.32,8.72,11.53,9.18,12.44,6.47,10.14,6.96,6.93,5.05,6.78,15.25,8.76,3.12,9.15,5.66,5.75,0.22,8.7,4.65,--,4.03,9.61,--,--,--,--,--,--,--,--,3.49,6.37,1.36,3.55,6.46,5.51,3.21,6.72,1.38,5.12,0.6,6.11,0.23,--,0.47,--,--
Total Income From Operations,732.55,600.76,554.18,522.6,464.81,476.05,444.0,392.48,356.53,301.24,269.08,217.17,229.67,192.55,167.47,156.3,141.76,148.49,146.67,137.41,145.42,146.55,147.12,139.14,143.61,130.81,111.42,102.07,101.84,90.7,80.63,69.46,61.07,56.66,58.2,48.56,47.96,41.41,51.88,44.46,50.32,44.15,55.83,43.25,45.51,38.67,33.24,836.47,508.56,293.41
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,816.94,451.62,267.43
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-13.58,25.83,-5.95
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,157.79,130.2,122.74,126.85,135.1,122.13,120.5,124.33,109.35,104.01,82.15,59.52,49.86,36.57,37.11,27.91,26.54,21.88,19.69,14.47,22.03,22.71,24.96,27.89,23.83,25.54,22.8,25.26,20.91,17.16,15.9,16.55,15.25,13.83,12.54,11.17,9.3,8.11,7.76,7.2,7.4,6.49,5.98,6.12,5.15,5.7,5.71,4.06,4.93,4.29
Depreciation,24.32,21.63,21.07,19.28,21.75,23.22,21.22,13.84,17.52,13.12,5.77,2.57,2.86,2.04,0.74,1.67,2.78,1.93,1.95,1.87,2.21,2.17,2.07,2.03,1.16,0.91,1.4,1.41,1.5,1.49,1.39,1.33,1.36,1.02,0.94,0.87,1.06,0.83,0.73,0.7,0.94,0.84,0.9,0.91,0.78,0.57,0.31,0.25,0.23,0.22
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,22.34,12.81,12.38,38.46,4.07,31.15,15.53,17.49,7.06,21.89,-0.17,18.95,42.57,17.61,6.46,7.95,20.41,9.11,0.15,16.6,13.52,5.24,--,3.72,0.27,4.48,--,1.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,48.32,45.43,52.32,61.15,54.78,67.7,78.13,49.86,44.06,39.47,32.6,18.18,26.73,16.19,12.71,12.55,14.63,10.08,6.66,5.84,13.7,9.48,16.93,7.92,13.51,12.4,16.04,7.18,20.83,13.07,9.06,9.98,13.27,10.26,10.0,7.99,39.81,34.07,11.07,1.98,8.62,3.75,10.74,2.94,2.61,3.53,3.25,4.44,1.96,2.78
"P/L Before Other Inc. , Int., Excpt. Items & Tax",479.78,390.7,345.67,276.86,249.12,231.86,208.63,186.97,178.54,122.77,148.73,117.96,107.66,120.15,110.44,106.22,77.4,105.49,118.22,98.63,93.96,106.95,103.16,97.59,104.85,87.48,71.18,67.2,58.6,58.98,54.29,41.6,31.18,31.55,34.71,28.54,-2.2,-1.59,32.32,34.58,33.36,33.07,38.21,33.28,36.97,28.87,23.97,24.37,23.99,24.65
Other Income,3.22,3.54,3.7,2.95,1.49,1.28,1.1,1.08,1.26,1.05,1.91,0.81,0.99,3.17,3.32,0.38,0.31,0.72,0.36,0.33,0.35,0.59,0.25,2.75,0.64,3.9,6.54,5.48,9.49,6.44,2.58,0.1,6.24,0.01,0.04,0.89,0.04,0.04,0.04,0.04,1.1,0.04,0.04,1.42,1.47,1.66,1.65,7.23,5.72,0.01
