Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17
Net Sales/Income from operations,901.22,934.36,887.21,775.24,695.43,671.32,643.08,574.54,540.95,559.56,544.72,521.58,516.28,549.67,542.33,507.08,502.93,481.86,456.25,411.49,476.13,524.73,498.0,504.39,486.5,477.09,480.36,471.23,471.66,467.66,430.01,390.42
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,901.22,934.36,887.21,775.24,695.43,671.32,643.08,574.54,540.95,559.56,544.72,521.58,516.28,549.67,542.33,507.08,502.93,481.86,456.25,411.49,476.13,524.73,498.0,504.39,486.5,477.09,480.36,471.23,471.66,467.66,430.01,390.42
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,96.83,94.92,95.69,100.81,86.43,90.32,92.93,83.78,71.85,78.98,83.85,77.99,71.43,77.47,79.84,83.46,63.83,56.86,53.45,52.61,43.15,57.05,57.83,56.68,47.61,50.51,54.37,53.78,32.7,50.29,49.02,42.94
Depreciation,16.6,14.86,13.7,13.25,13.31,13.07,12.98,12.9,13.25,13.37,13.22,13.5,13.41,13.34,13.59,13.51,13.62,14.0,14.06,13.73,13.39,12.64,12.46,11.88,3.47,3.71,3.07,2.6,4.44,2.48,2.31,2.21
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,73.63,75.14,87.48,79.5,69.74,69.59,67.91,62.19,58.55,67.47,56.3,53.94,51.39,57.77,51.39,42.67,42.77,39.23,37.28,42.4,61.3,54.07,48.97,51.98,81.82,110.42,160.59,150.13,178.92,157.36,142.03,140.03
"P/L Before Other Inc. , Int., Excpt. Items & Tax",714.16,749.44,690.34,581.68,525.95,498.34,469.26,415.67,397.3,399.74,391.35,376.15,380.05,401.09,397.51,367.44,382.71,371.77,351.46,302.75,358.29,400.97,378.74,383.85,353.6,312.45,262.33,264.72,255.6,257.53,236.65,205.24
Other Income,123.78,92.74,170.61,173.1,155.46,142.43,122.14,158.03,96.86,103.37,104.21,11.32,64.65,86.21,66.07,100.91,42.64,113.05,113.7,79.82,-26.51,67.26,51.07,48.36,60.95,55.85,34.88,29.92,25.74,27.57,27.61,26.58
"P/L Before Int., Excpt. Items & Tax",837.94,842.18,860.95,754.78,681.41,640.77,591.4,573.7,494.16,503.11,495.56,387.47,444.7,487.3,463.58,468.35,425.35,484.82,465.16,382.57,331.78,468.23,429.81,432.21,414.55,368.3,297.21,294.64,281.34,285.1,264.26,231.82
Interest,2.6,2.23,2.27,2.31,2.32,2.16,2.27,2.34,2.38,2.39,2.43,2.49,2.05,2.15,2.21,2.23,2.34,2.2,2.21,2.2,2.21,2.2,2.28,2.29,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,835.34,839.95,858.68,752.47,679.09,638.61,589.13,571.36,491.78,500.72,493.13,384.98,442.65,485.15,461.37,466.12,423.01,482.62,462.95,380.37,329.57,466.03,427.53,429.92,414.55,368.3,297.21,294.64,281.34,285.1,264.26,231.82
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
