Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2012-03-31,3.83,3.83,156.82,156.82,160.64,0.0,112.24,12.85,21.89,0.83,147.81,1.94,22.76,58.62,0.39,83.72,392.17,200.99,0.0,0.0,325.34,1.7,19.08,5.3,351.42,0.0,5.42,20.26,9.95,3.2,1.92,40.76,392.17,0.0,34.72,1.03,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,3.83,3.83,189.81,189.81,193.64,0.0,160.48,27.04,0.02,1.46,188.99,12.54,39.16,134.48,0.76,186.93,570.84,412.65,0.06,0.0,486.54,1.71,11.82,2.38,502.46,0.0,8.21,29.51,11.4,15.33,3.92,68.38,570.84,0.0,15.35,1.88,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,5.61,5.61,196.16,196.16,201.77,0.0,199.76,34.65,0.02,2.31,236.74,26.27,58.07,103.17,0.54,188.05,626.56,454.21,0.35,0.0,505.5,5.89,19.84,0.79,532.02,0.0,9.87,32.31,25.28,20.86,6.22,94.54,626.56,0.0,6.36,1.92,0.51,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,8.8,8.8,234.33,234.33,243.13,0.0,197.62,38.44,0.01,3.09,239.16,31.78,58.29,71.66,0.81,162.54,644.82,493.13,0.8,0.0,503.98,15.32,26.88,0.91,547.1,0.0,9.85,38.09,13.02,30.97,5.8,97.72,644.82,0.0,0.85,1.14,3.44,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,70.4,70.4,191.04,191.04,261.44,0.0,173.23,42.07,0.01,5.7,221.01,15.01,62.58,84.42,2.05,164.06,646.52,496.6,1.27,2.31,500.18,18.19,18.69,0.77,537.84,0.0,11.27,62.3,6.74,21.94,6.44,108.68,646.52,0.0,0.09,1.08,65.05,18.19,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,71.62,71.62,252.47,252.47,324.09,0.0,195.81,45.5,0.01,6.57,247.89,10.45,73.03,95.25,2.59,181.33,753.3,499.78,1.45,63.55,564.78,21.97,18.61,1.14,606.5,0.0,15.3,86.34,8.08,29.96,7.12,146.81,753.3,0.0,0.0,3.06,65.05,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,50.15,50.15,-249.21,-249.21,-199.06,0.0,214.03,47.11,0.95,8.69,270.78,26.57,78.79,611.68,0.64,717.68,789.4,574.36,1.33,0.0,575.69,31.49,2.03,30.03,639.24,0.0,16.28,96.01,8.83,15.1,13.95,150.17,789.4,0.0,0.0,0.0,45.54,31.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,74.49,74.49,429.13,429.13,503.62,0.31,152.37,42.09,2.6,12.88,209.94,8.54,73.67,59.35,1.39,142.94,856.81,564.0,2.79,0.23,567.03,79.62,2.15,48.58,697.37,0.0,18.97,100.03,8.37,21.55,10.52,159.44,856.81,0.0,0.0,0.0,45.54,79.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,74.49,74.49,549.33,549.33,623.82,0.31,147.12,30.44,5.6,12.2,195.36,2.08,77.98,52.47,5.42,137.95,957.44,538.58,20.63,2.23,561.45,177.96,20.33,28.47,788.21,0.0,21.71,99.15,39.48,1.52,7.38,169.24,957.44,1.12,0.0,0.0,45.54,177.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,77.59,77.59,829.73,829.73,907.32,0.0,69.67,30.11,2.28,14.25,116.32,50.67,85.19,46.58,7.65,190.09,1213.73,579.25,3.14,7.6,589.99,213.22,28.33,14.95,846.5,0.0,16.47,73.0,250.02,1.79,25.94,367.23,1213.73,164.25,0.0,0.0,45.54,213.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
