Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,159.85,156.26,168.61,142.42,141.05,129.12,136.13,118.73,118.33,110.97,118.26,102.01,113.74,108.31,109.5,119.33,109.24,96.93,110.53,50.36
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.26,--,--,--
Total Income From Operations,159.85,156.26,168.61,142.42,141.05,129.12,136.13,118.73,118.33,110.97,118.26,102.01,113.74,108.31,109.5,119.33,109.5,96.93,110.53,50.36
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,20.56,19.69,21.33,17.15,17.14,15.62,16.06,14.03,15.23,13.41,16.26,12.69,17.47,15.72,15.24,20.52,-39.71,13.43,18.88,7.39
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,25.87,26.16,25.38,24.79,22.41,22.38,21.35,20.32,19.04,19.25,19.25,18.97,18.71,17.72,16.59,15.66,14.75,14.72,13.77,12.47
Depreciation,17.11,16.86,15.37,15.19,14.91,14.4,13.66,12.44,11.32,20.2,15.8,14.07,15.14,12.87,12.34,11.79,12.37,12.32,13.58,11.47
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,49.27,47.93,51.73,44.76,44.25,40.03,42.35,36.88,35.97,34.62,34.79,31.13,30.5,27.68,27.41,27.81,80.6,23.41,27.49,16.8
"P/L Before Other Inc. , Int., Excpt. Items & Tax",47.04,45.62,54.79,40.53,42.34,36.68,42.72,35.05,36.77,23.49,32.16,25.15,31.92,34.32,37.92,43.56,41.49,33.05,36.81,2.23
Other Income,5.68,4.99,4.8,3.83,3.41,5.25,6.92,5.86,4.53,3.72,3.39,2.93,3.31,3.2,3.16,3.25,3.46,2.83,2.37,2.17
"P/L Before Int., Excpt. Items & Tax",52.72,50.61,59.6,44.36,45.75,41.94,49.63,40.91,41.3,27.21,35.56,28.08,35.23,37.52,41.07,46.81,44.95,35.88,39.17,4.4
Interest,6.58,6.26,6.07,6.05,5.95,6.05,5.84,5.87,5.76,5.53,4.85,4.74,4.3,4.14,3.9,3.91,3.35,3.52,4.22,3.73
P/L Before Exceptional Items & Tax,46.14,44.35,53.53,38.31,39.8,35.89,43.79,35.04,35.54,21.68,30.7,23.34,30.93,33.38,37.17,42.9,41.59,32.36,34.96,0.67
Exceptional Items,-1.03,--,--,--,--,-2.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,45.12,44.35,53.53,38.31,39.8,33.84,43.79,35.04,35.54,21.68,30.7,23.34,30.93,33.38,37.17,42.9,41.59,32.36,34.96,0.67
Tax,12.0,10.81,14.03,9.45,9.29,8.59,10.94,9.04,8.62,5.52,7.76,6.14,7.46,8.35,9.85,10.62,10.74,8.23,8.94,-1.14
P/L After Tax from Ordinary Activities,33.12,33.53,39.5,28.86,30.51,25.25,32.85,26.0,26.92,16.16,22.94,17.21,23.47,25.03,27.33,32.28,30.86,24.13,26.02,1.81
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,33.12,33.53,39.5,28.86,30.51,25.25,32.85,26.0,26.92,16.16,22.94,17.21,23.47,25.03,27.33,32.28,30.86,24.13,26.02,1.81
Equity Share Capital,10.26,10.26,10.26,10.26,10.23,10.23,10.23,10.21,10.21,10.21,10.21,10.2,10.2,10.2,10.2,10.2,4.53,4.53,4.53,4.53
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,356.02,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.23,3.26,3.85,2.82,2.98,2.47,3.21,2.55,2.64,1.58,2.25,1.69,2.3,2.45,2.68,3.17,6.81,5.32,5.74,0.4
Diluted EPS,3.22,3.26,3.84,2.81,2.97,2.46,3.2,2.54,2.63,1.58,2.24,1.68,2.29,2.44,2.68,3.17,--,2.37,2.55,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
