Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,797.35,776.28,746.57,746.57,684.03,671.04,635.0
Total Share Capital,892.46,892.46,892.46,892.46,892.46,892.46,892.46,892.46,797.35,776.28,746.57,746.57,684.03,671.04,635.0
Revaluation Reserve,0.0,27555.65,27756.26,23377.87,0.0,23762.67,24653.94,24847.99,31585.65,,,,0.0,0.0,0.0
Reserves and Surplus,440269.66,348798.43,298959.73,255817.73,252982.73,207352.3,195367.42,193388.12,155903.06,143498.16,127691.65,117535.68,98199.65,83280.16,64351.04
Total Reserves and Surplus,440269.66,376354.07,326715.99,279195.6,252982.73,231114.97,220021.36,218236.1,187488.71,143498.16,127691.65,117535.68,98199.65,83280.16,64351.04
Total ShareHolders Funds,441162.12,377246.53,327608.45,280088.06,253875.19,232007.43,220913.82,219128.56,188286.06,144274.44,128438.23,118282.25,98883.69,83951.21,64986.04
Deposits,5382189.53,4916076.77,4423777.78,4051534.12,3681277.08,3241620.73,2911386.01,2706343.29,2044751.39,1730722.44,1576793.25,1394408.5,1202739.57,1043647.36,933932.81
Borrowings,563572.52,597560.91,493135.16,426043.38,417297.7,314655.65,403017.12,362142.07,317693.66,224190.59,205150.29,183130.88,169182.71,127005.57,119568.96
Other Liabilities and Provisions,289129.1,288809.73,272457.15,229931.84,181979.66,163110.1,145597.3,167138.08,155235.19,159875.57,137698.04,96926.65,95455.07,80915.09,105248.39
Total Capital and Liabilities,6676053.27,6179693.95,5516978.53,4987597.41,4534429.63,3951393.92,3680914.25,3454752.0,2705966.3,2259063.03,2048079.8,1792748.29,1566261.04,1335519.23,1223736.2
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,227217.5,225141.7,247087.58,257859.21,213201.54,166735.78,176932.42,150397.18,127997.62,129629.33,115883.84,84955.66,65830.41,54075.94,94395.5
Balances with Banks Money at Call and Short Notice,113012.19,85660.29,60812.04,136693.11,129837.17,84361.23,45557.69,41501.46,43974.03,37838.33,38871.94,47593.97,48989.75,43087.23,28478.65
Investments,1690572.75,1671339.66,1570366.23,1481445.47,1351705.21,1046954.52,967021.95,1060986.72,765989.63,477097.28,481758.75,398799.57,350927.27,312197.61,295600.57
Advances,4163312.1,3703970.85,3199269.3,2733966.59,2449497.79,2325289.56,2185876.92,1934880.19,1571078.38,1463700.42,1300026.39,1209828.72,1045616.55,867578.89,756719.45
Fixed Assets,44107.55,42617.25,42381.8,37708.16,38419.24,38439.28,39197.57,39992.25,42918.92,10389.28,9329.16,8002.16,7005.02,5466.55,4764.19
Other Assets,437831.18,450964.19,397061.58,339924.86,351768.68,289613.55,266327.7,226994.2,154007.72,140408.41,102209.71,43568.21,47892.03,53113.02,43777.85
Total Assets,6676053.27,6179693.95,5516978.53,4987597.41,4534429.63,3951393.92,3680914.25,3454752.0,2705966.3,2259063.03,2048079.8,1792748.29,1566261.04,1335519.23,1223736.2
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,22542.0,22405.0,22266.0,0.0,22141.0,22010.0,22414.0,17170.0,16784.0,16333.0,15869.0,15002.0,14270.0,13698.0
Number of Employees,0.0,232296.0,235858.0,244250.0,0.0,249448.0,257252.0,264041.0,209567.0,207739.0,213238.0,222809.0,228296.0,215481.0,222933.0
Capital Adequacy Ratios (%),14.25,14.28,14.68,13.85,13.74,13.13,12.72,13.0,13.0,13.0,12.0,13.0,12.92,13.86,11.98
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,11.93,12.06,11.16,0.0,10.71,10.65,10.0,10.0,10.0,9.6,10.0,9.49,9.79,7.77
Tier 2 (%),0.0,2.35,2.62,2.69,0.0,2.42,2.07,2.0,3.0,3.0,2.4,3.0,3.43,4.07,4.21
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,76880.2,84276.33,90927.78,112023.0,126389.02,149091.85,172753.6,223427.46,112342.99,98172.8,56725.34,61605.35,51189.39,39676.46,25326.29
Gross NPA (%),1.82,2.24,2.78,3.97,5.0,6.0,8.0,11.0,7.0,7.0,4.0,5.0,5.0,5.0,3.0
Net NPA,19666.92,21051.08,21466.64,27965.71,36809.72,51871.3,658947.4,110854.7,58277.38,55807.02,27590.58,31096.07,21956.48,15818.85,12346.9
Net NPA (%),0.47,0.57,0.67,1.02,1.5,2.23,3.01,6.0,4.0,4.0,2.12,3.0,2.1,1.82,1.63
Net NPA To Advances (%),1.1,0.57,0.67,1.02,0.0,2.0,3.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,67795.94,64531.08,77730.12,0.0,55758.16,70022.54,74027.9,65640.42,199140.17,92795.25,74028.42,66639.54,66959.85,59904.98
Contingent Liabilities,0.0,2389320.82,1826574.12,2007083.44,0.0,1214994.61,1116081.46,1162020.69,1046440.93,865027.48,971956.01,1017329.95,993018.45,899565.18,790389.59
Preference Share Capital,,,,,,,,,,,,,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,,0.0,0.0,0.0
Employees Stock Options,,,,,,,,,,,,,0.0,0.0,0.0
Equity Share Application Money,,,,,,,,,,,,,0.0,0.0,0.0
