Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,395.71,390.0,428.75,449.17,332.25,315.96,409.71,411.29,308.36,326.76,349.98,322.02,277.12,300.22,322.66,306.3,256.85,281.48,298.38,256.11,226.08,249.48,268.42,259.78,194.61,226.76,237.07,226.5,194.07,182.21,222.06,162.26,118.1,167.88,193.47,184.43
Other Operating Income,9.06,9.73,--,7.52,9.05,8.45,--,--,6.23,5.25,5.39,6.74,5.02,4.42,--,--,--,5.65,5.0,5.37,4.65,4.79,4.48,2.55,3.82,4.04,3.74,--,--,--,--,--,24.48,--,--,--
Total Income From Operations,404.77,399.73,428.75,456.69,341.3,324.41,409.71,411.29,314.58,332.01,355.37,328.76,282.14,304.63,322.66,306.3,256.85,287.13,303.37,261.48,230.74,254.27,272.9,262.33,198.43,230.8,240.81,226.5,194.07,182.21,222.06,162.26,142.59,167.88,193.47,184.43
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,9.83,10.93,23.19,24.4,17.74,23.75,28.64,26.17,25.07,25.55,32.91,30.6,30.01,33.21,30.03,24.32,22.09,22.15,29.38,25.81,24.02,19.13,18.2,15.54,11.54,19.9,13.33,13.41,12.52,11.44,11.73,11.39,7.05,17.19,14.31,6.84
Purchase of Traded Goods,119.02,122.67,112.34,120.41,37.17,36.24,51.43,72.18,29.68,20.58,39.84,23.66,26.9,17.34,20.45,14.9,29.82,27.42,25.37,29.04,10.67,14.88,22.8,21.65,29.48,24.62,21.31,12.16,16.73,32.06,7.83,8.28,9.32,8.03,18.06,17.83
Increase/Decrease in Stocks,-4.53,-14.52,-10.2,-14.29,10.4,4.65,-2.95,-25.25,-6.06,11.93,-2.37,5.0,-7.01,1.78,0.48,7.25,-1.84,1.02,-1.02,-10.72,-1.79,7.03,4.15,8.08,-10.68,-10.78,0.62,7.43,-0.62,-17.15,13.43,0.8,6.55,-6.3,-4.46,12.29
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,81.41,87.04,89.72,103.75,79.52,80.69,81.1,90.36,60.63,61.75,69.18,61.39,52.65,55.23,56.07,58.24,46.35,53.93,54.34,52.39,50.66,49.2,46.75,44.78,41.04,41.66,40.58,43.48,35.69,35.23,30.06,29.87,28.22,26.92,31.23,30.69
Depreciation,43.38,46.68,46.16,45.55,29.14,28.08,25.0,20.16,17.28,16.5,15.9,14.97,15.07,13.54,11.62,11.23,10.14,9.24,9.21,9.05,12.98,11.35,10.38,10.19,10.04,8.39,7.08,6.09,7.77,5.61,4.5,3.91,7.5,5.83,5.28,4.52
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,78.07,94.04,78.88,99.04,117.08,104.65,107.0,92.32,93.77,85.81,74.76,81.93,77.98,74.29,78.58,79.05,66.41,79.27,75.37,64.94,74.05,89.25,73.79,71.93,65.13,64.8,67.9,65.94,57.59,41.41,63.61,42.83,36.73,50.21,61.73,45.55
"P/L Before Other Inc. , Int., Excpt. Items & Tax",77.59,52.89,88.66,77.83,50.25,46.35,119.49,135.34,94.21,109.89,125.14,111.22,86.55,109.25,125.43,111.32,83.88,94.11,110.72,90.96,60.14,63.44,96.82,90.18,51.89,82.21,89.99,77.99,64.4,73.61,90.91,65.18,47.22,66.0,67.32,66.72
