Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,5.29,5.29,0.0,1.36,2.76,0.0,0.0,5.25,-4.08,0.77,-3.31,0.0,-3.31,0.0,-3.31,-0.39,-2.92,-2.92,10.15,-0.29,-0.29,6.74,66.41,3.41,100.0,33.59
2013-03-31,7.52,7.52,0.0,1.42,2.66,0.24,0.0,4.83,-1.63,5.9,4.27,0.0,4.27,0.0,4.27,1.16,3.11,3.11,10.15,0.31,0.31,6.73,66.32,3.42,100.0,33.68
2013-06-30,5.51,5.51,0.0,1.28,2.67,0.04,0.0,2.86,-1.34,1.28,-0.06,0.0,-0.06,0.0,-0.06,-0.05,-0.01,-0.01,10.15,0.0,0.0,6.73,66.33,3.42,100.0,33.67
2013-09-30,8.84,8.84,0.0,1.41,2.67,0.0,0.0,5.67,-0.91,1.45,0.54,0.0,0.54,0.0,0.54,-0.15,0.69,0.69,10.15,0.07,0.07,6.75,66.47,3.4,100.0,33.53
2013-12-31,5.68,5.68,0.0,1.35,2.67,0.0,0.0,2.57,-0.92,1.07,0.15,0.0,0.15,0.0,0.15,-0.12,0.28,0.28,10.15,0.03,0.03,6.75,66.52,3.4,100.0,33.48
2014-03-31,5.67,5.67,0.0,1.43,2.7,0.02,0.0,3.48,-1.95,1.67,-0.28,0.0,-0.28,-9.68,-9.96,0.69,-10.65,-10.65,10.15,-1.05,-1.05,6.76,66.61,3.39,100.0,33.39
2014-06-30,9.14,9.14,5.54,1.49,2.26,0.02,0.0,0.96,-1.13,1.19,0.06,0.0,0.06,0.0,0.06,0.02,0.04,0.04,10.15,0.0,0.0,6.81,67.09,3.34,100.0,32.91
2014-09-30,27.14,27.14,23.12,1.54,2.27,0.09,0.0,1.12,-1.01,2.05,1.04,0.0,1.04,0.0,1.04,0.38,0.66,0.66,10.15,0.06,0.06,7.03,69.28,3.12,100.0,30.72
2014-12-31,31.59,31.59,24.52,1.54,4.39,0.08,0.03,2.19,-1.16,1.74,0.57,0.0,0.57,0.0,0.57,0.37,0.2,0.2,10.15,0.02,0.02,7.03,69.28,3.12,100.0,30.72
2015-03-31,64.75,64.75,55.02,2.07,1.46,0.24,0.0,2.0,3.96,0.23,4.19,0.0,4.19,0.0,4.19,2.02,2.17,2.17,10.15,0.21,0.21,7.03,69.28,3.12,100.0,30.72
