Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Jun '11,Mar '11,Dec '10,Sep '10,Jun '10,Mar '10,Dec '09,Sep '09,Jun '09,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Dec '07,Sep '07,Jun '07,Mar '07
Net Sales/Income from operations,3243.45,2470.35,2298.86,2180.48,3648.98,2792.14,2883.64,2625.64,3669.93,2236.86,2117.21,1897.2,2797.08,1638.91,1421.06,1051.09,2260.39,1244.46,965.57,477.35,1788.32,1132.18,1161.12,1120.83,1532.79,1215.89,962.29,704.13,1502.9,908.59,723.43,761.47,627.32,1462.32,598.46,533.56,570.52,1063.49,704.8,713.71,601.31,789.43,733.48,631.3,406.78,837.71,419.91,359.67,321.95,504.25
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,3243.45,2470.35,2298.86,2180.48,3648.98,2792.14,2883.64,2625.64,3669.93,2236.86,2117.21,1897.2,2797.08,1638.91,1421.06,1051.09,2260.39,1244.46,965.57,477.35,1788.32,1132.18,1161.12,1120.83,1532.79,1215.89,962.29,704.13,1502.9,908.59,723.43,761.47,627.32,1462.32,598.46,533.56,570.52,1063.49,704.8,713.71,601.31,789.43,733.48,631.3,406.78,837.71,419.91,359.67,321.95,504.25
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,234.54,209.54,159.8,59.51,162.96,102.47,170.65,95.47,141.8,95.51,84.13,70.64,180.45,163.96,86.85,80.87,136.45,121.99,92.23,15.96,218.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,26.99,7.66,-0.03,25.65,-127.92,62.5,6.82,17.89,48.28,-4.17,-16.4,-64.37,-81.72,43.92,-63.09,43.95,18.68,105.28,43.86,-31.99,39.09,-19.01,27.8,-37.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,50.63,67.83,69.66,68.12,76.44,82.73,81.99,65.93,72.39,69.21,67.79,55.31,62.42,67.99,63.38,54.8,55.99,55.87,57.78,59.69,69.09,66.09,61.73,64.46,66.71,64.41,63.12,56.46,66.46,46.19,60.8,58.44,40.31,46.23,37.37,30.73,34.7,45.48,37.98,29.4,28.23,38.34,37.02,21.14,26.45,27.22,25.91,20.49,16.5,26.02
Depreciation,9.5,9.55,9.65,9.55,9.2,9.19,9.16,8.66,17.39,6.8,6.78,6.76,9.18,6.12,6.11,6.08,6.09,6.26,6.27,6.22,5.87,4.39,2.94,2.73,2.69,2.99,3.1,2.92,3.23,3.19,2.73,3.7,9.5,15.88,9.43,8.36,8.25,8.03,11.2,9.46,10.74,11.66,9.74,10.33,10.81,8.16,8.83,10.05,6.45,7.77
