Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Sep '12,Jun '12,Sep '08
Net Sales/Income from operations,2844.99,2760.23,2517.72,2188.35,2065.22,2012.66,1864.8,1842.61,1852.38,1709.58,1738.61,1749.27,1726.93,1699.92,1736.92,1790.31,1759.38,1845.19,1856.78,1773.91,1888.49,1793.54,2044.73,1806.49,1474.75,1310.53,1224.38,1530.92,1169.66,1064.49,942.18,899.09,879.98,913.73,825.77,890.07,968.48,742.41,1076.53,816.98,761.43,743.59,871.93,735.44,1337.61,--,2806.27,1380.9,--,693.82
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-53.1,23.9,14.46,16.11,14.74,-0.29,19.67,27.25,--,98.93,52.09,--,--
Total Income From Operations,2844.99,2760.23,2517.72,2188.35,2065.22,2012.66,1864.8,1842.61,1852.38,1709.58,1738.61,1749.27,1726.93,1699.92,1736.92,1790.31,1759.38,1845.19,1856.78,1773.91,1888.49,1793.54,2044.73,1806.49,1474.75,1310.53,1224.38,1530.92,1169.66,1064.49,942.18,899.09,879.98,913.73,825.77,890.07,968.48,689.31,1100.43,831.44,777.54,758.33,871.64,755.11,1364.86,--,2905.2,1432.99,--,693.82
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,64.19,60.21,65.76,39.88,98.48,31.76,55.11,47.16,53.14,39.46,45.9,48.12,38.03,60.14,60.75,59.17,55.03,52.1,48.96,50.16,75.12,54.6,57.68,51.62,52.94,50.37,44.52,67.48,47.89,45.58,38.13,36.57,9.16,27.86,51.58,35.81,36.05,45.82,34.21,59.54,29.8,34.86,32.34,32.89,67.97,--,122.3,59.74,--,25.33
Depreciation,3.51,2.63,2.54,1.96,2.48,2.46,2.44,2.48,2.81,2.89,2.85,2.76,3.32,1.57,1.54,1.47,1.92,1.55,2.32,1.19,1.49,1.48,1.47,1.27,1.48,1.31,1.28,1.23,1.38,1.56,1.29,1.2,--,--,0.88,-0.88,--,-2.4,1.43,1.35,1.5,1.0,0.57,1.25,2.5,--,4.96,2.4,--,1.25
