Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,3143.62,2756.83,2357.02,3103.65,2362.47,1827.7,2172.76,2078.59,1815.91,1702.36,2230.32,1396.43,1552.5,1570.11,1214.24,1105.11,1461.09,1099.55,383.94,1043.25
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,3143.62,2756.83,2357.02,3103.65,2362.47,1827.7,2172.76,2078.59,1815.91,1702.36,2230.32,1396.43,1552.5,1570.11,1214.24,1105.11,1461.09,1099.55,383.94,1043.25
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,973.3,1367.95,1106.19,1727.56,987.24,932.97,1433.87,1376.89,753.74,980.25,1334.97,411.57,731.07,950.0,600.43,626.79,766.98,423.29,64.85,424.16
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,4.24,--,--,--,5.2,4.46,--,--,--,3.52,--,--,--,--,--,--,--
Employees Cost,242.33,231.34,227.24,225.71,222.34,230.59,217.91,209.23,197.86,203.87,181.75,201.26,217.02,202.08,178.37,205.05,199.47,169.64,80.48,179.05
Depreciation,39.86,23.35,23.38,22.93,20.27,20.19,19.74,20.37,18.36,18.46,18.39,22.93,17.08,17.3,17.2,17.23,17.66,17.99,6.77,20.19
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1110.89,646.89,381.33,622.02,613.71,487.52,349.29,276.65,564.12,400.47,539.92,706.26,398.93,332.88,365.19,230.32,402.39,434.05,222.47,467.33
"P/L Before Other Inc. , Int., Excpt. Items & Tax",777.24,487.3,618.88,501.19,518.91,156.43,151.95,190.25,277.37,99.31,155.29,54.41,184.88,67.85,53.05,25.72,74.59,54.58,9.37,-47.48
Other Income,286.44,265.27,271.0,376.2,268.61,260.55,232.66,232.45,175.84,169.05,136.14,129.02,120.93,95.6,88.08,273.43,117.0,112.39,97.38,157.73
"P/L Before Int., Excpt. Items & Tax",1063.68,752.57,889.88,877.39,787.52,416.98,384.61,422.7,453.21,268.36,291.43,183.43,305.81,163.45,141.13,299.15,191.59,166.97,106.75,110.25
Interest,1.11,1.09,1.09,1.27,1.29,1.27,1.29,1.96,1.48,1.47,1.46,1.42,1.91,1.91,1.92,2.09,2.09,2.08,2.1,2.22
P/L Before Exceptional Items & Tax,1062.57,751.48,888.79,876.12,786.23,415.71,383.32,420.74,451.73,266.89,289.97,182.01,303.9,161.54,139.21,297.06,189.5,164.89,104.65,108.03
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-13.97,-0.41,-8.11,-26.47,-91.15,-12.32
P/L Before Tax,1062.57,751.48,888.79,876.12,786.23,415.71,383.32,420.74,451.73,266.89,289.97,182.01,303.9,161.54,125.24,296.65,181.39,138.42,13.5,95.71
Tax,294.35,187.73,222.85,221.79,194.69,102.77,96.7,102.74,114.47,66.45,72.95,37.09,86.1,30.54,32.49,66.11,32.65,52.01,-0.41,29.42
P/L After Tax from Ordinary Activities,768.22,563.75,665.94,654.33,591.54,312.94,286.62,318.0,337.26,200.44,217.02,144.92,217.8,131.0,92.75,230.54,148.74,86.41,13.91,66.29
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,768.22,563.75,665.94,654.33,591.54,312.94,286.62,318.0,337.26,200.44,217.02,144.92,217.8,131.0,92.75,230.54,148.74,86.41,13.91,66.29
Equity Share Capital,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69,201.69
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,19.04,27.95,33.02,32.44,29.33,15.52,14.21,15.77,16.72,9.94,10.76,7.19,10.8,6.5,4.6,11.43,7.37,4.28,0.69,3.29
Diluted EPS,19.04,27.95,33.02,32.44,29.33,15.52,14.21,15.77,16.72,9.94,10.76,7.19,10.8,6.5,4.6,11.43,7.37,4.28,--,3.29
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
