Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Sep '19,Jun '19
Net Sales/Income from operations,336.44,347.55,341.9,308.01,287.07,268.88,254.97,243.57,236.75,233.48,231.98,226.41,230.14,226.61,215.73,191.29,189.19,179.57,161.94,143.06,164.2,165.85
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,336.44,347.55,341.9,308.01,287.07,268.88,254.97,243.57,236.75,233.48,231.98,226.41,230.14,226.61,215.73,191.29,189.19,179.57,161.94,143.06,164.2,165.85
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,94.33,95.35,94.0,89.32,84.48,78.55,76.41,74.74,71.7,71.94,73.75,77.49,70.72,70.17,68.87,60.55,59.34,53.35,51.66,52.71,52.56,52.81
Depreciation,19.51,16.23,15.19,14.2,15.33,15.11,14.34,13.62,14.39,13.93,13.42,12.46,14.34,12.39,10.95,9.72,9.66,9.81,9.89,10.03,11.89,10.66
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
