Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16
Net Sales/Income from operations,23765.56,16771.26,16569.7,12509.62,20488.11,15235.33,14755.96,11479.82,19426.57,14379.38,13110.91,9847.15,14289.66,12124.36,11443.96,7538.48,12868.01,9487.01,10045.44,5721.84,10464.46,7854.3,7453.68,6451.16,10247.5,6897.68,6777.55,5001.28,8900.02,5419.99,5389.43,3661.53,7178.4,4534.79
Other Operating Income,345.37,463.9,11879.54,14381.57,7503.99,11650.86,8341.22,11860.4,1928.17,5171.63,9782.62,-3182.4,1544.73,2160.89,9076.8,7222.89,6286.72,11736.97,6455.9,8845.55,-10143.91,3845.57,1275.13,2150.14,3928.45,2468.33,1163.55,1875.55,-839.44,4314.91,2559.77,2839.65,4949.17,-466.71
Total Income From Operations,24110.93,17235.16,28449.24,26891.19,27992.1,26886.19,23097.18,23340.22,21354.74,19551.01,22893.53,6664.75,15834.39,14285.25,20520.76,14761.37,19154.73,21223.98,16501.34,14567.39,320.55,11699.87,8728.81,8601.3,14175.95,9366.01,7941.1,6876.83,8060.58,9734.9,7949.2,6501.18,12127.57,4068.08
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,861.62,830.2,811.75,694.46,726.55,790.1,826.6,896.79,897.29,797.54,690.65,663.5,571.58,510.23,509.66,437.56,531.03,437.35,395.24,311.97,436.68,415.4,430.9,393.98,377.64,339.5,366.14,324.94,398.51,329.99,303.95,259.33,300.25,298.68
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
