Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,773.36,786.56,841.8,831.08,795.21,703.14,719.5,673.83,700.34,625.99,603.75,538.54,496.05,439.14,303.13,264.0,20.46,438.99,186.62,71.72
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49.38,--,--,--
Total Income From Operations,773.36,786.56,841.8,831.08,795.21,703.14,719.5,673.83,700.34,625.99,603.75,538.54,496.05,439.14,303.13,264.0,69.84,438.99,186.62,71.72
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,325.79,342.33,367.72,352.02,345.29,305.0,329.13,286.94,300.61,247.55,279.48,238.27,218.75,190.37,101.19,83.72,-45.09,207.65,58.3,17.25
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,7.3,5.94,3.66,1.72,-2.78,-15.19,-12.08,-6.65,11.65,18.81,-3.69,0.32,-3.33,-14.99,-4.22,-1.35,14.74,-39.75,-6.74,4.87
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,60.3,63.58,61.76,59.69,59.29,56.89,48.18,46.79,42.89,45.43,41.84,40.87,37.66,39.68,17.37,17.36,-3.57,42.35,13.03,10.14
Depreciation,59.76,60.81,56.62,55.48,53.27,51.14,49.94,48.24,45.22,44.14,40.05,37.13,34.61,32.86,16.52,13.35,3.85,21.21,11.14,10.61
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,161.89,158.45,172.94,177.13,168.49,147.06,150.47,160.55,154.97,144.53,135.07,132.2,124.51,108.47,91.54,77.74,74.27,98.37,57.86,23.59
"P/L Before Other Inc. , Int., Excpt. Items & Tax",158.33,155.46,179.11,185.04,171.64,158.24,153.87,137.96,144.99,125.53,111.0,89.75,83.86,82.75,80.74,73.19,25.64,109.16,53.04,5.27
Other Income,50.42,44.98,20.28,25.09,4.58,4.26,26.18,6.59,37.02,2.78,2.6,0.68,45.58,4.97,0.24,0.02,30.0,0.05,46.18,0.5
"P/L Before Int., Excpt. Items & Tax",208.75,200.44,199.39,210.13,176.22,162.5,180.04,144.55,182.01,128.31,113.59,90.43,129.44,87.72,80.99,73.21,55.64,109.21,99.21,5.77
Interest,4.18,5.01,10.17,8.55,7.12,7.03,5.99,5.25,4.78,4.87,4.05,2.66,3.19,3.05,2.21,7.95,7.95,6.92,6.83,7.31
P/L Before Exceptional Items & Tax,204.57,195.43,189.22,201.59,169.1,155.47,174.06,139.3,177.23,123.44,109.55,87.77,126.26,84.67,78.77,65.26,47.68,102.3,92.38,-1.53
Exceptional Items,-2.57,-5.7,-11.01,--,--,--,-5.87,-2.84,-3.37,--,--,--,--,--,--,13.27,-13.91,--,--,--
P/L Before Tax,201.99,189.73,178.21,201.59,169.1,155.47,168.18,136.46,173.86,123.44,109.55,87.77,126.26,84.67,78.77,78.53,33.78,102.3,92.38,-1.53
Tax,50.15,49.15,45.91,46.63,38.51,33.71,37.68,34.83,30.25,27.85,26.29,22.15,1.84,8.56,20.04,20.14,0.65,28.72,9.84,-0.33
P/L After Tax from Ordinary Activities,151.85,140.59,132.3,154.96,130.59,121.76,130.5,101.63,143.62,95.59,83.26,65.62,124.42,76.11,58.73,58.4,33.13,73.58,82.54,-1.21
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,151.85,140.59,132.3,154.96,130.59,121.76,130.5,101.63,143.62,95.59,83.26,65.62,124.42,76.11,58.73,58.4,33.13,73.58,82.54,-1.21
Equity Share Capital,621.72,621.44,621.26,586.46,586.45,586.44,585.42,585.42,585.4,584.35,584.35,584.35,584.35,584.35,583.29,583.29,572.98,583.29,572.98,572.98
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,652.08,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.44,2.26,2.22,2.64,2.23,2.08,2.23,1.74,2.45,1.63,1.42,1.12,2.13,1.3,1.01,1.02,0.58,1.26,1.44,-0.02
Diluted EPS,2.44,2.26,2.22,2.64,2.23,2.08,2.23,1.73,2.45,1.63,1.42,1.12,2.13,1.3,1.01,1.02,--,1.28,1.44,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
