Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,619.47,617.31,615.37,613.95,612.75,564.34,514.33,513.31,479.01,476.57,474.1,469.84,467.95,413.2,410.55
Total Share Capital,619.47,617.31,615.37,613.95,612.75,564.34,514.33,513.31,479.01,476.57,474.1,469.84,467.95,413.2,410.55
Reserves and Surplus,177997.47,149617.69,124377.87,114411.51,100990.26,84383.51,66161.97,62931.95,55283.53,52688.34,44202.41,37750.64,32639.91,22395.34,18588.28
Total Reserves and Surplus,177997.47,149617.69,124377.87,114411.51,100990.26,84383.51,66161.97,62931.95,55283.53,52688.34,44202.41,37750.64,32639.91,22395.34,18588.28
Employees Stock Options,1108.18,0.0,423.41,148.6,0.0,0.0,,,,,,,,0.0,0.0
Total ShareHolders Funds,179725.12,150235.0,125416.66,115174.06,101603.01,84947.85,66676.3,63445.26,55762.54,53164.91,44676.52,38220.49,33107.86,22808.54,18998.83
Deposits,1172952.02,1068641.39,946945.21,821720.91,707306.08,640104.94,548471.34,453622.72,414378.79,357967.56,322441.94,280944.56,252613.59,220104.3,189237.8
Borrowings,184146.52,196811.75,186300.04,185133.86,142873.16,147954.13,152775.78,148016.14,105030.87,99226.38,79758.27,50290.94,43951.1,34071.67,26267.88
Other Liabilities and Provisions,73106.22,61520.46,58663.63,53149.28,44336.17,42157.9,33073.11,26245.45,26295.47,15108.77,15055.67,13788.89,10888.11,8643.28,8208.86
Total Capital and Liabilities,1609929.88,1477208.6,1317325.53,1175178.11,996118.42,915164.82,800996.53,691329.58,601467.67,525467.62,461932.39,383244.89,340560.66,285627.79,242713.37
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,73638.44,86077.49,66117.76,94034.51,51808.56,84959.24,35099.03,35481.06,30857.94,22361.15,19818.84,17041.32,14792.09,10702.92,13886.16
Balances with Banks Money at Call and Short Notice,26093.66,28376.9,40293.05,16952.62,9921.26,12309.04,32105.6,7973.83,19398.24,10964.29,16280.19,11197.38,5642.87,3230.99,7522.49
Investments,396141.79,331527.25,288814.83,275597.2,226119.62,156734.32,174969.28,153876.08,128793.37,122006.2,132342.83,113548.43,113737.54,93192.09,71991.62
Advances,1040811.32,965068.38,845302.84,707695.95,623720.19,571424.16,494797.97,439650.3,373069.35,338773.72,281083.03,230066.76,196965.96,169759.54,142407.83
Fixed Assets,6291.7,5684.58,4733.85,4572.35,4245.03,4312.9,4036.64,3971.68,3746.89,3523.17,2514.31,2410.21,2355.64,2259.33,2273.15
Other Assets,66952.97,60474.0,72063.2,76325.48,80303.76,85425.16,59988.01,50376.62,45601.87,27839.08,9893.19,8980.79,7066.56,6482.93,4632.12
Total Assets,1609929.88,1477208.6,1317325.53,1175178.11,996118.42,915164.82,800996.53,691329.58,601467.67,525467.62,461932.39,383244.89,340560.66,285627.79,242713.37
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,4910.0,4758.0,4594.0,0.0,0.0,3703.0,3304.0,2904.0,2589.0,2402.0,1947.0,1622.0,1390.0
Number of Employees,0.0,0.0,91898.0,85815.0,78307.0,0.0,0.0,59614.0,56617.0,50135.0,42230.0,42420.0,37901.0,31738.0,26435.0
Capital Adequacy Ratios (%),17.07,16.63,17.64,18.54,19.12,18.0,16.0,17.0,15.0,15.29,15.0,16.07,17.0,13.66,12.65
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,14.57,16.34,16.47,0.0,0.0,13.0,12.0,12.51,12.0,12.62,12.23,9.45,9.41
Tier 2 (%),0.0,0.0,3.07,2.2,2.65,0.0,0.0,4.0,3.0,2.78,3.0,3.45,4.77,4.21,3.24
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,14490.11,15127.12,36467.35,21822.32,25314.84,30233.82,29789.44,34248.64,21280.48,6087.51,4110.19,3146.41,2393.42,1806.3,1599.42
Gross NPA (%),1.28,1.43,2.02,2.82,4.0,5.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
Net NPA,3685.45,3247.47,3558.92,5512.16,6993.52,9360.41,11275.6,16592.0,8626.6,2522.14,1316.71,1024.62,704.13,1186.74,1186.74
Net NPA (%),0.33,0.31,0.39,0.73,1.05,2.0,2.0,4.0,2.0,0.74,0.0,0.44,0.36,0.25,0.26
Net NPA To Advances (%),1.74,1.83,0.39,0.73,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,68176.55,66947.44,50375.27,0.0,0.0,49565.6,81055.36,80764.78,80592.46,36601.58,27894.88,34634.6,32473.11
Contingent Liabilities,0.0,0.0,1441248.94,1292104.57,80303.76,0.0,0.0,735297.7,669625.84,668725.82,559591.13,611446.37,576010.77,514871.98,477864.55
Preference Share Capital,,,,,,,,,,,,,,0.0,0.0
Revaluation Reserve,,,,,,,,,,,,,,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,,,0.0,0.0
Equity Share Application Money,,,,,,,,,,,,,,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,,,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,,,0.0,0.0
