Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,120.04,1129.16,125.55,1248.64,101.24,1663.7,98.33,77.01,90.54,1623.64,83.96,78.65,84.71,1522.27,90.83,80.98,92.01,110.05,84.43,1299.6,77.65,713.76,72.78,82.59,109.19,697.5,104.35,219.92,316.11,781.2,152.45,178.82,274.27,310.46,116.94,583.96,73.36,575.54,161.65,81.37,77.42,645.93,167.5,61.96,87.06,505.07,140.01,80.03,87.23,505.57
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,120.04,1129.16,125.55,1248.64,101.24,1663.7,98.33,77.01,90.54,1623.64,83.96,78.65,84.71,1522.27,90.83,80.98,92.01,110.05,84.43,1299.6,77.65,713.76,72.78,82.59,109.19,697.5,104.35,219.92,316.11,781.2,152.45,178.82,274.27,310.46,116.94,583.96,73.36,575.54,161.65,81.37,77.42,645.93,167.5,61.96,87.06,505.07,140.01,80.03,87.23,505.57
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,11.04,11.21,11.05,11.91,10.3,10.74,10.79,10.53,10.41,10.49,10.57,7.47,9.16,9.46,9.96,8.85,9.04,9.07,9.21,9.38,8.9,8.96,8.66,7.51,6.89,6.84,6.89,6.23,5.98,5.98,5.99,5.21,4.52,4.53,4.54,3.71,3.59,3.59,3.54,1.71,1.59,1.88,1.28,1.37,1.24,1.26,1.27,0.62,0.69,0.66
Depreciation,7.96,7.94,7.95,7.96,7.95,7.94,7.94,7.97,7.96,7.96,7.95,7.97,7.94,7.91,7.92,7.95,7.91,7.91,7.91,8.06,7.82,7.81,7.82,0.88,0.87,1.1,1.25,1.32,1.3,1.3,1.31,1.33,1.3,1.31,1.32,1.34,1.32,1.32,1.32,1.33,1.29,1.28,1.26,1.4,1.41,0.91,0.85,0.85,0.86,0.32
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,17.92,32.79,30.04,18.74,20.56,16.86,21.02,13.85,22.3,19.7,21.53,17.42,16.18,12.29,15.21,17.62,12.47,9.29,10.2,24.02,17.49,14.78,21.53,29.4,8.46,11.16,7.38,11.9,11.96,8.52,8.33,12.97,86.76,87.83,4.32,6.45,5.61,4.48,6.45,5.24,20.04,2.72,2.34,5.16,1.25,6.75,2.83,2.1,2.13,3.79
"P/L Before Other Inc. , Int., Excpt. Items & Tax",83.12,1077.22,76.51,1210.03,62.43,1628.16,58.58,44.66,49.87,1585.49,43.91,45.79,51.43,1492.61,57.74,46.56,62.59,83.78,57.11,1258.14,43.44,682.21,34.77,44.8,92.97,678.4,88.83,200.47,296.87,765.4,136.82,159.31,181.69,216.79,106.76,572.46,62.84,566.15,150.34,73.09,54.5,640.05,162.62,54.03,83.16,496.15,135.06,76.46,83.55,500.8
Other Income,31.2,13.51,13.5,9.59,23.75,15.22,15.22,19.34,16.39,13.34,12.79,16.04,14.5,13.26,12.9,19.96,13.31,15.29,15.11,10.53,10.5,10.54,10.5,1.17,1.17,1.14,1.16,1.07,1.03,1.6,1.04,1.05,0.95,4.13,1.81,3.12,0.93,1.06,1.66,0.76,--,30.93,1.8,31.8,10.14,3.29,0.14,0.22,0.21,0.86
"P/L Before Int., Excpt. Items & Tax",114.32,1090.73,90.01,1219.62,86.18,1643.38,73.8,64.0,66.26,1598.83,56.7,61.83,65.93,1505.87,70.64,66.52,75.9,99.07,72.22,1268.67,53.94,692.75,45.27,45.97,94.14,679.54,89.99,201.54,297.9,767.0,137.86,160.36,182.64,220.92,108.57,575.58,63.77,567.21,152.0,73.85,54.5,670.98,164.42,85.83,93.3,499.44,135.2,76.68,83.76,501.66
Interest,0.37,0.37,0.37,0.54,0.55,0.53,0.54,4.92,0.69,0.67,0.66,0.8,0.78,0.79,0.78,0.94,0.94,0.97,0.95,4.8,2.58,2.58,2.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.01,--,--
P/L Before Exceptional Items & Tax,113.95,1090.36,89.64,1219.08,85.63,1642.85,73.26,59.08,65.57,1598.16,56.04,61.03,65.15,1505.08,69.86,65.58,74.96,98.1,71.27,1263.87,51.36,690.17,42.69,45.97,94.14,679.54,89.99,201.54,297.9,767.0,137.86,160.36,182.64,220.92,108.57,575.58,63.77,567.21,152.0,73.85,54.5,670.98,164.42,85.83,93.3,499.44,135.2,76.67,83.76,501.66
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,113.95,1090.36,89.64,1219.08,85.63,1642.85,73.26,59.08,65.57,1598.16,56.04,61.03,65.15,1505.08,69.86,65.58,74.96,98.1,71.27,1263.87,51.36,690.17,42.69,45.97,94.14,679.54,89.99,201.54,297.9,767.0,137.86,160.36,182.64,220.92,108.57,575.58,63.77,567.21,152.0,73.85,54.5,670.98,164.42,85.83,93.3,499.44,135.2,76.67,83.76,501.66
Tax,29.96,39.21,23.67,14.71,20.07,71.58,18.0,13.95,16.33,24.16,12.83,14.9,16.03,18.67,21.0,31.83,24.14,27.21,28.14,157.68,20.1,23.59,19.85,21.98,33.52,33.48,32.47,-0.36,29.37,34.84,26.9,30.32,58.67,22.48,22.84,19.65,18.5,20.98,28.92,14.09,21.54,25.82,16.81,17.61,27.97,15.32,24.24,20.77,14.23,16.02
P/L After Tax from Ordinary Activities,83.99,1051.15,65.97,1204.37,65.56,1571.27,55.26,45.13,49.24,1574.0,43.21,46.13,49.12,1486.41,48.86,33.75,50.82,70.89,43.13,1106.19,31.26,666.58,22.84,23.99,60.62,646.06,57.52,201.9,268.53,732.16,110.96,130.04,123.97,198.44,85.73,555.93,45.27,546.23,123.08,59.76,32.96,645.16,147.61,68.22,65.33,484.12,110.96,55.9,69.53,485.64
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-18.0,--,-0.51,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.72,--,--,--,--,--,--
Net Profit/(Loss) For the Period,83.99,1051.15,65.97,1204.37,65.56,1571.27,55.26,45.13,49.24,1574.0,43.21,46.13,49.12,1486.41,48.86,33.75,50.82,70.89,43.13,1106.19,31.26,666.58,22.84,23.99,60.62,646.06,57.52,201.9,268.53,732.16,110.96,130.04,123.97,198.44,85.73,555.93,45.27,546.23,123.08,41.76,32.96,644.65,147.61,72.94,65.33,484.12,110.96,55.9,69.53,485.64
Equity Share Capital,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29,111.29
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.5,94.4,5.9,108.2,5.9,141.2,5.0,4.1,4.4,141.4,3.9,4.1,4.4,133.6,4.4,3.0,4.6,6.4,3.9,99.4,2.8,59.9,2.1,2.2,5.4,58.1,5.2,18.1,24.1,65.8,10.0,11.7,11.1,17.8,7.7,50.0,4.1,49.1,11.1,3.8,3.0,57.9,13.3,6.6,5.9,43.5,10.0,5.0,6.2,43.6
Diluted EPS,7.5,94.4,5.9,108.2,5.9,141.2,5.0,4.1,4.4,141.4,3.9,4.1,4.4,133.6,4.4,3.0,4.6,6.4,3.9,99.4,2.8,59.9,2.1,2.2,5.4,58.1,5.2,18.1,24.1,65.8,10.0,11.7,11.1,17.8,7.7,50.0,4.1,49.1,11.1,3.8,3.0,57.9,13.3,6.6,5.9,43.5,10.0,5.0,6.2,43.6
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.5,6.54,6.54,6.57,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58.4,58.81,58.81,59.03,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.63,4.58,4.58,4.56,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.6,41.19,41.19,40.97,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
