Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18
Net Sales/Income from operations,649.58,661.2,684.72,568.44,546.22,522.02,503.41,444.96,424.13,379.94,357.57,354.79,331.92,305.19,290.5,253.39,237.27,198.25,190.68,178.06,217.78,229.28,299.93,208.26,230.3,--,--,--,--
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,649.58,661.2,684.72,568.44,546.22,522.02,503.41,444.96,424.13,379.94,357.57,354.79,331.92,305.19,290.5,253.39,237.27,198.25,190.68,178.06,217.78,229.28,299.93,208.26,230.3,--,--,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,0.2,0.54,--,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,0.08,0.02,0.23,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,390.43,389.87,393.11,361.45,343.68,330.61,299.43,267.4,242.47,229.52,216.59,198.75,196.6,178.7,177.75,151.76,136.24,131.91,109.02,109.35,143.29,144.54,141.43,103.24,104.07,--,--,--,--
Depreciation,32.46,32.74,30.53,28.79,28.39,26.15,25.44,22.87,22.31,23.97,23.01,21.24,20.82,21.06,20.08,19.61,21.01,22.79,23.94,22.78,21.8,21.75,21.28,18.87,15.77,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,59.14,103.18,94.54,81.9,102.02,72.32,69.81,53.64,62.48,58.63,35.72,47.15,59.24,55.97,38.76,30.48,37.08,24.88,32.66,26.82,31.07,27.74,45.22,47.25,48.08,0.22,0.0,0.01,0.27
"P/L Before Other Inc. , Int., Excpt. Items & Tax",167.35,134.87,166.53,96.24,72.13,92.95,108.74,101.04,96.87,67.82,82.25,87.66,55.26,49.45,53.9,51.54,42.93,18.67,25.06,19.11,21.63,35.23,91.92,38.88,62.15,-0.22,0.0,-0.01,-0.27
Other Income,8.47,13.78,53.81,6.32,47.81,21.65,5.95,2.34,4.12,21.54,8.62,11.36,41.42,10.8,11.79,13.27,5.92,10.46,2.67,--,15.01,9.9,3.06,0.52,35.77,0.0,--,--,--
"P/L Before Int., Excpt. Items & Tax",175.83,148.65,220.34,102.57,119.93,114.6,114.68,103.38,100.98,89.36,90.87,99.02,96.68,60.26,65.68,64.81,48.85,29.13,27.73,19.11,36.64,45.13,94.97,39.4,97.92,-0.22,0.0,-0.01,-0.27
Interest,2.75,2.22,2.15,4.15,2.56,4.47,3.71,3.81,3.11,3.75,3.85,3.96,5.42,2.1,1.7,1.64,1.78,1.62,2.13,3.07,4.03,2.89,4.77,3.42,3.99,2.13,--,--,--
P/L Before Exceptional Items & Tax,173.08,146.43,218.19,98.41,117.38,110.13,110.97,99.57,97.87,85.61,87.02,95.06,91.26,58.15,63.99,63.17,47.07,27.52,25.6,16.03,32.61,42.24,90.21,35.98,93.92,-2.35,0.0,-0.01,-0.27
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.2,--,-3.66,--,--,--,-10.14,--,--,--,--
P/L Before Tax,173.08,146.43,218.19,98.41,117.38,110.13,110.97,99.57,97.87,85.61,87.02,95.06,91.26,58.15,63.99,63.17,47.07,27.52,28.8,16.03,28.95,42.24,90.21,35.98,83.78,-2.35,0.0,-0.01,-0.27
Tax,40.97,34.21,55.97,23.13,35.67,26.02,26.62,22.91,23.67,19.15,21.2,21.37,5.04,11.03,11.55,10.83,5.58,2.6,1.9,1.45,2.1,7.87,4.37,4.59,6.98,--,--,--,--
P/L After Tax from Ordinary Activities,132.11,112.22,162.22,75.29,81.71,84.11,84.35,76.66,74.21,66.45,65.82,73.68,86.23,47.12,52.43,52.35,41.49,24.92,26.9,14.58,26.85,34.38,85.84,31.39,76.81,-2.35,0.0,-0.01,-0.27
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,132.11,112.22,162.22,75.29,81.71,84.11,84.35,76.66,74.21,66.45,65.82,73.68,86.23,47.12,52.43,52.35,41.49,24.92,26.9,14.58,26.85,34.38,85.84,31.39,76.81,-2.35,0.0,-0.01,-0.27
Equity Share Capital,271.7,271.6,271.49,271.35,271.22,271.13,271.01,270.6,270.35,270.16,269.95,270.1,270.02,269.86,269.62,269.15,269.04,268.99,268.96,268.9,268.88,268.74,268.5,268.5,268.5,0.1,0.1,0.1,0.1
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.86,4.13,5.98,2.78,3.01,3.1,3.11,2.83,2.75,2.46,2.44,2.73,3.19,1.75,1.95,1.95,1.54,0.93,1.0,0.54,1.0,1.28,3.2,1.17,2.86,-234.9,0.1,-1.2,-26.6
Diluted EPS,4.83,4.1,5.93,2.76,2.99,3.08,3.09,2.81,2.72,2.43,2.41,2.7,3.16,1.73,1.92,1.92,1.53,0.92,1.0,0.54,1.0,1.28,3.18,1.16,2.85,-234.9,0.1,-1.2,-26.6
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
