Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Intangible Assets Under Development,Preference Share Capital,Equity Share Application Money,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,4.91,4.91,25.81,26.71,31.63,23.73,0.55,0.0,0.0,24.28,4.02,23.71,3.03,1.65,32.4,88.31,22.33,0.01,0.45,22.79,5.01,0.09,0.0,0.07,27.96,0.0,21.22,19.4,13.45,6.27,0.0,60.35,88.31,1.8,46.6,0.0,0.0,0.0,0.07,0.3,4.41,4.77,3.06,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,10.28,10.28,39.96,40.84,51.11,17.71,1.26,0.0,0.0,18.96,15.33,23.23,4.3,2.32,45.18,115.26,34.94,0.02,0.27,35.22,2.19,0.0,0.0,0.09,37.5,0.0,35.96,23.69,3.56,14.55,0.0,77.76,115.26,1.52,52.45,0.0,0.0,0.0,0.17,1.78,4.41,3.18,0.06,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.28,10.28,82.26,83.12,93.39,48.14,4.62,0.0,0.0,52.76,38.15,51.44,7.64,2.92,100.14,255.82,80.45,0.07,1.6,82.12,32.15,0.16,0.0,0.07,114.5,0.0,67.7,46.87,7.86,18.9,0.0,141.32,255.82,1.79,77.47,0.0,0.0,0.0,0.31,6.67,4.41,2.71,31.58,0.86,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,19.8,19.8,97.06,97.91,117.71,38.53,3.51,0.0,0.0,42.04,71.33,47.92,10.51,0.45,130.2,289.95,75.56,0.1,1.2,76.86,36.38,0.2,0.0,0.11,113.55,0.0,74.14,61.0,12.04,29.23,0.0,176.41,289.95,2.99,80.08,0.0,0.0,0.73,1.07,16.53,4.41,1.6,34.61,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,19.8,19.8,138.62,140.54,160.34,30.61,4.3,0.0,0.0,34.91,104.71,81.97,17.08,12.06,215.82,414.02,89.56,1.71,1.08,92.35,32.84,0.18,0.0,0.19,125.56,0.0,127.7,106.44,14.93,35.33,4.06,288.46,414.02,10.16,188.54,0.0,0.0,1.87,0.5,22.69,4.41,0.0,32.63,1.92,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,22.25,22.75,144.14,145.99,168.74,23.47,3.3,0.0,0.0,26.77,174.47,39.64,14.3,8.1,236.51,432.03,91.2,2.0,19.18,112.37,41.99,3.24,0.0,0.0,157.6,0.0,120.09,83.96,18.63,38.84,12.91,274.43,432.03,17.2,217.54,0.0,0.0,4.51,1.58,21.77,4.41,0.16,41.9,1.85,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,22.25,22.75,204.23,206.02,228.78,34.69,3.2,0.0,0.0,37.89,161.57,76.37,22.08,7.89,267.91,534.58,108.58,2.53,46.52,157.63,50.45,1.5,0.0,0.0,209.59,0.0,149.43,105.91,15.56,50.55,3.54,324.99,534.58,24.57,210.62,0.0,0.0,6.19,3.58,24.11,4.41,0.34,50.36,1.79,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,22.25,22.75,253.9,255.63,278.88,12.83,0.0,0.0,0.84,13.66,192.6,93.27,24.52,26.66,337.06,629.1,165.41,0.48,9.51,175.4,55.62,0.21,38.62,4.33,274.18,0.0,171.17,120.81,10.93,38.13,13.87,354.92,629.1,54.56,251.34,0.99,4.5,1.6,4.52,30.19,4.41,5.06,50.42,1.73,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,22.25,22.75,288.11,289.78,313.03,64.35,0.0,0.0,0.0,64.35,272.74,86.22,44.43,1.52,404.91,781.78,173.79,0.59,36.28,210.67,73.29,0.4,34.9,3.52,322.78,0.0,196.66,166.74,42.06,42.27,11.28,459.0,781.78,68.07,319.25,0.63,22.43,2.6,3.19,34.13,4.41,3.72,68.09,1.67,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,22.25,22.25,225.79,227.42,249.67,155.66,0.0,1.16,1.81,158.64,289.26,80.81,51.04,8.79,429.91,838.22,184.22,1.44,36.01,221.68,15.62,0.19,58.48,2.05,298.01,0.0,217.67,181.62,79.74,47.5,13.67,540.2,838.22,98.23,433.32,2.99,0.0,11.19,10.83,51.21,4.41,1.86,10.42,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
