Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13
Net Sales/Income from operations,927.51,675.64,607.29,470.27,494.75,330.13,288.62,153.21,176.62,80.73,172.77,70.06,94.85,231.03,122.3,151.57,157.64,135.12,59.73,132.99,198.37,55.44,140.87,205.69,351.04,399.71,389.04,80.97,53.38,33.56,44.52,657.87,1105.01,720.1,374.12,1523.91,818.19,942.91,587.34,855.46,801.17,518.44,302.12,517.49,275.43,312.72,273.47
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.24,2.24,2.64,1.15,2.04,2.17,2.06,1.62,2.11,2.14,1.24,12.9,0.45,3.89,0.51
Total Income From Operations,927.51,675.64,607.29,470.27,494.75,330.13,288.62,153.21,176.62,80.73,172.77,70.06,94.85,231.03,122.3,151.57,157.64,135.12,59.73,132.99,198.37,55.44,140.87,205.69,351.04,399.71,389.04,80.97,53.38,33.56,44.52,657.87,1106.25,722.34,376.76,1525.06,820.23,945.08,589.4,857.08,803.28,520.58,303.36,530.39,275.88,316.61,273.98
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,556.34,404.68,344.43,335.57,283.78,235.73,190.81,116.71,138.26,105.91,152.94,83.53,98.23,125.66,83.57,88.33,133.33,39.24,20.96,38.94,110.67,64.35,123.32,153.79,249.72,265.24,250.6,14.77,13.67,4.44,15.8,366.77,789.01,467.01,296.88,1077.0,549.56,679.98,408.26,649.96,579.88,373.11,212.29,403.91,229.91,214.15,202.86
Purchase of Traded Goods,81.62,17.2,15.23,8.78,42.64,7.19,25.4,5.9,--,6.36,--,--,--,98.51,27.52,15.14,2.67,79.28,43.33,87.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-5.38,6.66,63.35,-44.34,8.8,-25.34,25.75,9.46,23.19,-41.88,20.94,-21.51,-18.68,-2.56,-8.35,20.47,5.43,8.13,-2.94,-16.91,28.8,-16.21,-13.97,14.5,-0.43,-0.38,4.44,-4.28,19.58,0.37,1.53,-7.04,13.89,-10.96,-41.02,-12.26,-4.94,1.2,7.66,-24.65,10.16,2.76,9.63,19.65,-19.12,9.76,-18.41
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.82,0.57,--,--,0.82,0.55
Employees Cost,30.67,28.51,19.82,20.05,17.55,15.82,15.5,15.02,14.68,13.06,13.49,12.1,13.16,14.47,15.02,14.04,18.92,18.37,16.59,15.78,16.65,16.43,16.28,18.94,15.23,14.84,14.14,14.73,15.36,16.61,17.36,18.36,19.03,21.75,20.06,19.17,17.68,13.96,13.3,10.92,10.48,9.39,8.59,7.29,7.5,7.41,7.12
Depreciation,13.62,12.46,11.8,11.42,10.47,10.52,10.36,11.56,10.3,9.48,9.09,9.47,9.66,9.69,9.64,9.62,9.79,9.87,9.64,9.98,10.25,10.78,9.65,9.67,9.48,9.52,9.47,7.45,9.42,9.55,9.21,8.92,9.46,8.54,7.53,8.1,7.44,7.2,5.83,5.2,5.14,4.42,3.93,2.88,2.93,2.88,2.62
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,87.82,120.33,66.01,91.03,91.82,85.25,32.45,48.27,198.55,33.64,28.63,208.76,31.01,24.31,25.38,112.77,23.63,34.92,20.42,204.98,39.06,15.82,28.43,40.19,40.5,85.11,65.42,80.45,33.49,48.5,29.98,149.94,104.84,161.88,62.18,179.25,81.99,88.76,64.22,34.07,49.81,44.3,21.46,47.3,22.33,34.45,34.85
"P/L Before Other Inc. , Int., Excpt. Items & Tax",162.82,85.8,86.65,47.76,39.69,0.96,-11.65,-53.71,-208.36,-45.84,-52.32,-222.28,-38.54,-39.05,-30.48,-108.8,-36.13,-54.69,-48.27,-207.56,-7.06,-35.73,-22.84,-31.4,36.54,25.38,44.97,-32.15,-38.14,-45.91,-29.36,120.92,170.02,74.12,31.13,253.8,168.5,153.98,90.13,181.58,147.81,85.78,46.89,49.36,32.33,47.14,44.39
Other Income,16.87,12.42,21.4,46.31,3.9,4.04,2.86,8.76,240.65,5.2,3.86,31.69,32.78,7.19,18.75,65.31,10.84,17.86,18.75,13.16,27.16,19.95,16.33,12.31,9.56,11.22,5.67,1.74,4.01,18.47,20.72,15.99,27.51,24.34,33.85,26.96,24.59,30.56,21.69,11.42,10.02,12.4,7.12,5.84,4.47,4.5,4.78
"P/L Before Int., Excpt. Items & Tax",179.69,98.22,108.05,94.07,43.59,5.0,-8.79,-44.95,32.29,-40.64,-48.46,-190.59,-5.76,-31.86,-11.73,-43.49,-25.29,-36.83,-29.52,-194.4,20.1,-15.78,-6.51,-19.09,46.1,36.6,50.64,-30.41,-34.13,-27.44,-8.64,136.91,197.53,98.46,64.98,280.76,193.09,184.54,111.82,193.0,157.83,98.18,54.01,55.2,36.8,51.64,49.17
Interest,31.62,28.3,37.86,31.93,35.52,40.99,40.57,43.09,58.33,59.71,52.31,52.7,43.19,45.89,41.37,38.63,48.1,41.58,43.25,65.63,27.07,30.48,29.09,28.78,29.69,25.17,28.69,32.3,30.98,37.67,38.07,40.25,39.78,31.11,38.8,30.97,19.87,27.87,22.32,15.96,16.01,14.74,15.83,8.14,12.81,14.29,11.08
P/L Before Exceptional Items & Tax,148.07,69.92,70.19,62.14,8.07,-35.99,-49.36,-88.04,-26.04,-100.35,-100.77,-243.3,-48.95,-77.75,-53.1,-82.12,-73.39,-78.41,-72.77,-260.03,-6.97,-46.26,-35.6,-47.87,16.41,11.43,21.95,-62.71,-65.11,-65.11,-46.71,96.66,157.75,67.35,26.18,249.79,173.22,156.67,89.5,177.04,141.82,83.44,38.18,47.06,23.99,37.35,38.09
Exceptional Items,-13.46,--,--,-164.31,-14.92,-18.0,-18.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,134.61,69.92,70.19,-102.17,-6.85,-53.99,-67.36,-88.04,-26.04,-100.35,-100.77,-243.3,-48.95,-77.75,-53.1,-82.12,-73.39,-78.41,-72.77,-260.03,-6.97,-46.26,-35.6,-47.87,16.41,11.43,21.95,-62.71,-65.11,-65.11,-46.71,96.66,157.75,67.35,26.18,249.79,173.22,156.67,89.5,177.04,141.82,83.44,38.18,47.06,23.99,37.35,38.09
Tax,75.37,--,--,--,--,--,--,--,--,--,--,-86.34,-17.4,-27.15,-18.54,-28.74,-25.61,-31.33,-25.21,-90.42,-2.44,-16.37,-12.55,-16.84,5.63,4.05,7.84,-22.48,-21.84,-22.31,-15.83,27.9,41.19,14.45,8.07,70.51,48.25,43.8,25.35,42.37,36.0,22.27,8.26,0.36,0.91,0.27,0.08
P/L After Tax from Ordinary Activities,59.24,69.92,70.19,-102.17,-6.85,-53.99,-67.36,-88.04,-26.04,-100.35,-100.77,-156.95,-31.55,-50.6,-34.56,-53.38,-47.78,-47.08,-47.56,-169.61,-4.53,-29.89,-23.05,-31.03,10.78,7.38,14.11,-40.23,-43.27,-42.8,-30.88,68.76,116.56,52.9,18.11,179.28,124.97,112.87,64.15,134.67,105.82,61.17,29.92,46.7,23.08,37.08,38.01
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.88,-0.83,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,59.24,69.92,70.19,-102.17,-6.85,-53.99,-67.36,-88.04,-26.04,-100.35,-100.77,-156.95,-31.55,-50.6,-34.56,-53.38,-47.78,-47.08,-47.56,-169.61,-4.53,-29.89,-23.05,-31.03,10.78,7.38,14.11,-40.23,-43.27,-42.8,-30.88,68.76,116.56,52.9,18.11,179.28,124.97,112.87,64.15,134.67,105.82,61.17,29.92,47.58,22.25,37.08,38.01
Equity Share Capital,1303.79,1303.79,1303.79,325.95,325.95,325.95,325.95,325.95,277.28,277.28,277.28,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,221.92,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,0.45,0.54,2.15,-3.13,-0.21,-1.66,-2.07,-2.7,-0.97,-3.73,-3.75,-7.07,-1.42,-2.28,-1.56,-2.41,-2.15,-2.12,-2.14,-7.64,-0.2,-1.35,-1.04,-1.4,0.49,0.33,0.64,-1.81,-1.95,-1.93,-1.39,3.1,5.25,2.38,0.82,8.08,5.63,5.09,2.89,6.73,5.29,3.06,1.5,2.38,1.11,1.85,1.9
Diluted EPS,0.45,0.54,2.15,-3.13,-0.21,-1.66,-2.07,-2.7,-0.97,-3.73,-3.75,-7.07,-1.42,-2.28,-1.56,-2.41,-2.15,-2.12,-2.14,-7.64,-0.2,-1.35,-1.04,-1.4,0.49,0.33,0.64,-1.81,-1.95,-1.93,-1.39,3.1,5.25,2.38,0.82,8.08,5.63,5.09,2.89,6.73,5.29,3.06,1.5,2.38,1.11,1.85,1.9
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.19,3.19,3.19,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.38,14.38,14.38,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85.62,85.62,85.62,100.0,100.0,100.0,100.0,100.0,100.0,100.0
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
