Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Short Term Borrowings
2010-03-31,11.27,11.27,429.33,429.33,440.59,0.0,0.0,4.41,133.97,23.88,13.29,171.14,616.14,134.23,7.06,39.72,181.02,0.0,12.67,0.0,0.0,193.69,123.11,142.48,105.58,51.29,0.0,422.45,616.14,28.97,20.93,14.57,12.85,0.0,0.0,417.04,0.0,0.0,15.74,4.41,0.0
2011-03-31,11.27,11.27,528.13,528.13,539.4,0.0,10.47,20.43,120.93,69.97,0.32,191.22,751.05,161.16,4.16,94.2,259.52,0.0,6.4,23.68,0.0,289.6,158.93,196.75,50.68,55.09,0.0,461.45,751.05,62.12,52.55,28.22,14.62,0.0,9.96,180.44,0.53,266.79,24.46,0.0,0.0
2012-03-31,11.27,11.27,592.91,592.91,604.17,0.0,11.07,20.27,145.08,90.26,0.38,296.92,921.35,283.85,6.02,20.8,310.67,0.0,4.4,40.88,0.79,356.75,213.72,233.11,53.89,63.89,0.0,564.61,921.35,62.97,61.35,22.1,21.54,0.0,9.2,248.03,0.69,370.73,0.69,0.0,61.19
2013-03-31,11.27,11.27,645.17,645.17,656.44,0.0,12.86,20.56,127.97,96.96,0.41,385.74,1062.73,293.98,5.57,120.85,420.4,0.0,9.06,22.27,4.1,455.84,225.21,266.37,59.58,55.73,0.0,606.9,1062.73,70.04,67.75,23.2,22.15,0.0,7.69,292.7,0.68,396.26,32.04,0.0,160.4
2014-03-31,11.27,11.27,688.16,688.16,699.43,0.0,10.96,17.71,129.43,129.95,2.76,370.6,1087.74,412.88,5.4,7.02,425.3,0.0,12.89,16.08,6.07,460.33,258.24,265.18,59.7,44.29,0.0,627.41,1087.74,161.97,78.52,34.31,31.12,0.0,6.74,282.66,0.61,457.48,11.68,0.0,108.45
2015-03-31,11.27,11.27,796.45,796.45,807.71,0.0,18.54,26.08,156.68,128.28,9.34,294.3,1128.1,383.23,4.52,1.3,389.05,0.0,9.66,33.09,1.34,433.14,295.57,249.12,113.91,32.52,3.85,694.96,1128.1,184.1,85.05,39.26,31.02,0.0,7.54,278.57,0.34,453.34,3.64,0.0,0.0
2016-03-31,11.27,11.27,997.38,997.38,1008.64,0.0,23.18,28.9,215.26,141.88,4.41,361.55,1399.1,344.88,4.3,1.21,350.4,0.0,15.4,48.85,1.32,415.97,290.51,282.74,370.88,30.33,8.68,983.13,1399.1,113.99,89.41,47.63,28.82,0.0,5.72,271.98,0.32,498.54,2.85,0.0,0.0
2017-03-31,11.27,11.27,1215.13,1215.13,1226.39,0.0,21.91,26.53,399.84,221.44,57.33,678.61,1931.53,314.67,0.49,2.43,317.59,0.0,7.8,13.23,65.73,404.35,331.78,407.92,744.16,0.73,42.6,1527.18,1931.53,322.63,960.92,74.38,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.27,11.27,1525.4,1525.4,1536.67,0.0,21.67,26.55,320.8,189.13,62.21,572.13,2135.35,284.91,0.31,5.75,290.98,0.0,11.35,12.04,79.11,393.48,347.29,529.64,789.31,1.96,73.68,1741.87,2135.35,386.46,1013.88,77.32,0.0,0.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,11.27,11.27,1848.27,1848.27,1859.53,0.0,26.45,33.91,323.35,210.41,66.49,600.25,2493.68,269.27,0.21,10.19,279.67,584.7,23.47,9.4,106.48,1003.72,379.18,546.14,470.39,4.58,89.66,1489.96,2493.68,445.84,1177.75,103.75,0.0,584.7,7.45,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,11.27,11.27,2063.5,2063.5,2074.76,17.49,28.88,46.37,290.44,181.87,59.8,532.11,2653.24,286.3,0.35,6.64,293.28,504.8,16.66,12.57,138.29,965.6,411.04,506.59,665.77,1.36,102.89,1687.65,2653.24,488.3,1191.51,82.31,0.0,504.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,11.27,11.27,2210.24,2210.24,2221.51,10.31,38.32,48.63,387.37,211.67,47.45,646.49,2916.63,247.89,0.34,23.5,271.73,504.8,25.61,8.4,165.55,976.09,430.27,460.51,937.15,6.73,105.87,1940.54,2916.63,482.48,1170.08,91.03,0.0,504.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,11.27,11.27,2477.52,2477.52,2488.78,6.82,50.06,56.88,501.89,155.82,54.01,711.72,3257.38,290.23,0.56,22.6,313.39,504.8,27.35,0.14,188.14,1033.81,453.48,488.58,1206.54,0.29,74.68,2223.56,3257.38,712.85,1395.18,93.15,0.0,504.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,11.27,11.27,1936.57,1936.57,1947.84,13.59,39.03,52.62,711.67,151.12,51.18,913.96,2914.42,322.1,0.31,24.57,346.99,504.8,22.22,0.14,179.21,1053.35,567.6,595.1,634.43,0.36,63.57,1861.07,2914.42,663.98,1789.2,74.51,0.0,504.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,11.27,11.27,2358.93,2358.93,2370.2,8.59,29.78,38.37,768.97,150.14,70.86,989.97,3398.54,317.39,0.35,12.32,330.07,504.8,22.41,0.1,189.44,1046.82,498.01,679.01,1118.07,0.41,56.21,2351.72,3398.54,652.3,1730.25,71.58,0.0,504.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
